INDEX,OFFSET_HEX,LENGTH,TYPE,ENCODING,TEXT,HEX_BYTES
018,0x00518C38,48,DEF,FF7,Customize,23 55 53 54 4F 4D 49 5A 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
019,0x00518C68,48,DEF,FF7,Initial,29 4E 49 54 49 41 4C FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
020,0x00518C98,48,DEF,FF7,Memory,2D 45 4D 4F 52 59 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
021,0x00518CC8,48,DEF,FF7,Active,21 43 54 49 56 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
022,0x00518CF8,48,DEF,FF7,Recommended,32 45 43 4F 4D 4D 45 4E 44 45 44 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
023,0x00518D28,48,DEF,FF7,Wait,37 41 49 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
024,0x00518D58,48,DEF,FF7,Auto,21 55 54 4F FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
025,0x00518D88,48,DEF,FF7,Fixed,26 49 58 45 44 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
026,0x00518DE8,48,DEF,FF7,Slow,33 4C 4F 57 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
027,0x00518E18,48,DEF,FF7,Fast,26 41 53 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
028,0x00518ED8,48,DEF,FF7,Magic order,2D 41 47 49 43 00 4F 52 44 45 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
029,0x00518F08,48,DEF,FF7,restore,52 45 53 54 4F 52 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
030,0x00518F38,48,DEF,FF7,attack,41 54 54 41 43 4B FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
031,0x00518F68,48,DEF,FF7,indirect,49 4E 44 49 52 45 43 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
032,0x00518FC8,48,DEF,FF7,No.,2E 4F 0E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
033,0x00519238,6,EXCLUDED,FF7,[BINARY_DATA:C5B8B7],C5 B8 B7 FF 00 00
034,0x0051923E,6,EXCLUDED,FF7,[BINARY_DATA:BAC5B8B8C1],BA C5 B8 B8 C1 FF
035,0x00519244,6,EXCLUDED,FF7,[BINARY_DATA:B5BFC8B8],B5 BF C8 B8 FF 00
036,0x00519288,25,DEF,FF7,Set Sound & Music Volume,33 45 54 00 33 4F 55 4E 44 00 06 00 2D 55 53 49 43 00 36 4F 4C 55 4D 45 FF
037,0x005192A1,25,DEF,FF7,Not supported.,2E 4F 54 00 53 55 50 50 4F 52 54 45 44 0E FF 00 00 00 00 00 00 00 00 00 00
038,0x005192C0,20,DEF,FF7,Item,29 54 45 4D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
039,0x005192D4,20,DEF,FF7,Magic,2D 41 47 49 43 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00
040,0x005192E8,20,DEF,FF7,Materia,2D 41 54 45 52 49 41 FF 00 00 00 00 00 00 00 00 00 00 00 00
041,0x005192FC,20,DEF,FF7,Equip,25 51 55 49 50 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00
042,0x00519310,20,DEF,FF7,Status,33 54 41 54 55 53 FF 00 00 00 00 00 00 00 00 00 00 00 00 00
043,0x00519324,20,DEF,FF7,Order,2F 52 44 45 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00
044,0x00519338,20,DEF,FF7,Limit,2C 49 4D 49 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00
045,0x0051934C,20,DEF,FF7,Config,23 4F 4E 46 49 47 FF 00 00 00 00 00 00 00 00 00 00 00 00 00
046,0x00519360,20,DEF,FF7,PHS,30 28 33 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
047,0x00519374,20,DEF,FF7,Save,33 41 56 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
048,0x00519388,20,DEF,FF7,Quit,31 55 49 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
049,0x0051939C,20,DEF,FF7,Beginner,22 45 47 49 4E 4E 45 52 FF 00 00 00 00 00 00 00 00 00 00 00
050,0x005193D8,20,DEF,FF7,Time,34 49 4D 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
051,0x005193EC,20,DEF,FF7,Gil,27 49 4C FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
052,0x00519400,20,DEF,FF7,next level,4E 45 58 54 00 4C 45 56 45 4C FF 00 00 00 00 00 00 00 00 00
053,0x00519414,20,DEF,FF7,Limit level,2C 49 4D 49 54 00 4C 45 56 45 4C FF 00 00 00 00 00 00 00 00
054,0x00519428,20,DEF,FF7,Tutorial,34 55 54 4F 52 49 41 4C FF 00 00 00 00 00 00 00 00 00 00 00
055,0x00519450,20,DEF,FF7,LEVEL UP,2C 25 36 25 2C 00 35 30 FF 00 00 00 00 00 00 00 00 00 00 00
056,0x00519464,20,DEF,FF7,Fury,26 55 52 59 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
057,0x00519478,20,DEF,FF7,Sadness,33 41 44 4E 45 53 53 FF 00 00 00 00 00 00 00 00 00 00 00 00
058,0x005196B0,50,DEF,FF7,Press [CANCEL] to end.,30 52 45 53 53 00 3B 23 21 2E 23 25 2C 3D 00 54 4F 00 45 4E 44 0E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
059,0x005196E2,50,DEF,FF7,Press [OK] to configure a key.,30 52 45 53 53 00 3B 2F 2B 3D 00 54 4F 00 43 4F 4E 46 49 47 55 52 45 00 41 00 4B 45 59 0E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
060,0x00519714,50,DEF,FF7,Now press the new key.,2E 4F 57 00 50 52 45 53 53 00 54 48 45 00 4E 45 57 00 4B 45 59 0E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
061,0x00519746,50,DEF,FF7,[OK],3B 2F 2B 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
062,0x00519778,50,DEF,FF7,[CANCEL],3B 23 21 2E 23 25 2C 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
063,0x005197AA,50,DEF,FF7,[MENU],3B 2D 25 2E 35 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
064,0x005197DC,50,DEF,FF7,[SWITCH],3B 33 37 29 34 23 28 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
065,0x0051980E,50,DEF,FF7,[PAGEUP],3B 30 21 27 25 35 30 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
066,0x00519840,50,DEF,FF7,[PAGEDOWN],3B 30 21 27 25 24 2F 37 2E 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
067,0x00519872,50,DEF,FF7,[CAMERA],3B 23 21 2D 25 32 21 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
068,0x005198A4,50,DEF,FF7,[TARGET],3B 34 21 32 27 25 34 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
069,0x005198D6,50,DEF,FF7,[ASSIST],3B 21 33 33 29 33 34 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
070,0x00519908,50,DEF,FF7,[START],3B 33 34 21 32 34 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
071,0x0051993A,50,DEF,FF7,[UP],3B 35 30 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
072,0x0051996C,50,DEF,FF7,[DOWN],3B 24 2F 37 2E 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
073,0x0051999E,50,DEF,FF7,[LEFT],3B 2C 25 26 34 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
074,0x005199D0,50,DEF,FF7,[RIGHT],3B 32 29 27 28 34 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
075,0x00519A02,50,DEF,FF7,KEYBOARD,2B 25 39 22 2F 21 32 24 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
076,0x00519A34,50,DEF,FF7,JOYSTICK,2A 2F 39 33 34 29 23 2B FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
077,0x00519FE0,8,RGB,ASCII,ESCAPE,45 53 43 41 50 45 00 00
078,0x00519FE8,4,RGB,ASCII,1,31 00 00 00
079,0x00519FEC,4,RGB,ASCII,2,32 00 00 00
080,0x00519FF0,4,RGB,ASCII,3,33 00 00 00
081,0x00519FF4,4,RGB,ASCII,4,34 00 00 00
082,0x00519FF8,4,RGB,ASCII,5,35 00 00 00
083,0x00519FFC,4,RGB,ASCII,6,36 00 00 00
084,0x0051A000,4,RGB,ASCII,7,37 00 00 00
085,0x0051A004,4,RGB,ASCII,8,38 00 00 00
086,0x0051A008,4,RGB,ASCII,9,39 00 00 00
087,0x0051A00C,4,RGB,ASCII,0,30 00 00 00
088,0x0051A010,8,RGB,ASCII,MINUS,4D 49 4E 55 53 00 00 00
089,0x0051A018,8,RGB,ASCII,EQUALS,45 51 55 41 4C 53 00 00
090,0x0051A020,12,RGB,ASCII,BACK SPACE,42 41 43 4B 20 53 50 41 43 45 00 00
091,0x0051A02C,4,RGB,ASCII,TAB,54 41 42 00
092,0x0051A030,4,RGB,ASCII,Q,51 00 00 00
093,0x0051A034,4,RGB,ASCII,W,57 00 00 00
094,0x0051A038,4,RGB,ASCII,E,45 00 00 00
095,0x0051A03C,4,RGB,ASCII,R,52 00 00 00
096,0x0051A040,4,RGB,ASCII,T,54 00 00 00
097,0x0051A044,4,RGB,ASCII,Y,59 00 00 00
098,0x0051A048,4,RGB,ASCII,U,55 00 00 00
099,0x0051A04C,4,RGB,ASCII,I,49 00 00 00
100,0x0051A050,4,RGB,ASCII,O,4F 00 00 00
101,0x0051A054,4,RGB,ASCII,P,50 00 00 00
102,0x0051A058,16,RGB,ASCII,LEFT BRACKET,4C 45 46 54 20 42 52 41 43 4B 45 54 00 00 00 00
103,0x0051A068,16,RGB,ASCII,RIGHT BRACKET,52 49 47 48 54 20 42 52 41 43 4B 45 54 00 00 00
104,0x0051A078,8,RGB,ASCII,RETURN,52 45 54 55 52 4E 00 00
105,0x0051A080,16,RGB,ASCII,LEFT CONTROL,4C 45 46 54 20 43 4F 4E 54 52 4F 4C 00 00 00 00
106,0x0051A090,4,RGB,ASCII,A,41 00 00 00
107,0x0051A094,4,RGB,ASCII,S,53 00 00 00
108,0x0051A098,4,RGB,ASCII,D,44 00 00 00
109,0x0051A09C,4,RGB,ASCII,F,46 00 00 00
110,0x0051A0A0,4,RGB,ASCII,G,47 00 00 00
111,0x0051A0A4,4,RGB,ASCII,H,48 00 00 00
112,0x0051A0A8,4,RGB,ASCII,J,4A 00 00 00
113,0x0051A0AC,4,RGB,ASCII,K,4B 00 00 00
114,0x0051A0B0,4,RGB,ASCII,L,4C 00 00 00
115,0x0051A0B4,12,RGB,ASCII,SEMICOLON,53 45 4D 49 43 4F 4C 4F 4E 00 00 00
116,0x0051A0C0,12,RGB,ASCII,APOSTROPHE,41 50 4F 53 54 52 4F 50 48 45 00 00
117,0x0051A0CC,8,RGB,ASCII,GRAVE,47 52 41 56 45 00 00 00
118,0x0051A0D4,12,RGB,ASCII,LEFT SHIFT,4C 45 46 54 20 53 48 49 46 54 00 00
119,0x0051A0E0,12,RGB,ASCII,BACK SLASH,42 41 43 4B 20 53 4C 41 53 48 00 00
120,0x0051A0EC,4,RGB,ASCII,Z,5A 00 00 00
121,0x0051A0F0,4,RGB,ASCII,X,58 00 00 00
122,0x0051A0F4,4,RGB,ASCII,C,43 00 00 00
123,0x0051A0F8,4,RGB,ASCII,V,56 00 00 00
124,0x0051A0FC,4,RGB,ASCII,B,42 00 00 00
125,0x0051A100,4,RGB,ASCII,N,4E 00 00 00
126,0x0051A104,4,RGB,ASCII,M,4D 00 00 00
127,0x0051A108,8,RGB,ASCII,COMMA,43 4F 4D 4D 41 00 00 00
128,0x0051A110,8,RGB,ASCII,PERIOD,50 45 52 49 4F 44 00 00
129,0x0051A118,8,RGB,ASCII,SLASH,53 4C 41 53 48 00 00 00
130,0x0051A120,12,RGB,ASCII,RIGHT SHIFT,52 49 47 48 54 20 53 48 49 46 54 00
131,0x0051A12C,12,RGB,ASCII,MULTIPLY,4D 55 4C 54 49 50 4C 59 00 00 00 00
132,0x0051A138,12,RGB,ASCII,LEFT ALT,4C 45 46 54 20 41 4C 54 00 00 00 00
133,0x0051A144,8,RGB,ASCII,SPACE,53 50 41 43 45 00 00 00
134,0x0051A14C,12,RGB,ASCII,CAPS LOCK,43 41 50 53 20 4C 4F 43 4B 00 00 00
135,0x0051A158,4,RGB,ASCII,F1,46 31 00 00
136,0x0051A15C,4,RGB,ASCII,F2,46 32 00 00
137,0x0051A160,4,RGB,ASCII,F3,46 33 00 00
138,0x0051A164,4,RGB,ASCII,F4,46 34 00 00
139,0x0051A168,4,RGB,ASCII,F5,46 35 00 00
140,0x0051A16C,4,RGB,ASCII,F6,46 36 00 00
141,0x0051A170,4,RGB,ASCII,F7,46 37 00 00
142,0x0051A174,4,RGB,ASCII,F8,46 38 00 00
143,0x0051A178,4,RGB,ASCII,F9,46 39 00 00
144,0x0051A17C,4,RGB,ASCII,F10,46 31 30 00
145,0x0051A180,8,RGB,ASCII,NUMLOCK,4E 55 4D 4C 4F 43 4B 00
146,0x0051A188,8,RGB,ASCII,SCROLL,53 43 52 4F 4C 4C 00 00
147,0x0051A190,8,RGB,ASCII,NUMPAD7,4E 55 4D 50 41 44 37 00
148,0x0051A198,8,RGB,ASCII,NUMPAD8,4E 55 4D 50 41 44 38 00
149,0x0051A1A0,8,RGB,ASCII,NUMPAD9,4E 55 4D 50 41 44 39 00
150,0x0051A1A8,12,RGB,ASCII,SUBTRACT,53 55 42 54 52 41 43 54 00 00 00 00
151,0x0051A1B4,8,RGB,ASCII,NUMPAD4,4E 55 4D 50 41 44 34 00
152,0x0051A1BC,8,RGB,ASCII,NUMPAD5,4E 55 4D 50 41 44 35 00
153,0x0051A1C4,8,RGB,ASCII,NUMPAD6,4E 55 4D 50 41 44 36 00
154,0x0051A1CC,4,RGB,ASCII,ADD,41 44 44 00
155,0x0051A1D0,8,RGB,ASCII,NUMPAD1,4E 55 4D 50 41 44 31 00
156,0x0051A1D8,8,RGB,ASCII,NUMPAD2,4E 55 4D 50 41 44 32 00
157,0x0051A1E0,8,RGB,ASCII,NUMPAD3,4E 55 4D 50 41 44 33 00
158,0x0051A1E8,8,RGB,ASCII,NUMPAD0,4E 55 4D 50 41 44 30 00
159,0x0051A1F0,8,RGB,ASCII,DECIMAL,44 45 43 49 4D 41 4C 00
160,0x0051A210,4,RGB,ASCII,F11,46 31 31 00
161,0x0051A214,4,RGB,ASCII,F12,46 31 32 00
162,0x0051A270,4,RGB,ASCII,F13,46 31 33 00
163,0x0051A274,4,RGB,ASCII,F14,46 31 34 00
164,0x0051A278,4,RGB,ASCII,F15,46 31 35 00
165,0x0051A2C4,8,RGB,ASCII,KANA,4B 41 4E 41 00 00 00 00
166,0x0051A30C,8,RGB,ASCII,CONVERT,43 4F 4E 56 45 52 54 00
167,0x0051A31C,12,RGB,ASCII,NOCONVERT,4E 4F 43 4F 4E 56 45 52 54 00 00 00
168,0x0051A330,4,RGB,ASCII,YEN,59 45 4E 00
169,0x0051A3AC,16,RGB,ASCII,NUMPADEQUALS,4E 55 4D 50 41 44 45 51 55 41 4C 53 00 00 00 00
170,0x0051A3CC,12,RGB,ASCII,CIRCUMFLEX,43 49 52 43 55 4D 46 4C 45 58 00 00
171,0x0051A3D8,4,RGB,ASCII,AT,41 54 00 00
172,0x0051A3DC,8,RGB,ASCII,COLON,43 4F 4C 4F 4E 00 00 00
173,0x0051A3E4,12,RGB,ASCII,UNDERLINE,55 4E 44 45 52 4C 49 4E 45 00 00 00
174,0x0051A3F0,8,RGB,ASCII,KANJI,4B 41 4E 4A 49 00 00 00
175,0x0051A3F8,8,RGB,ASCII,STOP,53 54 4F 50 00 00 00 00
176,0x0051A400,4,RGB,ASCII,AX,41 58 00 00
177,0x0051A404,12,RGB,ASCII,UNLABELED,55 4E 4C 41 42 45 4C 45 44 00 00 00
178,0x0051A430,12,RGB,ASCII,NUMPADENTER,4E 55 4D 50 41 44 45 4E 54 45 52 00
179,0x0051A43C,16,RGB,ASCII,RIGHT CONTROL,52 49 47 48 54 20 43 4F 4E 54 52 4F 4C 00 00 00
180,0x0051A4F4,12,RGB,ASCII,NUMPADCOMMA,4E 55 4D 50 41 44 43 4F 4D 4D 41 00
181,0x0051A508,8,RGB,ASCII,DIVIDE,44 49 56 49 44 45 00 00
182,0x0051A518,8,RGB,ASCII,SYSRQ,53 59 53 52 51 00 00 00
183,0x0051A520,12,RGB,ASCII,RIGHT ALT,52 49 47 48 54 20 41 4C 54 00 00 00
184,0x0051A59C,8,RGB,ASCII,HOME,48 4F 4D 45 00 00 00 00
185,0x0051A5A4,4,RGB,ASCII,UP,55 50 00 00
186,0x0051A5A8,8,RGB,ASCII,PAGE UP,50 41 47 45 20 55 50 00
187,0x0051A5B8,8,RGB,ASCII,LEFT,4C 45 46 54 00 00 00 00
188,0x0051A5C8,8,RGB,ASCII,RIGHT,52 49 47 48 54 00 00 00
189,0x0051A5D8,4,RGB,ASCII,END,45 4E 44 00
190,0x0051A5DC,8,RGB,ASCII,DOWN,44 4F 57 4E 00 00 00 00
191,0x0051A5E4,12,RGB,ASCII,PAGE DOWN,50 41 47 45 20 44 4F 57 4E 00 00 00
192,0x0051A5F0,8,RGB,ASCII,INSERT,49 4E 53 45 52 54 00 00
193,0x0051A5F8,8,RGB,ASCII,DELETE,44 45 4C 45 54 45 00 00
194,0x0051A638,12,RGB,ASCII,LEFT WIN,4C 45 46 54 20 57 49 4E 00 00 00 00
195,0x0051A644,12,RGB,ASCII,RIGHT WIN,52 49 47 48 54 20 57 49 4E 00 00 00
196,0x0051A650,8,RGB,ASCII,APPS,41 50 50 53 00 00 00 00
197,0x0051A660,12,RGB,ASCII,MOUSE_B1,4D 4F 55 53 45 5F 42 31 00 00 00 00
198,0x0051A66C,12,RGB,ASCII,MOUSE_B2,4D 4F 55 53 45 5F 42 32 00 00 00 00
199,0x0051A678,12,RGB,ASCII,MOUSE_B3,4D 4F 55 53 45 5F 42 33 00 00 00 00
200,0x0051A68C,4,RGB,ASCII,UP,55 50 00 00
201,0x0051A690,8,RGB,ASCII,DOWN,44 4F 57 4E 00 00 00 00
202,0x0051A698,8,RGB,ASCII,LEFT,4C 45 46 54 00 00 00 00
203,0x0051A6A0,8,RGB,ASCII,RIGHT,52 49 47 48 54 00 00 00
204,0x0051A6C8,12,RGB,ASCII,BUTTON 1,42 55 54 54 4F 4E 20 31 00 00 00 00
205,0x0051A6D4,12,RGB,ASCII,BUTTON 2,42 55 54 54 4F 4E 20 32 00 00 00 00
206,0x0051A6E0,12,RGB,ASCII,BUTTON 3,42 55 54 54 4F 4E 20 33 00 00 00 00
207,0x0051A6EC,12,RGB,ASCII,BUTTON 4,42 55 54 54 4F 4E 20 34 00 00 00 00
208,0x0051A6F8,12,RGB,ASCII,BUTTON 5,42 55 54 54 4F 4E 20 35 00 00 00 00
209,0x0051A704,12,RGB,ASCII,BUTTON 6,42 55 54 54 4F 4E 20 36 00 00 00 00
210,0x0051A710,12,RGB,ASCII,BUTTON 7,42 55 54 54 4F 4E 20 37 00 00 00 00
211,0x0051A71C,12,RGB,ASCII,BUTTON 8,42 55 54 54 4F 4E 20 38 00 00 00 00
212,0x0051A728,12,ASCII_FIX,ASCII,BUTTON 9,42 55 54 54 4F 4E 20 39 00 00 00 00
213,0x0051A734,12,ASCII_FIX,ASCII,BUTTON 10,42 55 54 54 4F 4E 20 31 30 00 00 00
214,0x0051D1E0,8,DEF,FF7,Pause,30 41 55 53 45 FF 00 00
215,0x0051D23C,10,DEF,FF7,Sleep,33 4C 45 45 50 FF 00 00 00 00
216,0x0051D246,10,DEF,FF7,Poison,30 4F 49 53 4F 4E FF 00 00 00
217,0x0051D250,10,DEF,FF7,Sadness,33 41 44 4E 45 53 53 FF 00 00
218,0x0051D25A,10,DEF,FF7,Fury,26 55 52 59 FF 00 00 00 00 00
