# FF7 German Strings by touphScript Index
# Generated: 2026-01-03 13:22:02 JST
# Session: 8bc98f0a-abab-49e6-acdd-56dd38e9d149
# Source: /mnt/d/Games/Stand-alone/FINAL FANTASY VII/ff7_de.exe
# Base Delta: 0x77840
# Total strings: 758
#
# Format: [INDEX] [DE_OFFSET] [LENGTH] [TYPE] | DECODED_DE_TEXT | RAW_HEX_BYTES
# ====================================================================================================

[018] 0x00590478  48 DEF        |               Breit | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 22 52 45 49 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[019] 0x005904A8  48 DEF        |                     Normal | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2E 4F 52 4D 41 4C FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[020] 0x005904D8  48 DEF        |                           Benutzerdefiniert | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 22 45 4E 55 54 5A 45 52 44 45 46 49 4E 49 45 52 54 FF 00 00 00 00
[021] 0x00590508  48 DEF        |                                 Anfang | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 21 4E 46 41 4E 47 FF 00 00 00 00 00 00 00 00 00
[022] 0x00590538  48 DEF        |                                       Speicher | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 33 50 45 49 43 48 45 52 FF 00
[023] 0x00590568  48 DEF        |                                             Akti | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 21 4B 54 49
[024] 0x00590598  48 DEF        | v | 56 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[025] 0x005905C8  48 DEF        |   Empfohlen | 00 00 25 4D 50 46 4F 48 4C 45 4E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[026] 0x00590628  48 DEF        |               Auto | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 21 55 54 4F FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[027] 0x00590658  48 DEF        |                     Fest | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 45 53 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[028] 0x00590718  48 DEF        |                                             ROT | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 32 2F 34 FF
[029] 0x00590748  48 DEF        |                                                  | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[030] 0x00590778  48 DEF        |   GRN | 00 00 27 32 66 2E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[031] 0x005907A8  48 DEF        |         BLAU | 00 00 00 00 00 00 00 00 22 2C 21 35 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[032] 0x00590808  48 DEF        |                     Heilung | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 28 45 49 4C 55 4E 47 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[033] 0x00590A78   6 NOFF_TERM  |        | 00 00 00 00 00 00
[034] 0x00590A7E   6 NOFF_TERM  |        | 00 00 00 00 00 00
[035] 0x00590A84   6 NOFF_TERM  |        | 00 00 00 00 00 00
[036] 0x00590AC8  25 DEF        |                   Hilfe | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 28 49 4C 46 45 FF 00
[037] 0x00590AE1  25 DEF        |                           | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[038] 0x00590B00  20 DEF        |                 Zum  | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3A 55 4D 00
[039] 0x00590B14  20 DEF        | Einrichten [B2]START[B3] d | 25 49 4E 52 49 43 48 54 45 4E 00 B2 33 34 21 32 34 B3 00 44
[040] 0x00590B28  20 DEF        | rücken[0E] | 52 7F 43 4B 45 4E 0E FF 00 00 00 00 00 00 00 00 00 00 00 00
[041] 0x00590B3C  20 DEF        |           Zum Beende | 00 00 00 00 00 00 00 00 00 00 3A 55 4D 00 22 45 45 4E 44 45
[042] 0x00590B50  20 DEF        | n Richtungstaste Lin | 4E 00 32 49 43 48 54 55 4E 47 53 54 41 53 54 45 00 2C 49 4E
[043] 0x00590B64  20 DEF        | ks oder Rechts drück | 4B 53 00 4F 44 45 52 00 32 45 43 48 54 53 00 44 52 7F 43 4B
[044] 0x00590B78  20 DEF        | en[0E] | 45 4E 0E FF 30 41 55 53 45 FF 00 00 00 00 00 00 00 00 00 00
[045] 0x00590B8C  20 DEF        |                      | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[046] 0x00590BA0  20 DEF        |                      | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[047] 0x00590BB4  20 DEF        |     [C5][B8][B7] | 00 00 00 00 C5 B8 B7 FF 00 00 BA C5 B8 B8 C1 FF B5 BF C8 B8
[048] 0x00590BC8  20 DEF        |  | FF 00 00 00 00 00 00 00 34 4F 4E 0D 00 55 4E 44 00 2D 55 53
[049] 0x00590BDC  20 DEF        | ikeinstellung | 49 4B 45 49 4E 53 54 45 4C 4C 55 4E 47 FF 00 00 00 00 00 00
[050] 0x00590C18  20 DEF        |                      | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[051] 0x00590C2C  20 DEF        |         [80][02]S   S [80][02][AD][01] | 00 00 00 00 00 00 00 00 80 02 33 00 00 00 33 00 80 02 AD 01
[052] 0x00590C40  20 DEF        |     `[01][1A]   [1A] `[01][D6]  [01][02]  | 00 00 00 00 40 01 1A 00 00 00 1A 00 40 01 D6 00 00 01 02 00
[053] 0x00590C54  20 DEF        | [02][01][01][02] [01] [02][02] [01][02][01]    | 02 01 01 02 00 01 00 02 02 00 01 02 01 00 00 00 FF FF FF FF
[054] 0x00590C68  20 DEF        | Objekt | 2F 42 4A 45 4B 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00
[055] 0x00590C90  20 DEF        | Materia | 2D 41 54 45 52 49 41 FF 00 00 00 00 00 00 00 00 00 00 00 00
[056] 0x00590CA4  20 DEF        | Ausrüsten | 21 55 53 52 7F 53 54 45 4E FF 00 00 00 00 00 00 00 00 00 00
[057] 0x00590CB8  20 DEF        | Werte | 37 45 52 54 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[058] 0x00590EF0  50 DEF        | [A0][BE] [9B]o [0D] p[E8]  [E7] [90][D1] [E0][CA] [9F][BB] [D6][9D] [E0][9B] [90][93] [90][D1] b[01] | A0 BE 79 00 9B 4F 79 00 60 0D 79 00 50 E8 78 00 00 E7 78 00 90 D1 78 00 E0 CA 74 00 9F BB 78 00 D6 9D 78 00 E0 9B 78 00 90 93 78 00 90 D1 78 00 42 01
[059] 0x00590F22  50 DEF        | ö [0D] b[01]ö b[01]ö b[01]ö b[01]ö b[01]ö     [FD]n u[03]ö j[C0] o[81] [F6][0D]  | 7A 00 60 0D 79 00 42 01 7A 00 42 01 7A 00 42 01 7A 00 42 01 7A 00 42 01 7A 00 00 00 00 00 FD 4E 75 00 55 03 7A 00 4A C0 79 00 4F 81 79 00 F6 0D 79 00
[060] 0x00590F54  50 DEF        | [AD][EB] [E7] [1A][D2] [A5][CB] [90][BD] [90][9E] [EF][9B] [F6][93] u[03]ö u[03]ö [F6][0D] u[03]ö u[03] | AD EB 78 00 66 E7 78 00 1A D2 78 00 A5 CB 74 00 90 BD 78 00 90 9E 78 00 EF 9B 78 00 F6 93 78 00 55 03 7A 00 55 03 7A 00 F6 0D 79 00 55 03 7A 00 55 03
[061] 0x00590F86  50 DEF        | ö u[03]ö u[03]ö u[03]ö     [09][05][08][04][0A]     [02][02] [01][02][02][02][03][03][04][04]   [A0][8C]  [10][0E]   | 7A 00 55 03 7A 00 55 03 7A 00 55 03 7A 00 00 00 00 00 09 05 08 04 0A 00 00 00 00 00 02 02 00 01 02 02 02 03 03 04 04 00 00 00 A0 8C 00 00 10 0E 00 00
[062] 0x00590FB8  50 DEF        | x[02]  \   [0A]   [01]   [02]   [B4]          [BB][C3] | 58 02 00 00 3C 00 00 00 0A 00 00 00 01 00 00 00 02 00 00 00 B4 00 00 00 68 00 00 00 00 00 00 00 BB C3 FF 00 00 00 00 00 C0 C3 FF 00 00 00 00 00 BF C9
[063] 0x00590FEA  50 DEF        |  | FF 00 00 00 00 00 85 00 B2 00 B1 01 00 00 43 59 D9 00 00 00 00 00 00 00 00 00 01 00 00 00 02 00 00 00 04 00 00 00 05 00 00 00 06 00 00 00 07 00 00 00
[064] 0x0059101C  50 DEF        | [08]   t   start[20]of[20]menu[20]systemAAA[0A]    end[20]of[20]menu[20]sy | 08 00 00 00 54 00 00 00 53 54 41 52 54 20 4F 46 20 4D 45 4E 55 20 53 59 53 54 45 4D 21 21 21 0A 00 00 00 00 45 4E 44 20 4F 46 20 4D 45 4E 55 20 53 59
[065] 0x0059104E  50 DEF        | stemAAA[0A]  Mit [ABBRECHEN] beenden[0E] | 53 54 45 4D 21 21 21 0A 00 00 2D 49 54 00 3B 21 22 22 32 25 23 28 25 2E 3D 00 42 45 45 4E 44 45 4E 0E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[066] 0x00591080  50 DEF        |                     Drücken Sie auf [O[0E]K[0E]] um die | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 24 52 7F 43 4B 45 4E 00 33 49 45 00 41 55 46 00 3B 2F 0E 2B 0E 3D 00 55 4D 00 44 49 45 FF
[067] 0x005910B2  50 DEF        |                               Tastenbelegung zu ko | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 34 41 53 54 45 4E 42 45 4C 45 47 55 4E 47 00 5A 55 00 4B 4F
[068] 0x005910E4  50 DEF        | nfigurieren[0E] | 4E 46 49 47 55 52 49 45 52 45 4E 0E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 22 49 54 54 45 00 4E 45 55 45
[069] 0x00591116  50 DEF        |  Taste drücken[A9] | 00 34 41 53 54 45 00 44 52 7F 43 4B 45 4E A9 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[070] 0x00591148  50 DEF        | [O[0E]K[0E]] | 3B 2F 0E 2B 0E 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[071] 0x0059117A  50 DEF        |           [ABBRECHEN] | 00 00 00 00 00 00 00 00 00 00 3B 21 22 22 32 25 23 28 25 2E 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[072] 0x005911AC  50 DEF        |                     [MEN] | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3B 2D 25 2E 66 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[073] 0x005911DE  50 DEF        |                               [UMSCHALTEN] | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3B 35 2D 33 23 28 21 2C 34 25 2E 3D FF 00 00 00 00 00 00 00
[074] 0x00591210  50 DEF        |                                         [BILD HOCH | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3B 22 29 2C 24 00 28 2F 23 28
[075] 0x00591242  50 DEF        | ] | 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[076] 0x00591274  50 DEF        | [BILD HERUNTER] | 3B 22 29 2C 24 00 28 25 32 35 2E 34 25 32 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[077] 0x00591820   8 RGB        | [F0]%[99] [F8]%[99]  | F0 25 99 00 F8 25 99 00
[078] 0x00591828   4 RGB        |  &[99]  | 00 26 99 00
[079] 0x0059182C   4 RGB        | [08]&[99]  | 08 26 99 00
[080] 0x00591830   4 RGB        | [10]&[99]  | 10 26 99 00
[081] 0x00591834   4 RGB        | [18]&[99]  | 18 26 99 00
[082] 0x00591838   4 RGB        |  &[99]  | 20 26 99 00
[083] 0x0059183C   4 RGB        | (&[99]  | 28 26 99 00
[084] 0x00591840   4 RGB        | 0&[99]  | 30 26 99 00
[085] 0x00591844   4 RGB        | 8&[99]  | 38 26 99 00
[086] 0x00591848   4 RGB        | @&[99]  | 40 26 99 00
[087] 0x0059184C   4 RGB        | L&[99]  | 4C 26 99 00
[088] 0x00591850   8 RGB        | X&[99] `&[99]  | 58 26 99 00 60 26 99 00
[089] 0x00591858   8 RGB        | h&[99] p&[99]  | 68 26 99 00 70 26 99 00
[090] 0x00591860  12 RGB        | x&[99] [80]&[99] [88]&[99]  | 78 26 99 00 80 26 99 00 88 26 99 00
[091] 0x0059186C   4 RGB        | [90]&[99]  | 90 26 99 00
[092] 0x00591870   4 RGB        | [98]&[99]  | 98 26 99 00
[093] 0x00591874   4 RGB        | [A0]&[99]  | A0 26 99 00
[094] 0x00591878   4 RGB        | [AC]&[99]  | AC 26 99 00
[095] 0x0059187C   4 RGB        | [B8]&[99]  | B8 26 99 00
[096] 0x00591880   4 RGB        | [C0]&[99]  | C0 26 99 00
[097] 0x00591884   4 RGB        | [C8]&[99]  | C8 26 99 00
[098] 0x00591888   4 RGB        | [D4]&[99]  | D4 26 99 00
[099] 0x0059188C   4 RGB        | [E0]&[99]  | E0 26 99 00
[100] 0x00591890   4 RGB        | [EC]&[99]  | EC 26 99 00
[101] 0x00591894   4 RGB        | [F4]&[99]  | F4 26 99 00
[102] 0x00591898  16 RGB        | [FC]&[99] [04]'[99] [0C]'[99] [14]'[99]  | FC 26 99 00 04 27 99 00 0C 27 99 00 14 27 99 00
[103] 0x005918A8  16 RGB        | [1C]'[99] $'[99] ,'[99] 4'[99]  | 1C 27 99 00 24 27 99 00 2C 27 99 00 34 27 99 00
[104] 0x005918B8   8 RGB        | @'[99] L'[99]  | 40 27 99 00 4C 27 99 00
[105] 0x005918C0  16 RGB        | X'[99] d'[99] p'[99] \|'[99]  | 58 27 99 00 64 27 99 00 70 27 99 00 7C 27 99 00
[106] 0x005918D0   4 RGB        | [88]'[99]  | 88 27 99 00
[107] 0x005918D4   4 RGB        | [94]'[99]  | 94 27 99 00
[108] 0x005918D8   4 RGB        | [A0]'[99]  | A0 27 99 00
[109] 0x005918DC   4 RGB        | [AC]'[99]  | AC 27 99 00
[110] 0x005918E0   4 RGB        | [C8]    | C8 00 00 00
[111] 0x005918E4   4 RGB        | K    | 4B 00 00 00
[112] 0x005918E8   4 RGB        |      | 20 00 00 00
[113] 0x005918EC   4 RGB        | [C8]    | C8 00 00 00
[114] 0x005918F0   4 RGB        | d    | 64 00 00 00
[115] 0x005918F4  12 RGB        | @   [C8]   }    | 40 00 00 00 C8 00 00 00 7D 00 00 00
[116] 0x00591900  12 RGB        | [10]   [C8]   [96]    | 10 00 00 00 C8 00 00 00 96 00 00 00
[117] 0x0059190C   8 RGB        | [80]   [C8]    | 80 00 00 00 C8 00 00 00
[118] 0x00591914  12 RGB        | [AF]   [04]   [C8]    | AF 00 00 00 04 00 00 00 C8 00 00 00
[119] 0x00591920  12 RGB        | [C8]   [08]   [C8]    | C8 00 00 00 08 00 00 00 C8 00 00 00
[120] 0x0059192C   4 RGB        | [E1]    | E1 00 00 00
[121] 0x00591930   4 RGB        | [01]    | 01 00 00 00
[122] 0x00591934   4 RGB        | [C8]    | C8 00 00 00
[123] 0x00591938   4 RGB        | [FA]    | FA 00 00 00
[124] 0x0059193C   4 RGB        | [02]    | 02 00 00 00
[125] 0x00591940   4 RGB        | [C8]    | C8 00 00 00
[126] 0x00591944   4 RGB        | [13][01]   | 13 01 00 00
[127] 0x00591948   8 RGB        |  [01]  [C8]    | 00 01 00 00 C8 00 00 00
[128] 0x00591950   8 RGB        | ,[01]   [08]   | 2C 01 00 00 00 08 00 00
[129] 0x00591958   8 RGB        | [C8]   E[01]   | C8 00 00 00 45 01 00 00
[130] 0x00591960  12 RGB        |  [10]  [C8]   ^[01]   | 00 10 00 00 C8 00 00 00 5E 01 00 00
[131] 0x0059196C  12 RGB        |  @  [C8]   w[01]   | 00 40 00 00 C8 00 00 00 77 01 00 00
[132] 0x00591978  12 RGB        |  [80]  [C8]   [90][01]   | 00 80 00 00 C8 00 00 00 90 01 00 00
[133] 0x00591984   8 RGB        |     [90][01]   | 00 20 00 00 90 01 00 00
[134] 0x0059198C  12 RGB        | K       [90][01]   | 4B 00 00 00 20 00 00 00 90 01 00 00
[135] 0x00591998   4 RGB        | d    | 64 00 00 00
[136] 0x0059199C   4 RGB        | @    | 40 00 00 00
[137] 0x005919A0   4 RGB        | [90][01]   | 90 01 00 00
[138] 0x005919A4   4 RGB        | }    | 7D 00 00 00
[139] 0x005919A8   4 RGB        | [10]    | 10 00 00 00
[140] 0x005919AC   4 RGB        | [90][01]   | 90 01 00 00
[141] 0x005919B0   4 RGB        | [96]    | 96 00 00 00
[142] 0x005919B4   4 RGB        | [80]    | 80 00 00 00
[143] 0x005919B8   4 RGB        | [90][01]   | 90 01 00 00
[144] 0x005919BC   4 RGB        | [AF]    | AF 00 00 00
[145] 0x005919C0   8 RGB        | [04]   [90][01]   | 04 00 00 00 90 01 00 00
[146] 0x005919C8   8 RGB        | [C8]   [08]    | C8 00 00 00 08 00 00 00
[147] 0x005919D0   8 RGB        | [90][01]  [E1]    | 90 01 00 00 E1 00 00 00
[148] 0x005919D8   8 RGB        | [01]   [90][01]   | 01 00 00 00 90 01 00 00
[149] 0x005919E0   8 RGB        | [FA]   [02]    | FA 00 00 00 02 00 00 00
[150] 0x005919E8  12 RGB        | [90][01]  [13][01]   [01]   | 90 01 00 00 13 01 00 00 00 01 00 00
[151] 0x005919F4   8 RGB        | [90][01]  ,[01]   | 90 01 00 00 2C 01 00 00
[152] 0x005919FC   8 RGB        |  [08]  [90][01]   | 00 08 00 00 90 01 00 00
[153] 0x00591A04   8 RGB        | E[01]   [10]   | 45 01 00 00 00 10 00 00
[154] 0x00591A0C   4 RGB        | [90][01]   | 90 01 00 00
[155] 0x00591A10   8 RGB        | ^[01]   @   | 5E 01 00 00 00 40 00 00
[156] 0x00591A18   8 RGB        | [90][01]  w[01]   | 90 01 00 00 77 01 00 00
[157] 0x00591A20   8 RGB        |  [80]  [90][01]   | 00 80 00 00 90 01 00 00
[158] 0x00591A28   8 RGB        | [90][01]       | 90 01 00 00 00 20 00 00
[159] 0x00591A30   8 RGB        | [07][07][05][07][06][07][04][07] | 07 07 05 07 06 07 04 07
[160] 0x00591A50   4 RGB        | [08][0B]   | 08 0B 00 00
[161] 0x00591A54   4 RGB        |      | 00 00 00 00
[162] 0x00591AB0   4 RGB        | APOS | 41 50 4F 53
[163] 0x00591AB4   4 RGB        | TROP | 54 52 4F 50
[164] 0x00591AB8   4 RGB        | HE   | 48 45 00 00
[165] 0x00591B04   8 RGB        | LINKE ST | 4C 49 4E 4B 45 20 53 54
[166] 0x00591B4C   8 RGB        |     #    | 00 00 00 00 23 00 00 00
[167] 0x00591B5C  12 RGB        | C   V   B    | 43 00 00 00 56 00 00 00 42 00 00 00
[168] 0x00591B70   4 RGB        | KOMM | 4B 4F 4D 4D
[169] 0x00591BEC  16 RGB        | NUM. 7  NUM. 8   | 4E 55 4D 2E 20 37 00 00 4E 55 4D 2E 20 38 00 00
[170] 0x00591C0C  12 RGB        | NUM. 4  NUM. | 4E 55 4D 2E 20 34 00 00 4E 55 4D 2E
[171] 0x00591C18   4 RGB        |  5   | 20 35 00 00
[172] 0x00591C1C   8 RGB        | NUM. 6   | 4E 55 4D 2E 20 36 00 00
[173] 0x00591C24  12 RGB        | PLUS    NUM. | 50 4C 55 53 00 00 00 00 4E 55 4D 2E
[174] 0x00591C30   8 RGB        |  1  NUM. | 20 31 00 00 4E 55 4D 2E
[175] 0x00591C38   8 RGB        |  2  NUM. | 20 32 00 00 4E 55 4D 2E
[176] 0x00591C40   4 RGB        |  3   | 20 33 00 00
[177] 0x00591C44  12 RGB        | NUM. 0  NUM. | 4E 55 4D 2E 20 30 00 00 4E 55 4D 2E
[178] 0x00591C70  12 RGB        | F11 F12 KEIN | 46 31 31 00 46 31 32 00 4B 45 49 4E
[179] 0x00591C7C  16 RGB        | ES  KEINES  KEIN | 45 53 00 00 4B 45 49 4E 45 53 00 00 4B 45 49 4E
[180] 0x00591D34  12 RGB        | KEINES  KEIN | 4B 45 49 4E 45 53 00 00 4B 45 49 4E
[181] 0x00591D48   8 RGB        | ES  KEIN | 45 53 00 00 4B 45 49 4E
[182] 0x00591D58   8 RGB        | ES  KEIN | 45 53 00 00 4B 45 49 4E
[183] 0x00591D60  12 RGB        | ES  KEINES   | 45 53 00 00 4B 45 49 4E 45 53 00 00
[184] 0x00591DDC   8 RGB        | KEINES   | 4B 45 49 4E 45 53 00 00
[185] 0x00591DE4   4 RGB        | KEIN | 4B 45 49 4E
[186] 0x00591DE8   8 RGB        | ES  KEIN | 45 53 00 00 4B 45 49 4E
[187] 0x00591DF8   8 RGB        | ES  KEIN | 45 53 00 00 4B 45 49 4E
[188] 0x00591E08   8 RGB        | ES  NUMP | 45 53 00 00 4E 55 4D 50
[189] 0x00591E18   4 RGB        |      | 00 00 00 00
[190] 0x00591E1C   8 RGB        | KEINES   | 4B 45 49 4E 45 53 00 00
[191] 0x00591E24  12 RGB        | KEINES  CIRC | 4B 45 49 4E 45 53 00 00 43 49 52 43
[192] 0x00591E30   8 RGB        | UMFLEX   | 55 4D 46 4C 45 58 00 00
[193] 0x00591E38   8 RGB        | AT  COLO | 41 54 00 00 43 4F 4C 4F
[194] 0x00591E78  12 RGB        | KEINES  KEIN | 4B 45 49 4E 45 53 00 00 4B 45 49 4E
