# German Strings - Clean Offsets (Text Start, No Empties)
# Source: /mnt/d/Games/Stand-alone/FINAL FANTASY VII/ff7_de.exe
# Region: 0x58FBB0 - 0x5A0000
# Total: 895 non-empty strings
# Offset points to where TEXT starts (after padding)
# Format: [INDEX] OFFSET (PAD_BYTES) | TEXT
================================================================================

[  102] 0x005918C6 (cleaned) | keines  esc Q   R   S   T   U   V   W   X   Y   P      apostrophe  rcktaste   tab q   w   e   r   t   z   u   i   o   p      K   eingabe linke@strg  a   s   d   f   g   h   j   k   l         ~   linker@shift    C   y   x   c   v   b   n   m   komma   punkt   minus   rechter@shift   mal alt leertaste   caps    fQ  fR  fS  fT  fU  fV  fW  fX  fY  fQP numlock scroll  numN@W  numN@X  numN@Y  minus   numN@T  numN@U  numN@V  plus    numN@Q  numN@R  numN@S  numN@P  numN@entf   keines  keines  keines  fQQ fQR keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  fQS fQT fQU keines  keines  keines  keines  keines  keines  keines  keines  keines  kana    keines  keines  keines  keines  keines  keines  keines  keines  convert keines  noconvert   keines  yen keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  numpadequals    keines  keines  circumflex  at  colon   underline   kanji   stop    ax  unlabeled   keines  keines  keines  keines  numN@enter  rechte@strg keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  numN@komma  keines  geteilt keines  prtN@scrn   alt@gr  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  pos@Q   hoch    bN@hoch keines  links   keines  rechts  keines  ende    herunter    bN@runter   einfg   entf    keines  keines  keines  keines  keines  keines  keines  linker@win  rechter@win apps    keines  mousebQ    mousebR    mousebS    keines  hoch    runter  links   rechtes keines  keines  keines  keines  button@Q    button@R    button@S    button@T    button@U    button@V    button@W    button@X    button@Y    button@QP   keines  EôÜÜWèîñõNâÜç  EôÜÜWèîñõNâÜç
[  103] 0x5921D8 (no pad) | "   ëåõâRáNõèì ëåõâRàNõèì öåîèéNõèì  âïíïáNõèì   âïíïàNõèì   âïíïâNõèì   ëåõâRNõèì  öåîèNõèì    âïíïNõèì    cZ|ffW|ôòâ|ìåî|àõíìåî|çåòìáî|âáííàáâëNâññ ôÜïîõáíNõèì  ôÜïîõàíNõèì  àõí•èîáíNõèì àõí•èîàíNõèì àõí•èîâíNõèì àõí•èîãíNõèì ôÜïîõíNõèì    àõí•èîíNõèì       H          (8!    0  0   88!0 "  (   0 ( "  8   0 ( "  H   0 ( "  X   0 ( "  h   0 ( "  x   0 ( "  é   0 ( "  £   0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "  (!  0 ( " 0( 0 0 ( " 08 0 0 ( " 0H 0 0 ( " 0X 0 0 ( " 0h 0 0 ( " 0x 0 0 ( " 0é 0 0 ( " 0£ 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0(!0 0 (      (   88!(       4          (£     0  0   8£ 0 "  (   0 ( "  8   0 ( "  H   0 ( "  X   0 ( "  h   0 ( "  x   0 ( "  é   0 ( " 0( 0 0 ( " 08 0 0 ( " 0H 0 0 ( " 0X 0 0 ( " 0h 0 0 ( " 0x 0 0 ( " 0é 0 0 (      (   8£ (       L          (X!    0  0   8X!0 "  (   0 ( "  8   0 ( "  H   0 ( "  X   0 ( "  h   0 ( "  x   0 ( "  é   0 ( "  £   0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "  (!  0 ( " 0( 0 0 ( " 08 0 0 ( " 0H 0 0 ( " 0X 0 0 ( " 0h 0 0 ( " 0x 0 0 ( " 0é 0 0 ( " 0£ 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0(!0 0 (      (   8X!( "  8!  0 ( "  H!  0 ( " 08!0 0 ( " 0H!0 0 (         l!"ñ         "     2!ñ 2!  "ñ                                                                                                                     t!î ñ         !     ñ ñ                                                                                                                            P t!£ P         !     £ P                                                                                                                            P t!£ P         !     £ P                                                                                                                              |!"ñ         "     !ñ !  "ñ                                                                                                                      |!"ñ         !     "ñ                                                                                                                              |!"ñ         "     !ñ !  "ñ                                                                                                                      |!"ñ         "     !ñ !  "ñ                                                                                                                      l!"£                                                                                                                                                |!"£         !     "£                                                                                                                              l!"£                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ã t!!ñ         !      ñ                                                                                                                            ã |!h!õ         !     h!õ                                                                                                                             ã!!ñ     @ ñ !     !ñ                                                                                                                             0  !P         !      !P                                                                                                                           J   <!"P         !     "P                                                                                                                           K  |!0!ñ         !     0!ñ                                                                                                                            @ 0 `"P         !     `"P                                                                                                                           H   |!"ñ         !     "ñ                                                                                                                           H   |!"ñ         !     "ñ                                                                                                                           H   |!"ñ         !     "ñ                                                                                                                           H    `!X         "      X    `!X                                                                                                                    h  W X         !     X X                                                                                                                            8  X 8         !     X 8                                                                                                                            8  X 8         !     X 8                                                                                                                               `!X         "      X    `!X                                                                                                                       `!X         !     `!X                                                                                                                               `!X         "      X    `!X                                                                                                                       `!X         "      X    `!X                                                                                                                       `!\                                                                                                                                                 `!\         !     `!\                                                                                                                               `!\                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      H   X         !     £ X                                                                                                                            R   Z         !      Z                                                                                                                            p   X     0 X !      X                                                                                                                             (  8         !      8                                                                                                                           J    `!8         !     `!8                                                                                                                           K p   X         !      X                                                                                                                            0 ( @!8         !     @!8                                                                                                                           H    `!X         !     `!X                                                                                                                           H    `!X         !     `!X                                                                                                                           H    `!X         !     `!X                                                                                                                           H 9_   _^^^^^^    ^                                       _^^        ^    ^^^                    mX° \° i° j° 9n° )d° f° k° OX° Aw° OX°
[  104] 0x594ACD (no pad) | Z° ^X° OX° OX° p° OX° OX° OX° nV°
[  105] 0x594AF1 (no pad) | Z° ^X° OX° OX° p° OX° ët° és° äu° OX° OX° OX° rX° ]° i° j° o° d° g° ol° YX° w° YX° D[° cX° YX° YX° {r° YX° YX° YX° V° D[° cX° YX° YX° {r° YX° t° òs° u° YX° YX° YX° Z° $d° j° k° p° f° i° 4n° TX° TX° TX° \° hX° TX° TX° âs° TX° TX° TX° JX° \° hX° TX° TX° âs° TX° åu° Üt° <w° TX° TX° TX°
[  107] 0x594C48 (pad:  7) | Pause
[  109] 0x594C9E (pad: 12) | ã
[  110] 0x594CAC (pad: 12) | Schlaf
[  111] 0x594CBA (pad:  7) | Gift
[  112] 0x594CC8 (pad:  9) | Traurigkeit
[  113] 0x594CD6 (pad:  2) | Zorn
[  114] 0x594CE4 (pad:  9) | Verwirrung
[  115] 0x594CF2 (pad:  3) | Stummheit
[  116] 0x594D00 (pad:  4) | Schnell
[  117] 0x594D0E (pad:  6) | Langsam
[  118] 0x594D1C (pad:  6) | Stop
[  122] 0x594D54 (pad: 12) | Versteinerung
[  123] 0x594D62 (no pad) | regen
[  126] 0x594D8C (pad: 12) | Reflektieren
[  127] 0x594D9A (pad:  1) | Doppel
[  128] 0x594DA8 (pad:  7) | Schild
[  131] 0x594DD2 (pad: 12) | Toll
[  132] 0x594DE0 (pad:  9) | Einzigartig
[  133] 0x594DEE (pad:  2) | Lähmung
[  134] 0x594DFC (pad:  6) | Dunkelheit
[  140] 0x00594E75 (cleaned) | Wieviel willst du ausgeben?
[  141] 0x594EA4 (no pad) | Gil
[  142] 0x594EA8 (no pad) | Nach
[  143] 0x594EB0 (pad:  3) | Gil auf der Hand
[  144] 0x00595056 (cleaned) | Weiter?
[  145] 0x595080 (no pad) | Ja     Nein
[  146] 0x595090 (pad:  4) | Vorhandene Schlachtpunkte
[  147] 0x5950AA (no pad) | Schlitzstart!
[  148] 0x5950C4 (pad: 12) | TOLL!!
[  149] 0x5950DE (pad: 19) | Gewonnene Schlachtpunkte
[  150] 0x5950F8 (pad:  1) | Ok, dann los!
[  151] 0x595117 (pad: 17) | Zaubersubstanz kaputt.
[  152] 0x595136 (pad:  6) | Aufrufsubstanz kaputt.
[  153] 0x595155 (pad:  6) | Support-Substanz kaputt.
[  154] 0x595174 (pad:  4) | Unabhängige Substanz kaputt.
[  155] 0x595193 (no pad) | Befehlssubstanz kaputt.
[  156] 0x5951B2 (pad:  5) | Alle Substanz kaputt.
[  157] 0x5951D1 (pad:  7) | Zubehör kaputt.
[  158] 0x5951F0 (pad: 13) | Objektbefehl ist versiegelt.
[  159] 0x59520F (no pad) | Rüstzeug kaputt.
[  160] 0x59522E (pad: 12) | Waffe kaputt.
[  161] 0x59524D (pad: 15) | 1/2 Geschwindigkeit.
[  162] 0x59526C (pad:  8) | 1/2 Genauigkeit.
[  163] 0x59528B (pad: 12) | Minimum
[  164] 0x5952AA (pad: 21) | Gift
[  165] 0x5952C9 (pad: 24) | Kröte
[  166] 0x5952E8 (pad: 23) | Zeit x30 Schaden.
[  167] 0x595307 (pad: 11) | 5 Ebenen zurück.
[  168] 0x595326 (pad: 12) | 10 Ebenen zurück.
[  169] 0x595345 (pad: 11) | 1/2 HP.
[  170] 0x595364 (pad: 21) | 1/2 MP.
[  171] 0x595383 (pad: 21) | 1/2 HP&MP.
[  172] 0x5953A2 (pad: 18) | Null MP.
[  173] 0x5953C1 (pad: 20) | Jaa! Keine Behinderung!!
[  174] 0x5953E0 (pad:  4) | HP wiederhergestellt.
[  175] 0x595400 (pad:  8) | Besorgt um die anderen Mitglieder?
[  176] 0x595423 (no pad) | Ja, ein bichen
[  177] 0x595446 (pad: 19) | Eigentlich nicht
[  178] 0x595480 (pad:  6) | 4      £   "   !   &   &   !   !       x   p  @   x    p  @    GWXWsiW:zWx"  \   *   !    `b/ ! 0G  #  ã   *   !   '   `
[  179] 0x595514 (NOT FOUND: Speichern) | /
[  182] 0x595558 (no pad) | QRSTUVWXYZ[\]^`adefgh   jklmnopqrstuvwxyDEGHIJK qu      +! ë c   [!  ç V B v r  l   o!å l   S Speichern
[  183] 0x00595626 (cleaned) | Reformieren
[  184] 0x595656 (pad: 26) | Mitglieden in zwei Gruppen aufteilen
[  185] 0x59567C (pad:  1) | Mitglieder in drei Gruppen aufteilen
[  186] 0x5956A2 (pad:  1) | Gruppe aus zwei Personen bilden
[  187] 0x5956C8 (pad:  6) | Gruppe aus drei Personen bilden
[  188] 0x5956EE (pad:  6) | Auswählen mit [START]-Taste
[  189] 0x595718 (pad: 14) | Element
[  190] 0x59572E (pad: 14) | Effekt
[  191] 0x595744 (pad: 15) | Angreifen
[  192] 0x59575A (pad: 12) | Verteidigen
[  193] 0x595770 (pad: 10) | Halbieren
[  194] 0x595786 (pad: 12) | Ungültig
[  195] 0x59579C (pad: 13) | Absorbieren
[  196] 0x5957F4 (pad: 21) | Stärke
[  197] 0x59580A (pad: 15) | Geschick
[  198] 0x595820 (pad: 13) | Vitalität
[  199] 0x595836 (pad: 12) | Zauber
[  200] 0x59584C (pad: 15) | Moral
[  201] 0x595862 (pad: 16) | Glück
[  202] 0x595878 (pad: 16) | Angreifen
[  203] 0x59588E (pad: 12) | Angreifen %
[  204] 0x5958A4 (pad: 10) | Verteidigen
[  205] 0x5958BA (pad: 10) | Verteidigen %
[  206] 0x5958D0 (pad:  8) | Zbrangrf
[  207] 0x5958E6 (pad: 13) | Zbrvertdg
[  208] 0x5958FC (pad: 12) | Zbrvertdg %
[  209] 0x595912 (pad: 10) | Waf.
[  210] 0x595928 (pad: 17) | Rüs.
[  211] 0x59593E (pad: 17) | Acc.
[  212] 0x595954 (pad: 17) | Limit-Ebene
[  213] 0x005959BB (cleaned) | STUFE 1
[  214] 0x5959E8 (pad: 24) | STUFE 2
[  215] 0x595A08 (pad: 24) | STUFE 3
[  216] 0x595A28 (pad: 24) | STUFE 4
[  217] 0x595A48 (pad: 24) | LIMIT-STUFE einrichten.
[  218] 0x595A68 (pad:  8) | Einrichten
[  219] 0x595A88 (pad: 21) | Prüfen
[  220] 0x595AA8 (pad: 25) | Bei nderung der STUFE
[  221] 0x595AC8 (pad:  9) | Beginn bei Limit-Punkt 0.
[  222] 0x595AE8 (pad:  6) | STUFE ändern?
[  223] 0x595B08 (pad: 18) | Ja
[  224] 0x595B28 (pad: 29) | Nein
[  225] 0x595B48 (pad: 27) | Limit gewählt!
[  226] 0x595B68 (pad: 17) | STUFE wählen
[  357] 0x5962B0 (no pad) | 7aBf
[  375] 0x59635C (no pad) | 7nBz
[  380] 0x5969F8 (pad:  1) | Hitze
[  381] 0x596A04 (pad:  6) | Kälte
[  382] 0x596A10 (pad:  6) | Gewitter
[  383] 0x596A1C (pad:  3) | Erde
[  384] 0x596A28 (pad:  7) | Gift
[  385] 0x596A34 (pad:  7) | Schwerkraft
[  386] 0x596A40 (no pad) | Wasser
[  387] 0x596A4C (pad:  5) | Wind
[  388] 0x596A58 (pad:  7) | Heilig
[  389] 0x596A68 (pad:  9) | Tod
[  390] 0x596A7C (pad: 16) | Gefahr
[  391] 0x596A90 (pad: 13) | Schlaf
[  392] 0x596AA4 (pad: 13) | Gift
[  393] 0x596AB8 (pad: 15) | Trauer
[  394] 0x596ACC (pad: 13) | Zorn
[  395] 0x596AE0 (pad: 15) | Psycho
[  396] 0x596AF4 (pad: 13) | Schweigen
[  397] 0x596B08 (pad: 10) | Hast
[  398] 0x596B1C (pad: 15) | Gemach
[  399] 0x596B30 (pad: 13) | Stop
[  400] 0x596B44 (pad: 15) | Frosch
[  401] 0x596B58 (pad: 13) | Zwerg
[  402] 0x596B6C (pad: 14) | Allm.Verstein.
[  403] 0x596B80 (pad:  5) | Verstein.
[  404] 0x596B94 (pad: 10) | Heilung
[  405] 0x596BA8 (pad: 12) | Barriere
[  406] 0x596BBC (pad: 11) | ZBarr.
[  407] 0x596BD0 (pad: 13) | Wasser
[  408] 0x596BF8 (pad: 19) | Schild
[  409] 0x596C0C (pad: 13) | Todesurteil
[  410] 0x596C20 (pad:  8) | Manipul.
[  411] 0x596C34 (pad: 11) | Tobsucht
[  412] 0x596C48 (pad: 11) | Unverwundbar
[  413] 0x596C5C (pad:  7) | Lähmung
[  414] 0x596C70 (pad: 12) | Blind
[  415] 0x596C88 (pad: 18) | Element/Nebenwirkung
[  416] 0x596CA1 (pad:  4) | Zusatzwirkung
[  417] 0x596CBA (pad: 11) | Angriff
[  418] 0x596CD3 (pad: 17) | Verteidigung
[  419] 0x596CEC (pad: 12) | Halbieren
[  420] 0x596D05 (pad: 15) | Unwirksam
[  421] 0x596D1E (pad: 15) | Absorbieren
[  422] 0x596D82 (pad: 24) | Stärke
[  423] 0x596D9B (pad: 18) | Geschick
[  424] 0x596DB4 (pad: 16) | Vitalität
[  425] 0x596DCD (pad: 15) | Zauber
[  426] 0x596DE6 (pad: 18) | Gemüt
[  427] 0x596DFF (pad: 19) | Glück
[  428] 0x596E18 (pad: 19) | Angriff
[  429] 0x596E31 (pad: 17) | Angriff %
[  430] 0x596E4A (pad: 15) | Verteidigung
[  431] 0x596E63 (pad: 12) | Verteidigung %
[  432] 0x596E7C (pad: 10) | Zauber
[  433] 0x596E95 (pad: 18) | Zauberabwehr
[  434] 0x596EAE (pad: 12) | Zauberabw. %
[  435] 0x596EC7 (pad: 12) | Waf.
[  436] 0x596EE0 (pad: 20) | Rüs.
[  437] 0x596EF9 (pad: 20) | Acc.
[  438] 0x596F12 (pad: 20) | Limit-Stufe
[  439] 0x00596F78 (cleaned) | Waf.
[  440] 0x596F96 (pad: 17) | Rüs.
[  441] 0x596FAC (pad: 17) | Acc.
[  442] 0x596FC2 (pad: 17) | Zub.
[  443] 0x596FD8 (pad: 17) | Stärke
[  444] 0x596FEE (pad: 15) | Geschick
[  445] 0x597004 (pad: 13) | Vitalitä
[  446] 0x59701A (pad: 13) | Zauber
[  447] 0x597030 (pad: 15) | Moral
[  448] 0x597046 (pad: 16) | Glück
[  449] 0x59705C (pad: 16) | Angriff
[  450] 0x597072 (pad: 14) | Angriff %
[  451] 0x597088 (pad: 12) | Verteidigung
[  452] 0x59709E (pad:  9) | Verteidigung %
[  453] 0x5970B4 (pad:  7) | Zauber
[  454] 0x5970CA (pad: 15) | Zauberabwehr
[  455] 0x5970E0 (pad:  9) | Zauberabw. %
[  456] 0x5970F6 (pad:  9) | Fassung:
[  457] 0x59710C (pad: 13) | Wachstum:
[  458] 0x597122 (pad: 12) | Keine
[  459] 0x597138 (pad: 16) | Normal
[  460] 0x59714E (pad: 15) | Doppelt
[  461] 0x597164 (pad: 14) | Dreifach
[  462] 0x005971D1 (cleaned) | Feuer
[  463] 0x5971EC (pad:  6) | Kälte
[  464] 0x5971F8 (pad:  6) | Blitz
[  465] 0x597204 (pad:  6) | Erde
[  466] 0x597210 (pad:  7) | Gift
[  467] 0x59721C (pad:  7) | Schwerkraft
[  468] 0x597228 (no pad) | Wasser
[  469] 0x597234 (pad:  5) | Wind
[  470] 0x597240 (pad:  7) | Heilig
[  471] 0x597250 (pad:  9) | Soll das wirklich entfernt werden?
[  472] 0x597274 (pad:  1) | Ja!
[  473] 0x597298 (pad: 32) | Einen Moment
[  474] 0x5972BC (pad: 23) | Sephiroth
[  475] 0x5972E0 (pad: 22) | Waf.
[  476] 0x5972FC (pad: 23) | Rüs.
[  477] 0x597318 (pad: 23) | Fähigkeitsliste
[  478] 0x597334 (pad: 12) | Rüstungseffekt
[  479] 0x597350 (pad: 13) | Prüfen
[  480] 0x59736C (pad: 21) | Ordnen
[  481] 0x597388 (pad: 21) | Gespeicherte Zahl   /24
[  482] 0x5973A4 (pad:  4) | AP
[  483] 0x5973C0 (pad: 25) | Auf nächste Ebene
[  484] 0x5973DC (pad: 10) | MASTER
[  485] 0x5973F8 (pad: 21) | Ordnen
[  486] 0x597414 (pad: 21) | Tauschen
[  487] 0x597430 (pad: 19) | Alles entfernen
[  488] 0x59744C (pad: 12) | Wegwerfen
[  489] 0x597484 (pad: 27) | Geschwindigkeit   %HåHER
[  490] 0x5974A0 (pad:  3) | Schutz   %HåHER
[  491] 0x5974BC (pad: 12) | Zauberkraft   %HåHER
[  492] 0x5974D8 (pad:  7) | Glück   %HåHER
[  493] 0x5974F4 (pad: 13) | MASTER
[  494] 0x597510 (pad: 21) | Stärke
[  495] 0x59752C (pad: 21) | Vitalität
[  496] 0x597548 (pad: 18) | Zauber
[  497] 0x597564 (pad: 21) | Zbrvertdg
[  498] 0x597580 (pad: 18) | Geschick
[  499] 0x59759C (pad: 19) | Glück
[  500] 0x5975B8 (pad: 22) | MAXHP
[  501] 0x5975D4 (pad: 22) | MAXMP
[  502] 0x5975F0 (pad: 22) | MAXHP
[  503] 0x59760C (pad: 22) | MAXMP
[  504] 0x597628 (pad: 22) | EXP.UP
[  505] 0x597644 (pad: 21) | Gil UP
[  506] 0x597660 (pad: 21) | Treffen - %
[  507] 0x59767C (pad: 16) | Treffen + %
[  508] 0x597698 (pad: 16) | Chocobo treffen
[  509] 0x5976B4 (pad: 12) | Präventivm. + %
[  510] 0x5976D0 (pad: 12) | Fernangriff
[  511] 0x5976EC (pad: 16) | Alle angreifen
[  512] 0x597708 (pad: 13) | Gegenangriff
[  513] 0x597724 (pad: 15) | Alle angreifen
[  514] 0x597740 (pad: 13) | Ständiger Angriff
[  515] 0x59775C (pad: 10) | HP/MP-nderung
[  517] 0x00597869 (cleaned) | Zauber
[  518] 0x597886 (pad: 15) | Beschwören
[  519] 0x59789C (pad: 11) | Feindtechnik
[  520] 0x5978B2 (pad:  9) | Zusätzliche Fähigkeit
[  521] 0x5978C8 (no pad) | Alle
[  522] 0x5978DE (pad: 17) | 4x-Zber
[  523] 0x5978F4 (pad: 14) | MP absorb.
[  524] 0x59790A (pad: 11) | HP absorb.
[  525] 0x597936 (pad: 21) | Auch stehl.
[  526] 0x59794C (pad: 10) | Schlag
[  527] 0x597962 (pad: 15) | Turbo-MP
[  528] 0x597978 (pad: 13) | Nichts
[  529] 0x59798E (pad: 15) | Nicht genug MP.
[  530] 0x005979F8 (cleaned) | Verwenden
[  531] 0x597A1A (pad:  8) | Ordnen
[  532] 0x597A2C (pad: 11) | Schlüsselobjekte
[  533] 0x597A3E (pad:  1) | Allein
[  534] 0x597A50 (pad: 11) | Feld
[  535] 0x597A62 (pad: 13) | Schlacht
[  536] 0x597A74 (pad:  9) | Werfen
[  537] 0x597A86 (pad: 11) | Typ
[  538] 0x597A98 (pad: 14) | Name
[  539] 0x597AAA (pad: 13) | Max.
[  540] 0x597ABC (pad: 13) | Min.
[  541] 0x597AD0 (pad: 15) | OK! Klar!
[  542] 0x597AF8 (pad: 30) | Ich bin nicht sicher, aber
[  543] 0x597B20 (pad: 12) | Ist mir egal.
[  544] 0x597B48 (pad: 26) | Heh! Heh!
[  545] 0x597B70 (pad: 30) | V-v-verdammt! Mein Kopf!
[  546] 0x597B98 (pad: 15) | Hat nichts mit mir zu tun!
[  547] 0x597BC0 (pad: 13) | Hmm, das wär's also.
[  548] 0x597BE8 (pad: 19) | Ich bin nicht sicher, aber
[  549] 0x597C10 (pad: 12) | Ich hab die falsche Person erwischt.
[  550] 0x597C38 (pad:  3) | Das sollte ok sein.
[  551] 0x597C60 (pad: 20) | Noch nicht ganz bereit.
[  552] 0x597C88 (pad: 16) | Nein, ich bin es nicht.
[  553] 0x597CB0 (pad: 16) | Ok, klar!
