# German Strings - Clean Offsets (Text Start, No Empties)
# Source: /mnt/d/Games/Stand-alone/FINAL FANTASY VII/ff7_de.exe
# Region: 0x58FBB0 - 0x5A0000
# Total: 895 non-empty strings
# Offset points to where TEXT starts (after padding)
# Format: [INDEX] OFFSET (PAD_BYTES) | TEXT
================================================================================

[  102] 0x005918C6 (cleaned) | keines  esc Q   R   S   T   U   V   W   X   Y   P      apostrophe  rcktaste   tab q   w   e   r   t   z   u   i   o   p      K   eingabe linke@strg  a   s   d   f   g   h   j   k   l         ~   linker@shift    C   y   x   c   v   b   n   m   komma   punkt   minus   rechter@shift   mal alt leertaste   caps    fQ  fR  fS  fT  fU  fV  fW  fX  fY  fQP numlock scroll  numN@W  numN@X  numN@Y  minus   numN@T  numN@U  numN@V  plus    numN@Q  numN@R  numN@S  numN@P  numN@entf   keines  keines  keines  fQQ fQR keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  fQS fQT fQU keines  keines  keines  keines  keines  keines  keines  keines  keines  kana    keines  keines  keines  keines  keines  keines  keines  keines  convert keines  noconvert   keines  yen keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  numpadequals    keines  keines  circumflex  at  colon   underline   kanji   stop    ax  unlabeled   keines  keines  keines  keines  numN@enter  rechte@strg keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  numN@komma  keines  geteilt keines  prtN@scrn   alt@gr  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  pos@Q   hoch    bN@hoch keines  links   keines  rechts  keines  ende    herunter    bN@runter   einfg   entf    keines  keines  keines  keines  keines  keines  keines  linker@win  rechter@win apps    keines  mousebQ    mousebR    mousebS    keines  hoch    runter  links   rechtes keines  keines  keines  keines  button@Q    button@R    button@S    button@T    button@U    button@V    button@W    button@X    button@Y    button@QP   keines  EôÜÜWèîñõNâÜç  EôÜÜWèîñõNâÜç
[  103] 0x5921D8 (no pad) | "   ëåõâRáNõèì ëåõâRàNõèì öåîèéNõèì  âïíïáNõèì   âïíïàNõèì   âïíïâNõèì   ëåõâRNõèì  öåîèNõèì    âïíïNõèì    cZ|ffW|ôòâ|ìåî|àõíìåî|çåòìáî|âáííàáâëNâññ ôÜïîõáíNõèì  ôÜïîõàíNõèì  àõí•èîáíNõèì àõí•èîàíNõèì àõí•èîâíNõèì àõí•èîãíNõèì ôÜïîõíNõèì    àõí•èîíNõèì       H          (8!    0  0   88!0 "  (   0 ( "  8   0 ( "  H   0 ( "  X   0 ( "  h   0 ( "  x   0 ( "  é   0 ( "  £   0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "  (!  0 ( " 0( 0 0 ( " 08 0 0 ( " 0H 0 0 ( " 0X 0 0 ( " 0h 0 0 ( " 0x 0 0 ( " 0é 0 0 ( " 0£ 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0(!0 0 (      (   88!(       4          (£     0  0   8£ 0 "  (   0 ( "  8   0 ( "  H   0 ( "  X   0 ( "  h   0 ( "  x   0 ( "  é   0 ( " 0( 0 0 ( " 08 0 0 ( " 0H 0 0 ( " 0X 0 0 ( " 0h 0 0 ( " 0x 0 0 ( " 0é 0 0 (      (   8£ (       L          (X!    0  0   8X!0 "  (   0 ( "  8   0 ( "  H   0 ( "  X   0 ( "  h   0 ( "  x   0 ( "  é   0 ( "  £   0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "  (!  0 ( " 0( 0 0 ( " 08 0 0 ( " 0H 0 0 ( " 0X 0 0 ( " 0h 0 0 ( " 0x 0 0 ( " 0é 0 0 ( " 0£ 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0(!0 0 (      (   8X!( "  8!  0 ( "  H!  0 ( " 08!0 0 ( " 0H!0 0 (         l!"ñ         "     2!ñ 2!  "ñ                                                                                                                     t!î ñ         !     ñ ñ                                                                                                                            P t!£ P         !     £ P                                                                                                                            P t!£ P         !     £ P                                                                                                                              |!"ñ         "     !ñ !  "ñ                                                                                                                      |!"ñ         !     "ñ                                                                                                                              |!"ñ         "     !ñ !  "ñ                                                                                                                      |!"ñ         "     !ñ !  "ñ                                                                                                                      l!"£                                                                                                                                                |!"£         !     "£                                                                                                                              l!"£                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ã t!!ñ         !      ñ                                                                                                                            ã |!h!õ         !     h!õ                                                                                                                             ã!!ñ     @ ñ !     !ñ                                                                                                                             0  !P         !      !P                                                                                                                           J   <!"P         !     "P                                                                                                                           K  |!0!ñ         !     0!ñ                                                                                                                            @ 0 `"P         !     `"P                                                                                                                           H   |!"ñ         !     "ñ                                                                                                                           H   |!"ñ         !     "ñ                                                                                                                           H   |!"ñ         !     "ñ                                                                                                                           H    `!X         "      X    `!X                                                                                                                    h  W X         !     X X                                                                                                                            8  X 8         !     X 8                                                                                                                            8  X 8         !     X 8                                                                                                                               `!X         "      X    `!X                                                                                                                       `!X         !     `!X                                                                                                                               `!X         "      X    `!X                                                                                                                       `!X         "      X    `!X                                                                                                                       `!\                                                                                                                                                 `!\         !     `!\                                                                                                                               `!\                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      H   X         !     £ X                                                                                                                            R   Z         !      Z                                                                                                                            p   X     0 X !      X                                                                                                                             (  8         !      8                                                                                                                           J    `!8         !     `!8                                                                                                                           K p   X         !      X                                                                                                                            0 ( @!8         !     @!8                                                                                                                           H    `!X         !     `!X                                                                                                                           H    `!X         !     `!X                                                                                                                           H    `!X         !     `!X                                                                                                                           H 9_   _^^^^^^    ^                                       _^^        ^    ^^^                    mX° \° i° j° 9n° )d° f° k° OX° Aw° OX°
[  104] 0x594ACD (no pad) | Z° ^X° OX° OX° p° OX° OX° OX° nV°
[  105] 0x594AF1 (no pad) | Z° ^X° OX° OX° p° OX° ët° és° äu° OX° OX° OX° rX° ]° i° j° o° d° g° ol° YX° w° YX° D[° cX° YX° YX° {r° YX° YX° YX° V° D[° cX° YX° YX° {r° YX° t° òs° u° YX° YX° YX° Z° $d° j° k° p° f° i° 4n° TX° TX° TX° \° hX° TX° TX° âs° TX° TX° TX° JX° \° hX° TX° TX° âs° TX° åu° Üt° <w° TX° TX° TX°
[  106] 0x594C28 (pad:  4) | 0G#ã * !        !"#%
[  107] 0x594C48 (pad:  7) | Pause
[  108] 0x594C50 (pad:  2) | ß  Z!!\ ì   Xx£ <L\ x"  \   *   !     _    ã
[  109] 0x594C9E (pad: 12) | ã
[  110] 0x594CAC (pad: 12) | Schlaf
[  111] 0x594CBA (pad:  7) | Gift
[  112] 0x594CC8 (pad:  9) | Traurigkeit
[  113] 0x594CD6 (pad:  2) | Zorn
[  114] 0x594CE4 (pad:  9) | Verwirrung
[  115] 0x594CF2 (pad:  3) | Stummheit
[  116] 0x594D00 (pad:  4) | Schnell
[  117] 0x594D0E (pad:  6) | Langsam
[  118] 0x594D1C (pad:  6) | Stop
[  119] 0x594D2A (pad:  9) | ã
[  120] 0x594D38 (pad: 12) | ã
[  121] 0x594D46 (pad: 12) | ã
[  122] 0x594D54 (pad: 12) | Versteinerung
[  123] 0x594D62 (no pad) | regen
[  124] 0x594D70 (pad:  8) | ã
[  125] 0x594D7E (pad: 12) | ã
[  126] 0x594D8C (pad: 12) | Reflektieren
[  127] 0x594D9A (pad:  1) | Doppel
[  128] 0x594DA8 (pad:  7) | Schild
[  129] 0x594DB6 (pad:  7) | ã
[  130] 0x594DC4 (pad: 12) | ã
[  131] 0x594DD2 (pad: 12) | Toll
[  132] 0x594DE0 (pad:  9) | Einzigartig
[  133] 0x594DEE (pad:  2) | Lähmung
[  134] 0x594DFC (pad:  6) | Dunkelheit
[  135] 0x594E0A (pad:  3) | ã
[  136] 0x594E18 (pad: 12) | ã
[  137] 0x594E26 (pad: 12) | ã
[  138] 0x594E34 (pad: 12) | ã
[  139] 0x594E42 (pad: 12) | ã
[  140] 0x00594E75 (cleaned) | Wieviel willst du ausgeben?
[  141] 0x594EA4 (no pad) | Gil
[  142] 0x594EA8 (no pad) | Nach
[  143] 0x594EB0 (pad:  3) | Gil auf der Hand
[  144] 0x00595056 (cleaned) | Weiter?
[  145] 0x595080 (no pad) | Ja     Nein
[  146] 0x595090 (pad:  4) | Vorhandene Schlachtpunkte
[  147] 0x5950AA (no pad) | Schlitzstart!
[  148] 0x5950C4 (pad: 12) | TOLL!!
[  149] 0x5950DE (pad: 19) | Gewonnene Schlachtpunkte
[  150] 0x5950F8 (pad:  1) | Ok, dann los!
[  151] 0x595117 (pad: 17) | Zaubersubstanz kaputt.
[  152] 0x595136 (pad:  6) | Aufrufsubstanz kaputt.
[  153] 0x595155 (pad:  6) | Support-Substanz kaputt.
[  154] 0x595174 (pad:  4) | Unabhängige Substanz kaputt.
[  155] 0x595193 (no pad) | Befehlssubstanz kaputt.
[  156] 0x5951B2 (pad:  5) | Alle Substanz kaputt.
[  157] 0x5951D1 (pad:  7) | Zubehör kaputt.
[  158] 0x5951F0 (pad: 13) | Objektbefehl ist versiegelt.
[  159] 0x59520F (no pad) | Rüstzeug kaputt.
[  160] 0x59522E (pad: 12) | Waffe kaputt.
[  161] 0x59524D (pad: 15) | 1/2 Geschwindigkeit.
[  162] 0x59526C (pad:  8) | 1/2 Genauigkeit.
[  163] 0x59528B (pad: 12) | Minimum
[  164] 0x5952AA (pad: 21) | Gift
[  165] 0x5952C9 (pad: 24) | Kröte
[  166] 0x5952E8 (pad: 23) | Zeit x30 Schaden.
[  167] 0x595307 (pad: 11) | 5 Ebenen zurück.
[  168] 0x595326 (pad: 12) | 10 Ebenen zurück.
[  169] 0x595345 (pad: 11) | 1/2 HP.
[  170] 0x595364 (pad: 21) | 1/2 MP.
[  171] 0x595383 (pad: 21) | 1/2 HP&MP.
[  172] 0x5953A2 (pad: 18) | Null MP.
[  173] 0x5953C1 (pad: 20) | Jaa! Keine Behinderung!!
[  174] 0x5953E0 (pad:  4) | HP wiederhergestellt.
[  175] 0x595400 (pad:  8) | Besorgt um die anderen Mitglieder?
[  176] 0x595423 (no pad) | Ja, ein bichen
[  177] 0x595446 (pad: 19) | Eigentlich nicht
[  178] 0x595480 (pad:  6) | 4      £   "   !   &   &   !   !       x   p  @   x    p  @    GWXWsiW:zWx"  \   *   !    `b/ ! 0G  #  ã   *   !   '   `
[  179] 0x595514 (NOT FOUND: Speichern) | /
[  180] 0x595524 (pad:  8) | "S   S "!sè7áè
[  181] 0x595538 (pad:  1) | $   #   "   !
[  182] 0x595558 (no pad) | QRSTUVWXYZ[\]^`adefgh   jklmnopqrstuvwxyDEGHIJK qu      +! ë c   [!  ç V B v r  l   o!å l   S Speichern
[  183] 0x00595626 (cleaned) | Reformieren
[  184] 0x595656 (pad: 26) | Mitglieden in zwei Gruppen aufteilen
[  185] 0x59567C (pad:  1) | Mitglieder in drei Gruppen aufteilen
[  186] 0x5956A2 (pad:  1) | Gruppe aus zwei Personen bilden
[  187] 0x5956C8 (pad:  6) | Gruppe aus drei Personen bilden
[  188] 0x5956EE (pad:  6) | Auswählen mit [START]-Taste
[  189] 0x595718 (pad: 14) | Element
[  190] 0x59572E (pad: 14) | Effekt
[  191] 0x595744 (pad: 15) | Angreifen
[  192] 0x59575A (pad: 12) | Verteidigen
[  193] 0x595770 (pad: 10) | Halbieren
[  194] 0x595786 (pad: 12) | Ungültig
[  195] 0x59579C (pad: 13) | Absorbieren
[  196] 0x5957F4 (pad: 21) | Stärke
[  197] 0x59580A (pad: 15) | Geschick
[  198] 0x595820 (pad: 13) | Vitalität
[  199] 0x595836 (pad: 12) | Zauber
[  200] 0x59584C (pad: 15) | Moral
[  201] 0x595862 (pad: 16) | Glück
[  202] 0x595878 (pad: 16) | Angreifen
[  203] 0x59588E (pad: 12) | Angreifen %
[  204] 0x5958A4 (pad: 10) | Verteidigen
[  205] 0x5958BA (pad: 10) | Verteidigen %
[  206] 0x5958D0 (pad:  8) | Zbrangrf
[  207] 0x5958E6 (pad: 13) | Zbrvertdg
[  208] 0x5958FC (pad: 12) | Zbrvertdg %
[  209] 0x595912 (pad: 10) | Waf.
[  210] 0x595928 (pad: 17) | Rüs.
[  211] 0x59593E (pad: 17) | Acc.
[  212] 0x595954 (pad: 17) | Limit-Ebene
[  213] 0x005959BB (cleaned) | STUFE 1
[  214] 0x5959E8 (pad: 24) | STUFE 2
[  215] 0x595A08 (pad: 24) | STUFE 3
[  216] 0x595A28 (pad: 24) | STUFE 4
[  217] 0x595A48 (pad: 24) | LIMIT-STUFE einrichten.
[  218] 0x595A68 (pad:  8) | Einrichten
[  219] 0x595A88 (pad: 21) | Prüfen
[  220] 0x595AA8 (pad: 25) | Bei nderung der STUFE
[  221] 0x595AC8 (pad:  9) | Beginn bei Limit-Punkt 0.
[  222] 0x595AE8 (pad:  6) | STUFE ändern?
[  223] 0x595B08 (pad: 18) | Ja
[  224] 0x595B28 (pad: 29) | Nein
[  225] 0x595B48 (pad: 27) | Limit gewählt!
[  226] 0x595B68 (pad: 17) | STUFE wählen
[  227] 0x595B94 (no pad) | R R 3 1P
[  228] 0x595BB0 (no pad) | T T 3!1T
[  229] 0x595BB9 (no pad) | _
[  230] 0x595BBF (pad:  3) | "
[  231] 0x595BCC (no pad) | S S 3"1X
[  232] 0x595BD6 (no pad) | :ö
[  233] 0x595BE8 (no pad) | U U 3#1f
[  234] 0x595C04 (no pad) | V V $1:
[  235] 0x595C0F (pad:  1) | &
[  236] 0x595C20 (no pad) | Y Y 7%1
[  237] 0x595C29 (no pad) | _8£!
[  238] 0x595C3C (no pad) | [ \ &1,
[  239] 0x595C47 (pad:  1) | /
[  240] 0x595C58 (no pad) | f f 3'1T
[  241] 0x595C74 (no pad) | h h 7(1V
[  242] 0x595C90 (no pad) | i i 3)C@
[  243] 0x595CA0 (no pad) | @
[  244] 0x595CAC (no pad) | k k 3*1
[  245] 0x595CB5 (no pad) | _
[  246] 0x595CB8 (no pad) | !
[  247] 0x595CC8 (no pad) | m m 7+1C
[  248] 0x595CE4 (no pad) | n n ,1(
[  249] 0x595CEF (pad:  1) | 2
[  250] 0x595D00 (no pad) | o o -14
[  251] 0x595D0B (pad:  1) | *
[  252] 0x595D1C (no pad) | z z 5.D0
[  253] 0x595D2D (pad:  1) | "
[  254] 0x595D38 (no pad) | { { 7/B
[  255] 0x595D41 (no pad) | _
[  256] 0x595D44 (no pad) | $
[  257] 0x595D54 (no pad) | ~ ~ 50B
[  258] 0x595D5D (no pad) | ü
[  259] 0x595D60 (no pad) | ßV
[  260] 0x595D70 (no pad) | à à 51
[  261] 0x595D7A (no pad) | 4
[  262] 0x595D8C (no pad) | 52B
[  263] 0x595D95 (no pad) | _
[  264] 0x595D9B (pad:  3) | !
[  265] 0x595DA8 (no pad) | á á 53(@
[  266] 0x595DB1 (no pad) | ü
[  267] 0x595DB4 (no pad) | !    "
[  268] 0x595DC4 (no pad) | â â 54(@
[  269] 0x595DCD (no pad) | _
[  270] 0x595DD3 (pad:  3) | ! "
[  271] 0x595DE0 (no pad) | ^ ^ 54
[  272] 0x595DEA (no pad) | 3
[  273] 0x595DFC (no pad) | b b 56
[  274] 0x595E06 (no pad) | 3
[  275] 0x595E18 (no pad) | ` ` 58
[  276] 0x595E22 (no pad) | 3
[  277] 0x595E34 (no pad) | a a 5:
[  278] 0x595E3E (no pad) | 3
[  279] 0x595E50 (no pad) | c c 5<
[  280] 0x595E5A (no pad) | 3
[  281] 0x595E6C (no pad) | d d 5>
[  282] 0x595E76 (no pad) | 3
[  283] 0x595E88 (no pad) | e e 5J
[  284] 0x595E92 (no pad) | 3
[  285] 0x595EA4 (no pad) | ã ã 3<1T
[  286] 0x595EC0 (no pad) | å å 3=14
[  287] 0x595EDC (no pad) | ç ç 7>1X
[  288] 0x595EE5 (no pad) | %
[  289] 0x595EE8 (no pad) | !
[  290] 0x595EF8 (no pad) | é é 7?1D
[  291] 0x595F14 (no pad) | ä ä @17
[  292] 0x595F1D (no pad) | ' &!
[  293] 0x595F30 (no pad) | í í A12
[  294] 0x595F3B (pad:  1) | (
[  295] 0x595F4C (no pad) | ì ì B1+
[  296] 0x595F57 (pad:  1) | 2
[  297] 0x595F61 (no pad) | G
[  298] 0x595F66 (pad:  2) | C p p 3C1P
[  299] 0x595F84 (no pad) | q q  DB
[  300] 0x595F8D (no pad) | _7 !
[  301] 0x595FA0 (no pad) | s s 3E14
[  302] 0x595FBC (no pad) | u u F1*
[  303] 0x595FC7 (pad:  1) | *
[  304] 0x595FD8 (no pad) | v v 5GB
[  305] 0x595FE1 (no pad) | _6 !
[  306] 0x595FF4 (no pad) | x x H1>
[  307] 0x595FFF (pad:  1) | %
[  308] 0x596010 (no pad) | y y 7I1
[  309] 0x59602C (no pad) | £ £ 3Jé
[  310] 0x596048 (no pad) | 3f1
[  311] 0x596052 (no pad) | (
[  312] 0x596064 (no pad) | ö ö 7L
[  313] 0x59606E (no pad) | /
[  314] 0x596080 (no pad) | M
[  315] 0x59608A (no pad) | #
[  316] 0x59609C (no pad) | N
[  317] 0x5960A6 (no pad) | #!
[  318] 0x5960B8 (no pad) | O
[  319] 0x5960C2 (no pad) | #"
[  320] 0x5960D4 (no pad) | P
[  321] 0x5960DE (no pad) | ##
[  322] 0x5960F0 (no pad) | î î 3Q1R
[  323] 0x59610C (no pad) | ô ô 5RD0
[  324] 0x59611D (pad:  1) | "
[  325] 0x596128 (no pad) | ó ó 7S1P
[  326] 0x596138 (no pad) | (
[  327] 0x596144 (no pad) | ò ò T1*
[  328] 0x59614F (pad:  1) | *
[  329] 0x596160 (no pad) | õ õ 7U1<
[  330] 0x59617C (no pad) | ° ° V1*
[  331] 0x596187 (pad:  1) | /
[  332] 0x596198 (no pad) | • • 7W1
[  333] 0x5961B4 (no pad) | ß ß 5XB
[  334] 0x5961BE (no pad) | 0
[  335] 0x5961D0 (no pad) | 5Y(@
[  336] 0x5961E1 (pad:  1) | "
[  337] 0x5961EC (no pad) | 7Z1p
[  338] 0x596208 (no pad) | 5[B
[  339] 0x596211 (no pad) | _
[  340] 0x596217 (pad:  3) | `
[  341] 0x596224 (no pad) | 5\B
[  342] 0x59622D (no pad) | _
[  343] 0x596230 (no pad) | !     ü
[  344] 0x596240 (no pad) | 7]B
[  345] 0x596249 (no pad) | _
[  346] 0x59624C (no pad) | !     ü
[  347] 0x596254 (no pad) | £E
[  348] 0x59625A (pad:  2) | C ü ü 3
[  349] 0x596262 (no pad) | 18
[  350] 0x596270 (no pad) | ã
[  351] 0x596278 (no pad) | 7_B\
[  352] 0x596288 (no pad) | !
[  353] 0x59628C (no pad) | £L
[  354] 0x596292 (pad:  2) | 4   3
[  355] 0x59629A (no pad) | 1J
[  356] 0x5962A8 (no pad) | ã
[  357] 0x5962B0 (no pad) | 7aBf
[  358] 0x5962C0 (no pad) | $
[  359] 0x5962C4 (no pad) | £C
[  360] 0x5962CA (pad:  2) | 3
[  361] 0x5962D2 (no pad) | 1(
[  362] 0x5962D7 (pad:  1) | %
[  363] 0x5962E0 (no pad) | ã
[  364] 0x5962E8 (no pad) | 3cB
[  365] 0x5962F1 (no pad) | _
[  366] 0x5962F4 (no pad) | 8
[  367] 0x5962FC (no pad) | £9
[  368] 0x596302 (pad:  2) | !  7
[  369] 0x59630A (no pad) | 1H
[  370] 0x596318 (no pad) | ã
[  371] 0x596320 (no pad) | 7eB
[  372] 0x596329 (no pad) | '8!
[  373] 0x596340 (no pad) | 7m1R
[  374] 0x596350 (no pad) | ã
[  375] 0x59635C (no pad) | 7nBz
[  376] 0x596378 (no pad) | 6o10
[  377] 0x596385 (pad:  1) | `
[  378] 0x59699C (pad:  8) | "£   £ "S    "]! ^ [!     `!\   \ `!:   q `! q ?  y
[  379] 0x5969E4 (NOT FOUND: Hitze) | "S   S "!sè7áè
[  380] 0x5969F8 (pad:  1) | Hitze
[  381] 0x596A04 (pad:  6) | Kälte
[  382] 0x596A10 (pad:  6) | Gewitter
[  383] 0x596A1C (pad:  3) | Erde
[  384] 0x596A28 (pad:  7) | Gift
[  385] 0x596A34 (pad:  7) | Schwerkraft
[  386] 0x596A40 (no pad) | Wasser
[  387] 0x596A4C (pad:  5) | Wind
[  388] 0x596A58 (pad:  7) | Heilig
[  389] 0x596A68 (pad:  9) | Tod
[  390] 0x596A7C (pad: 16) | Gefahr
[  391] 0x596A90 (pad: 13) | Schlaf
[  392] 0x596AA4 (pad: 13) | Gift
[  393] 0x596AB8 (pad: 15) | Trauer
[  394] 0x596ACC (pad: 13) | Zorn
[  395] 0x596AE0 (pad: 15) | Psycho
[  396] 0x596AF4 (pad: 13) | Schweigen
[  397] 0x596B08 (pad: 10) | Hast
[  398] 0x596B1C (pad: 15) | Gemach
[  399] 0x596B30 (pad: 13) | Stop
[  400] 0x596B44 (pad: 15) | Frosch
[  401] 0x596B58 (pad: 13) | Zwerg
[  402] 0x596B6C (pad: 14) | Allm.Verstein.
[  403] 0x596B80 (pad:  5) | Verstein.
[  404] 0x596B94 (pad: 10) | Heilung
[  405] 0x596BA8 (pad: 12) | Barriere
[  406] 0x596BBC (pad: 11) | ZBarr.
