# FF7 German Menu Strings - Clean Extraction v3
# Total: 529 verified strings
# Confidence threshold: 75%
# Format: [INDEX] OFFSET | TEXT
================================================================================

[0000] 0x58FBB0 | Möchten Sie Final
[0077] 0x590D94 | Gil
[0078] 0x590DA8 | Nächst. Lv
[0079] 0x590DBC | Limit-Stufe
[0080] 0x590DD0 | Anleitung
[0081] 0x590DE4 | Unter
[0082] 0x590DF8 | LV+1
[0083] 0x590E0C | Zorn
[0084] 0x590E20 | Traurigk.
[0089] 0x591094 | Drücken Sie auf [O.K.] um die
[0090] 0x5910D0 | Tastenbelegung zu konfigurieren.
[0091] 0x59110C | Bitte neue Taste drücken
[0096] 0x591238 | [BILD HOCH]
[0097] 0x591274 | [BILD HERUNTER]
[0106] 0x591490 | TASTATUR
[0107] 0x5914CC | JOYSTICK
[0114] 0x594C48 | Pause
[0117] 0x594CAC | Schlaf
[0118] 0x594CBA | Gift
[0119] 0x594CC8 | Traurigkeit
[0120] 0x594CD6 | Zorn
[0121] 0x594CE4 | Verwirrung
[0122] 0x594CF2 | Stummheit
[0123] 0x594D00 | Schnell
[0124] 0x594D0E | Langsam
[0125] 0x594D1C | Stop
[0129] 0x594D54 | Versteinerung
[0130] 0x594D62 | regen
[0133] 0x594D8C | Reflektieren
[0134] 0x594D9A | Doppel
[0135] 0x594DA8 | Schild
[0138] 0x594DD2 | Toll
[0139] 0x594DE0 | Einzigartig
[0140] 0x594DEE | Lähmung
[0141] 0x594DFC | Dunkelheit
[0148] 0x594EA4 | Gil
[0149] 0x594EA8 | Nach
[0150] 0x594EB0 | Gil auf der Hand
[0152] 0x595080 | Ja     Nein
[0153] 0x595090 | Vorhandene Schlachtpunkte
[0154] 0x5950AA | Schlitzstart!
[0155] 0x5950C4 | TOLL!!
[0156] 0x5950DE | Gewonnene Schlachtpunkte
[0157] 0x5950F8 | Ok, dann los!
[0158] 0x595117 | Zaubersubstanz kaputt.
[0159] 0x595136 | Aufrufsubstanz kaputt.
[0160] 0x595155 | Support-Substanz kaputt.
[0161] 0x595174 | Unabhängige Substanz kaputt.
[0162] 0x595193 | Befehlssubstanz kaputt.
[0163] 0x5951B2 | Alle Substanz kaputt.
[0164] 0x5951D1 | Zubehör kaputt.
[0165] 0x5951F0 | Objektbefehl ist versiegelt.
[0166] 0x59520F | Rüstzeug kaputt.
[0167] 0x59522E | Waffe kaputt.
[0168] 0x59524D | 1/2 Geschwindigkeit.
[0169] 0x59526C | 1/2 Genauigkeit.
[0173] 0x5952E8 | Zeit x30 Schaden.
[0174] 0x595307 | 5 Ebenen zurück.
[0175] 0x595326 | 10 Ebenen zurück.
[0181] 0x5953E0 | HP wiederhergestellt.
[0182] 0x595400 | Besorgt um die anderen Mitglieder?
[0183] 0x595423 | Ja, ein bichen
[0184] 0x595446 | Eigentlich nicht
[0195] 0x595656 | Mitglieden in zwei Gruppen aufteilen
[0196] 0x59567C | Mitglieder in drei Gruppen aufteilen
[0197] 0x5956A2 | Gruppe aus zwei Personen bilden
[0198] 0x5956C8 | Gruppe aus drei Personen bilden
[0200] 0x595718 | Element
[0201] 0x59572E | Effekt
[0202] 0x595744 | Angreifen
[0203] 0x59575A | Verteidigen
[0204] 0x595770 | Halbieren
[0205] 0x595786 | Ungültig
[0206] 0x59579C | Absorbieren
[0210] 0x5957F4 | Stärke
[0211] 0x59580A | Geschick
[0212] 0x595820 | Vitalität
[0213] 0x595836 | Zauber
[0214] 0x59584C | Moral
[0215] 0x595862 | Glück
[0216] 0x595878 | Angreifen
[0217] 0x59588E | Angreifen %
[0218] 0x5958A4 | Verteidigen
[0219] 0x5958BA | Verteidigen %
[0220] 0x5958D0 | Zbrangrf
[0221] 0x5958E6 | Zbrvertdg
[0222] 0x5958FC | Zbrvertdg %
[0223] 0x595912 | Waf.
[0224] 0x595928 | Rüs.
[0225] 0x59593E | Acc.
[0226] 0x595954 | Limit-Ebene
[0229] 0x5959E8 | STUFE 2
[0230] 0x595A08 | STUFE 3
[0231] 0x595A28 | STUFE 4
[0232] 0x595A48 | LIMIT-STUFE einrichten.
[0233] 0x595A68 | Einrichten
[0234] 0x595A88 | Prüfen
[0235] 0x595AA8 | Bei nderung der STUFE
[0236] 0x595AC8 | Beginn bei Limit-Punkt 0.
[0237] 0x595AE8 | STUFE ändern?
[0238] 0x595B08 | Ja
[0239] 0x595B28 | Nein
[0240] 0x595B48 | Limit gewählt!
[0241] 0x595B68 | STUFE wählen
[0582] 0x5969F8 | Hitze
[0583] 0x596A04 | Kälte
[0584] 0x596A10 | Gewitter
[0585] 0x596A1C | Erde
[0586] 0x596A28 | Gift
[0587] 0x596A34 | Schwerkraft
[0588] 0x596A40 | Wasser
[0589] 0x596A4C | Wind
[0590] 0x596A58 | Heilig
[0591] 0x596A68 | Tod
[0592] 0x596A7C | Gefahr
[0593] 0x596A90 | Schlaf
[0594] 0x596AA4 | Gift
[0595] 0x596AB8 | Trauer
[0596] 0x596ACC | Zorn
[0597] 0x596AE0 | Psycho
[0598] 0x596AF4 | Schweigen
[0599] 0x596B08 | Hast
[0600] 0x596B1C | Gemach
[0601] 0x596B30 | Stop
[0602] 0x596B44 | Frosch
[0603] 0x596B58 | Zwerg
[0604] 0x596B6C | Allm.Verstein.
[0605] 0x596B80 | Verstein.
[0606] 0x596B94 | Heilung
[0607] 0x596BA8 | Barriere
[0608] 0x596BBC | ZBarr.
[0609] 0x596BD0 | Wasser
[0611] 0x596BF8 | Schild
[0612] 0x596C0C | Todesurteil
[0613] 0x596C20 | Manipul.
[0614] 0x596C34 | Tobsucht
[0615] 0x596C48 | Unverwundbar
[0616] 0x596C5C | Lähmung
[0617] 0x596C70 | Blind
[0618] 0x596C88 | Element/Nebenwirkung
[0619] 0x596CA1 | Zusatzwirkung
[0620] 0x596CBA | Angriff
[0621] 0x596CD3 | Verteidigung
[0622] 0x596CEC | Halbieren
[0623] 0x596D05 | Unwirksam
[0624] 0x596D1E | Absorbieren
[0628] 0x596D82 | Stärke
[0629] 0x596D9B | Geschick
[0630] 0x596DB4 | Vitalität
[0631] 0x596DCD | Zauber
[0632] 0x596DE6 | Gemüt
[0633] 0x596DFF | Glück
[0634] 0x596E18 | Angriff
[0635] 0x596E31 | Angriff %
[0636] 0x596E4A | Verteidigung
[0637] 0x596E63 | Verteidigung %
[0638] 0x596E7C | Zauber
[0639] 0x596E95 | Zauberabwehr
[0640] 0x596EAE | Zauberabw. %
[0641] 0x596EC7 | Waf.
[0642] 0x596EE0 | Rüs.
[0643] 0x596EF9 | Acc.
[0644] 0x596F12 | Limit-Stufe
[0646] 0x596F96 | Rüs.
[0647] 0x596FAC | Acc.
[0648] 0x596FC2 | Zub.
[0649] 0x596FD8 | Stärke
[0650] 0x596FEE | Geschick
[0651] 0x597004 | Vitalitä
[0652] 0x59701A | Zauber
[0653] 0x597030 | Moral
[0654] 0x597046 | Glück
[0655] 0x59705C | Angriff
[0656] 0x597072 | Angriff %
[0657] 0x597088 | Verteidigung
[0658] 0x59709E | Verteidigung %
[0659] 0x5970B4 | Zauber
[0660] 0x5970CA | Zauberabwehr
[0661] 0x5970E0 | Zauberabw. %
[0662] 0x5970F6 | Fassung:
[0663] 0x59710C | Wachstum:
[0664] 0x597122 | Keine
[0665] 0x597138 | Normal
[0666] 0x59714E | Doppelt
[0667] 0x597164 | Dreifach
[0670] 0x5971EC | Kälte
[0671] 0x5971F8 | Blitz
[0672] 0x597204 | Erde
[0673] 0x597210 | Gift
[0674] 0x59721C | Schwerkraft
[0675] 0x597228 | Wasser
[0676] 0x597234 | Wind
[0677] 0x597240 | Heilig
[0678] 0x597250 | Soll das wirklich entfernt werden?
[0679] 0x597274 | Ja!
[0680] 0x597298 | Einen Moment
[0682] 0x5972E0 | Waf.
[0683] 0x5972FC | Rüs.
[0684] 0x597318 | Fähigkeitsliste
[0685] 0x597334 | Rüstungseffekt
[0686] 0x597350 | Prüfen
[0687] 0x59736C | Ordnen
[0688] 0x597388 | Gespeicherte Zahl   /24
[0689] 0x5973A4 | AP
[0690] 0x5973C0 | Auf nächste Ebene
[0691] 0x5973DC | MASTER
[0692] 0x5973F8 | Ordnen
[0693] 0x597414 | Tauschen
[0694] 0x597430 | Alles entfernen
[0695] 0x59744C | Wegwerfen
[0697] 0x597484 | Geschwindigkeit   %HåHER
[0698] 0x5974A0 | Schutz   %HåHER
[0699] 0x5974BC | Zauberkraft   %HåHER
[0700] 0x5974D8 | Glück   %HåHER
[0701] 0x5974F4 | MASTER
[0702] 0x597510 | Stärke
[0703] 0x59752C | Vitalität
[0704] 0x597548 | Zauber
[0705] 0x597564 | Zbrvertdg
[0706] 0x597580 | Geschick
[0707] 0x59759C | Glück
[0708] 0x5975B8 | MAXHP
[0709] 0x5975D4 | MAXMP
[0710] 0x5975F0 | MAXHP
[0711] 0x59760C | MAXMP
[0712] 0x597628 | EXP.UP
[0713] 0x597644 | Gil UP
[0714] 0x597660 | Treffen - %
[0715] 0x59767C | Treffen + %
[0717] 0x5976B4 | Präventivm. + %
[0718] 0x5976D0 | Fernangriff
[0719] 0x5976EC | Alle angreifen
[0720] 0x597708 | Gegenangriff
[0721] 0x597724 | Alle angreifen
[0722] 0x597740 | Ständiger Angriff
[0723] 0x59775C | HP/MP-nderung
[0726] 0x597886 | Beschwören
[0727] 0x59789C | Feindtechnik
[0728] 0x5978B2 | Zusätzliche Fähigkeit
[0729] 0x5978C8 | Alle
[0730] 0x5978DE | 4x-Zber
[0731] 0x5978F4 | MP absorb.
[0732] 0x59790A | HP absorb.
[0734] 0x597936 | Auch stehl.
[0735] 0x59794C | Schlag
[0736] 0x597962 | Turbo-MP
[0737] 0x597978 | Nichts
[0738] 0x59798E | Nicht genug MP.
[0741] 0x597A1A | Ordnen
[0742] 0x597A2C | Schlüsselobjekte
[0743] 0x597A3E | Allein
[0744] 0x597A50 | Feld
[0745] 0x597A62 | Schlacht
[0746] 0x597A74 | Werfen
[0747] 0x597A86 | Typ
[0748] 0x597A98 | Name
[0749] 0x597AAA | Max.
[0750] 0x597ABC | Min.
[0751] 0x597AD0 | OK! Klar!
[0752] 0x597AF8 | Ich bin nicht sicher, aber
[0753] 0x597B20 | Ist mir egal.
[0754] 0x597B48 | Heh! Heh!
[0755] 0x597B70 | V-v-verdammt! Mein Kopf!
[0756] 0x597B98 | Hat nichts mit mir zu tun!
[0757] 0x597BC0 | Hmm, das wär's also.
[0758] 0x597BE8 | Ich bin nicht sicher, aber
[0759] 0x597C10 | Ich hab die falsche Person erwischt.
[0760] 0x597C38 | Das sollte ok sein.
[0761] 0x597C60 | Noch nicht ganz bereit.
[0762] 0x597C88 | Nein, ich bin es nicht.
[0763] 0x597CB0 | Ok, klar!
[0764] 0x597CD8 | Kapier ich nicht.
[0765] 0x597D00 | Hat nichts mit mir zu tun.
[0766] 0x597D28 | Cool! Das sollte ok sein!
[0767] 0x597D50 | Nee! Kapier ich nicht!
[0768] 0x597D78 | Mann, ich tapp total im Dunkeln!
[0769] 0x597DA0 | Ich verlier immer mehr Menschliches
[0770] 0x597DC8 | Ich bin noch nicht bereit.
[0771] 0x597DF0 | Es hat nichts mit mir zu tun.
[0772] 0x597E18 | Das gefällt mir! Her damit!
[0773] 0x597E40 | Hmph. Hab ich nicht ganz kapiert, aber
[0774] 0x597E68 | Nicht ich! Gib es jemand anders!
[0775] 0x597E90 | Es hat nichts mit mir zu tun.
[0860] 0x5986BE | Leer
[0861] 0x5986C8 | Löschen
[0862] 0x5986D2 | Auswählen
[0863] 0x5986DC | Standard
[0864] 0x5986E6 | Abbrechen
[0866] 0x598750 | Freshmake
[0867] 0x598760 | Square
[0868] 0x598770 | 3Dfx
[0869] 0x598780 | Local
[0870] 0x598790 | Gold
[0901] 0x598B54 | GL!
[0934] 0x599254 | Magic Materia!
[0935] 0x599268 | Summon Materia!
[0936] 0x59927C | Command
[0937] 0x599290 | Zero - AW YEAH!
[0938] 0x5992A8 | Feuer
[0939] 0x5992B4 | Kälte
[0940] 0x5992C0 | Blitz
[0941] 0x5992CC | Erde
[0942] 0x5992D8 | Gift
[0943] 0x5992E4 | Schwerkraft
[0944] 0x5992F0 | Wasser
[0945] 0x5992FC | Wind
[0946] 0x599308 | Heilig
[0947] 0x599318 | Soll das wirklich entfernt werden?
[0948] 0x59933C | Ja!
[0949] 0x599360 | Einen Moment
[0951] 0x5993A8 | Waf.
[0952] 0x5993C4 | Rüs.
[0953] 0x5993E0 | Fähigkeitsliste
[0954] 0x5993FC | Rüstungseffekt
[0955] 0x599418 | Prüfen
[0956] 0x599434 | Ordnen
[0957] 0x599450 | Gespeicherte Zahl   /24
[0958] 0x59946C | AP
[0959] 0x599488 | Auf nächste Ebene
[0960] 0x5994A4 | MASTER
[0961] 0x5994C0 | Ordnen
[0962] 0x5994DC | Tauschen
[0963] 0x5994F8 | Alles entfernen
[0964] 0x599514 | Wegwerfen
[0966] 0x59954C | Geschwindigkeit   %HåHER
[0967] 0x599568 | Schutz   %HåHER
[0968] 0x599584 | Zauberkraft   %HåHER
[0969] 0x5995A0 | Glück   %HåHER
[0970] 0x5995BC | MASTER
[0971] 0x5995D8 | Stärke
[0972] 0x5995F4 | Vitalität
[0973] 0x599610 | Zauber
[0974] 0x59962C | Zbrvertdg
[0975] 0x599648 | Geschick
[0976] 0x599664 | Glück
[0977] 0x599680 | MAXHP
[0978] 0x59969C | MAXMP
[0979] 0x5996B8 | MAXHP
[0980] 0x5996D4 | MAXMP
[0981] 0x5996F0 | EXP.UP
[0982] 0x59970C | Gil UP
[0983] 0x599728 | Treffen - %
[0984] 0x599744 | Treffen + %
[0986] 0x59977C | Präventivm. + %
[0987] 0x599798 | Fernangriff
[0988] 0x5997B4 | Alle angreifen
[0989] 0x5997D0 | Gegenangriff
[0990] 0x5997EC | Alle angreifen
[0991] 0x599808 | Ständiger Angriff
[0992] 0x599824 | HP/MP-nderung
[0993] 0x599840 | Kaufen
[0994] 0x59985E | Verkaufen
[0995] 0x59987C | Beenden
[0996] 0x59989A | Objekt
[0997] 0x5998B8 | Materia
[0998] 0x5998D8 | Kaufen Verkaufen Beenden
[0999] 0x5998F8 | Gil
[1000] 0x599918 | Besitz
[1001] 0x599938 | Ausstattung
[1002] 0x599958 | Gesamt
[1003] 0x599978 | Wieviel
[1004] 0x599998 | Objekt    Materia
[1005] 0x5999B8 | Übrige Gil
[1006] 0x5999D8 | Preis für Master
[1007] 0x5999F8 | Preis durch AP
[1008] 0x599A18 | Waf.
[1009] 0x599A2E | Rüs.
[1010] 0x599A44 | Zub.
[1011] 0x599A5A | Zub.
[1012] 0x599A70 | Stärke
[1013] 0x599A86 | Geschick
[1014] 0x599A9C | Vitalitä
[1015] 0x599AB2 | Zauber
[1016] 0x599AC8 | Moral
[1017] 0x599ADE | Glück
[1018] 0x599AF4 | Angreifen
[1019] 0x599B0A | Angreifen %
[1020] 0x599B20 | Verteidigen
[1021] 0x599B36 | Verteidigen %
[1022] 0x599B4C | Zbrangrf
[1023] 0x599B62 | Zbrvertdg
[1024] 0x599B78 | Zbrvertdg %
[1025] 0x599B8E | Schlitz:
[1026] 0x599BA4 | Verstärkung:
[1027] 0x599BBA | Keine
[1028] 0x599BD0 | Normal
[1029] 0x599BE6 | Doppelt
[1030] 0x599BFC | Dreifach
[1033] 0x599C18 | Objektladen
[1034] 0x599C40 | Waffengeschäft
[1035] 0x599C68 | Objektladen
[1036] 0x599C90 | Materia-Laden
[1037] 0x599CB8 | Gemischtwaren
[1038] 0x599CE0 | Gemüseladen
[1039] 0x599D08 | Zubehörladen
[1040] 0x599D30 | Werkzeugladen
[1041] 0x599D58 | Souvenierladen
[1042] 0x599D80 | Willkommen!
[1043] 0x599DAE | Was möchtest du kaufen?
[1044] 0x599DDC | Wie viele willst du davon?
[1045] 0x599E0A | Was möchtest du verkaufen?
[1046] 0x599E38 | Wie viele willst du verkaufen?
[1047] 0x599E66 | Danke!
[1048] 0x599E94 | Danke!
[1049] 0x599EC2 | Du hast nicht genug Geld!
[1051] 0x599F4C | Guten Tag!
[1052] 0x599F7A | Wie kann ich behilflich sein?
[1053] 0x599FA8 | Wie viele willst du davon?
[1054] 0x599FD6 | Hast du was zu verkaufen?
[1055] 0x59A004 | Wie viele willst du?
[1056] 0x59A032 | Vielen Dank!
[1057] 0x59A060 | Ihr werdet doch alle zurückkommen!
[1058] 0x59A08E | Soll das ein Witz sein? Das ist nicht genug!
[1065] 0x59C488 | Wählen Sie eine Speicherdatei aus.
[1066] 0x59C4B0 | Wählen Sie einen Speicherblock aus.
[1067] 0x59C4D8 | STECKPLATZ 1
[1068] 0x59C500 | STECKPLATZ 2
[1069] 0x59C528 | Wirklich?
[1070] 0x59C550 | Bin am Laden. Bitte warten
[1071] 0x59C578 | Bin am Sichern. Bitte warten
[1072] 0x59C5A0 | LEER
[1073] 0x59C5C8 | BLOCK
[1074] 0x59C5F0 | Weiter?
[1076] 0x59C640 | Überprüfe Spielstandsdatei
[1092] 0x59C8C0 | Gespeichert.
[1093] 0x59C8E8 | Speichern nicht möglich.
[1094] 0x59C910 | Laden nicht möglich.
[1095] 0x59C938 | Daten sind zerstört.
[1096] 0x59C960 | NEUES SPIEL
[1097] 0x59C988 | Wirklich speichern?
[1098] 0x59C9B0 | Ja
[1099] 0x59C9D8 | Nein
[1100] 0x59CA00 | Beendet.
[1103] 0x59CAC6 | Formatiert
[1104] 0x59CB08 | Formatierung nicht möglich
[1105] 0x59CB4A | Nicht formatiert
[1106] 0x59CB8C | Jetzt formatieren?
[1107] 0x59CBCE | Memory Card wird geprüft.
[1108] 0x59CC10 | Keine Spielstandsdatei.
[1109] 0x59CC52 | Diese Memory Card ist beschädigt und kann nicht verwendet werden.
[1110] 0x59CC94 | Andere Memory Card einlegen.
[1111] 0x59CCD6 | Nicht genug Platz in der Spielstandsdatei übrig.
[1112] 0x59CD18 | Bitte benutzen Sie eine andere Spielstandsdatei
[1113] 0x59CD5A | oder löschen Sie 1 Block gesicherter Daten.
[1116] 0x59CE20 | Lesen nicht möglich.
[1117] 0x59CE62 | Spiel beginnen?
[1122] 0x59CFB0 | Kann Speicherpuffer der Spielstandsdatei nicht zuordnen!
[1123] 0x59CFEC | Ungültige Spielstandsdatei!
[1124] 0x59D028 | Spielstand 1
[1125] 0x59D03C | Spielstand 2
[1126] 0x59D050 | Spielstand 3
[1127] 0x59D064 | Spielstand 4
[1128] 0x59D078 | Spielstand 5
[1129] 0x59D08C | Spielstand 6
[1130] 0x59D0A0 | Spielstand 7
[1131] 0x59D0B4 | Spielstand 8
[1132] 0x59D0C8 | Spielstand 9
[1133] 0x59D0DC | Spielstand 10
[1136] 0x59D150 | Level
