index,offset,text,length,confidence,reason
K051,0x591B70,KOMMA,5,95,keyboard key - plain ASCII encoding
K052,0x591B78,PUNKT,5,95,keyboard key - plain ASCII encoding
K053,0x591B80,MINUS,5,95,keyboard key - plain ASCII encoding
K054,0x591B88,RECHTER SHIFT,13,95,keyboard key - plain ASCII encoding
K055,0x591B98,MAL,3,95,keyboard key - plain ASCII encoding
K056,0x591B9C,ALT,3,95,keyboard key - plain ASCII encoding
K057,0x591BA0,LEERTASTE,9,95,keyboard key - plain ASCII encoding
K058,0x591BAC,CAPS,4,95,keyboard key - plain ASCII encoding
K059,0x591BB4,F1,2,95,keyboard key - plain ASCII encoding
K060,0x591BB8,F2,2,95,keyboard key - plain ASCII encoding
K061,0x591BBC,F3,2,95,keyboard key - plain ASCII encoding
K062,0x591BC0,F4,2,95,keyboard key - plain ASCII encoding
K063,0x591BC4,F5,2,95,keyboard key - plain ASCII encoding
K064,0x591BC8,F6,2,95,keyboard key - plain ASCII encoding
K065,0x591BCC,F7,2,95,keyboard key - plain ASCII encoding
K066,0x591BD0,F8,2,95,keyboard key - plain ASCII encoding
K067,0x591BD4,F9,2,95,keyboard key - plain ASCII encoding
K068,0x591BD8,F10,3,95,keyboard key - plain ASCII encoding
K069,0x591BDC,NUMLOCK,7,95,keyboard key - plain ASCII encoding
K070,0x591BE4,SCROLL,6,95,keyboard key - plain ASCII encoding
K071,0x591BEC,NUM. 7,6,95,keyboard key - plain ASCII encoding
K072,0x591BF4,NUM. 8,6,95,keyboard key - plain ASCII encoding
K073,0x591BFC,NUM. 9,6,95,keyboard key - plain ASCII encoding
K074,0x591C04,MINUS,5,95,keyboard key - plain ASCII encoding
K075,0x591C0C,NUM. 4,6,95,keyboard key - plain ASCII encoding
K076,0x591C14,NUM. 5,6,95,keyboard key - plain ASCII encoding
K077,0x591C1C,NUM. 6,6,95,keyboard key - plain ASCII encoding
K078,0x591C24,PLUS,4,95,keyboard key - plain ASCII encoding
K079,0x591C2C,NUM. 1,6,95,keyboard key - plain ASCII encoding
K080,0x591C34,NUM. 2,6,95,keyboard key - plain ASCII encoding
K081,0x591C3C,NUM. 3,6,95,keyboard key - plain ASCII encoding
K082,0x591C44,NUM. 0,6,95,keyboard key - plain ASCII encoding
K083,0x591C4C,NUM. ENTF,9,95,keyboard key - plain ASCII encoding
K084,0x591C58,KEINES,6,95,keyboard key - plain ASCII encoding
K085,0x591C60,KEINES,6,95,keyboard key - plain ASCII encoding
K086,0x591C68,KEINES,6,95,keyboard key - plain ASCII encoding
K087,0x591C70,F11,3,95,keyboard key - plain ASCII encoding
K088,0x591C74,F12,3,95,keyboard key - plain ASCII encoding
K089,0x591C78,KEINES,6,95,keyboard key - plain ASCII encoding
K090,0x591C80,KEINES,6,95,keyboard key - plain ASCII encoding
K091,0x591C88,KEINES,6,95,keyboard key - plain ASCII encoding
K092,0x591C90,KEINES,6,95,keyboard key - plain ASCII encoding
K093,0x591C98,KEINES,6,95,keyboard key - plain ASCII encoding
K094,0x591CA0,KEINES,6,95,keyboard key - plain ASCII encoding
K095,0x591CA8,KEINES,6,95,keyboard key - plain ASCII encoding
K096,0x591CB0,KEINES,6,95,keyboard key - plain ASCII encoding
K097,0x591CB8,KEINES,6,95,keyboard key - plain ASCII encoding
K098,0x591CC0,KEINES,6,95,keyboard key - plain ASCII encoding
K099,0x591CC8,KEINES,6,95,keyboard key - plain ASCII encoding
K100,0x591CD0,F13,3,95,keyboard key - plain ASCII encoding
K101,0x591CD4,F14,3,95,keyboard key - plain ASCII encoding
K102,0x591CD8,F15,3,95,keyboard key - plain ASCII encoding
K103,0x591CDC,KEINES,6,95,keyboard key - plain ASCII encoding
K104,0x591CE4,KEINES,6,95,keyboard key - plain ASCII encoding
K105,0x591CEC,KEINES,6,95,keyboard key - plain ASCII encoding
K106,0x591CF4,KEINES,6,95,keyboard key - plain ASCII encoding
K107,0x591CFC,KEINES,6,95,keyboard key - plain ASCII encoding
K108,0x591D04,KEINES,6,95,keyboard key - plain ASCII encoding
K109,0x591D0C,KEINES,6,95,keyboard key - plain ASCII encoding
K110,0x591D14,KEINES,6,95,keyboard key - plain ASCII encoding
K111,0x591D1C,KEINES,6,95,keyboard key - plain ASCII encoding
K112,0x591D24,KANA,4,95,keyboard key - plain ASCII encoding
K113,0x591D2C,KEINES,6,95,keyboard key - plain ASCII encoding
K114,0x591D34,KEINES,6,95,keyboard key - plain ASCII encoding
K115,0x591D3C,KEINES,6,95,keyboard key - plain ASCII encoding
K116,0x591D44,KEINES,6,95,keyboard key - plain ASCII encoding
K117,0x591D4C,KEINES,6,95,keyboard key - plain ASCII encoding
K118,0x591D54,KEINES,6,95,keyboard key - plain ASCII encoding
K119,0x591D5C,KEINES,6,95,keyboard key - plain ASCII encoding
K120,0x591D64,KEINES,6,95,keyboard key - plain ASCII encoding
K121,0x591D6C,CONVERT,7,95,keyboard key - plain ASCII encoding
K122,0x591D74,KEINES,6,95,keyboard key - plain ASCII encoding
K123,0x591D7C,NOCONVERT,9,95,keyboard key - plain ASCII encoding
K124,0x591D88,KEINES,6,95,keyboard key - plain ASCII encoding
K125,0x591D90,YEN,3,95,keyboard key - plain ASCII encoding
K126,0x591D94,KEINES,6,95,keyboard key - plain ASCII encoding
K127,0x591D9C,KEINES,6,95,keyboard key - plain ASCII encoding
K128,0x591DA4,KEINES,6,95,keyboard key - plain ASCII encoding
K129,0x591DAC,KEINES,6,95,keyboard key - plain ASCII encoding
K130,0x591DB4,KEINES,6,95,keyboard key - plain ASCII encoding
K131,0x591DBC,KEINES,6,95,keyboard key - plain ASCII encoding
K132,0x591DC4,KEINES,6,95,keyboard key - plain ASCII encoding
K133,0x591DCC,KEINES,6,95,keyboard key - plain ASCII encoding
K134,0x591DD4,KEINES,6,95,keyboard key - plain ASCII encoding
K135,0x591DDC,KEINES,6,95,keyboard key - plain ASCII encoding
K136,0x591DE4,KEINES,6,95,keyboard key - plain ASCII encoding
K137,0x591DEC,KEINES,6,95,keyboard key - plain ASCII encoding
K138,0x591DF4,KEINES,6,95,keyboard key - plain ASCII encoding
K139,0x591DFC,KEINES,6,95,keyboard key - plain ASCII encoding
K140,0x591E04,KEINES,6,95,keyboard key - plain ASCII encoding
K141,0x591E0C,NUMPADEQUALS,12,95,keyboard key - plain ASCII encoding
K142,0x591E1C,KEINES,6,95,keyboard key - plain ASCII encoding
K143,0x591E24,KEINES,6,95,keyboard key - plain ASCII encoding
K144,0x591E2C,CIRCUMFLEX,10,95,keyboard key - plain ASCII encoding
K145,0x591E38,AT,2,95,keyboard key - plain ASCII encoding
K146,0x591E3C,COLON,5,95,keyboard key - plain ASCII encoding
K147,0x591E44,UNDERLINE,9,95,keyboard key - plain ASCII encoding
K148,0x591E50,KANJI,5,95,keyboard key - plain ASCII encoding
K149,0x591E58,STOP,4,95,keyboard key - plain ASCII encoding
K150,0x591E60,AX,2,95,keyboard key - plain ASCII encoding
K151,0x591E64,UNLABELED,9,95,keyboard key - plain ASCII encoding
K152,0x591E70,KEINES,6,95,keyboard key - plain ASCII encoding
K153,0x591E78,KEINES,6,95,keyboard key - plain ASCII encoding
K154,0x591E80,KEINES,6,95,keyboard key - plain ASCII encoding
K155,0x591E88,KEINES,6,95,keyboard key - plain ASCII encoding
K156,0x591E90,NUM. ENTER,10,95,keyboard key - plain ASCII encoding
K157,0x591E9C,RECHTE STRG,11,95,keyboard key - plain ASCII encoding
K158,0x591EA8,KEINES,6,95,keyboard key - plain ASCII encoding
K159,0x591EB0,KEINES,6,95,keyboard key - plain ASCII encoding
K160,0x591EB8,KEINES,6,95,keyboard key - plain ASCII encoding
K161,0x591EC0,KEINES,6,95,keyboard key - plain ASCII encoding
K162,0x591EC8,KEINES,6,95,keyboard key - plain ASCII encoding
K163,0x591ED0,KEINES,6,95,keyboard key - plain ASCII encoding
K164,0x591ED8,KEINES,6,95,keyboard key - plain ASCII encoding
K165,0x591EE0,KEINES,6,95,keyboard key - plain ASCII encoding
K166,0x591EE8,KEINES,6,95,keyboard key - plain ASCII encoding
K167,0x591EF0,KEINES,6,95,keyboard key - plain ASCII encoding
K168,0x591EF8,KEINES,6,95,keyboard key - plain ASCII encoding
K169,0x591F00,KEINES,6,95,keyboard key - plain ASCII encoding
K170,0x591F08,KEINES,6,95,keyboard key - plain ASCII encoding
K171,0x591F10,KEINES,6,95,keyboard key - plain ASCII encoding
K172,0x591F18,KEINES,6,95,keyboard key - plain ASCII encoding
K173,0x591F20,KEINES,6,95,keyboard key - plain ASCII encoding
K174,0x591F28,KEINES,6,95,keyboard key - plain ASCII encoding
K175,0x591F30,KEINES,6,95,keyboard key - plain ASCII encoding
K176,0x591F38,KEINES,6,95,keyboard key - plain ASCII encoding
K177,0x591F40,KEINES,6,95,keyboard key - plain ASCII encoding
K178,0x591F48,KEINES,6,95,keyboard key - plain ASCII encoding
K179,0x591F50,NUM. KOMMA,10,95,keyboard key - plain ASCII encoding
K180,0x591F5C,KEINES,6,95,keyboard key - plain ASCII encoding
K181,0x591F64,GETEILT,7,95,keyboard key - plain ASCII encoding
K182,0x591F6C,KEINES,6,95,keyboard key - plain ASCII encoding
K183,0x591F74,PRT. SCRN,9,95,keyboard key - plain ASCII encoding
K184,0x591F80,ALT GR,6,95,keyboard key - plain ASCII encoding
K185,0x591F88,KEINES,6,95,keyboard key - plain ASCII encoding
K186,0x591F90,KEINES,6,95,keyboard key - plain ASCII encoding
K187,0x591F98,KEINES,6,95,keyboard key - plain ASCII encoding
K188,0x591FA0,KEINES,6,95,keyboard key - plain ASCII encoding
K189,0x591FA8,KEINES,6,95,keyboard key - plain ASCII encoding
K190,0x591FB0,KEINES,6,95,keyboard key - plain ASCII encoding
K191,0x591FB8,KEINES,6,95,keyboard key - plain ASCII encoding
K192,0x591FC0,KEINES,6,95,keyboard key - plain ASCII encoding
K193,0x591FC8,KEINES,6,95,keyboard key - plain ASCII encoding
K194,0x591FD0,KEINES,6,95,keyboard key - plain ASCII encoding
K195,0x591FD8,KEINES,6,95,keyboard key - plain ASCII encoding
K196,0x591FE0,KEINES,6,95,keyboard key - plain ASCII encoding
K197,0x591FE8,KEINES,6,95,keyboard key - plain ASCII encoding
K198,0x591FF0,KEINES,6,95,keyboard key - plain ASCII encoding
K199,0x591FF8,POS 1,5,95,keyboard key - plain ASCII encoding
K200,0x592000,HOCH,4,95,keyboard key - plain ASCII encoding
K201,0x592008,B. HOCH,7,95,keyboard key - plain ASCII encoding
K202,0x592010,KEINES,6,95,keyboard key - plain ASCII encoding
K203,0x592018,LINKS,5,95,keyboard key - plain ASCII encoding
K204,0x592020,KEINES,6,95,keyboard key - plain ASCII encoding
K205,0x592028,RECHTS,6,95,keyboard key - plain ASCII encoding
K206,0x592030,KEINES,6,95,keyboard key - plain ASCII encoding
K207,0x592038,ENDE,4,95,keyboard key - plain ASCII encoding
K208,0x592040,HERUNTER,8,95,keyboard key - plain ASCII encoding
K209,0x59204C,B. RUNTER,9,95,keyboard key - plain ASCII encoding
K210,0x592058,EINFG,5,95,keyboard key - plain ASCII encoding
K211,0x592060,ENTF,4,95,keyboard key - plain ASCII encoding
K212,0x592068,KEINES,6,95,keyboard key - plain ASCII encoding
