# FF7 English Strings by touphScript Index
# Generated: 2026-01-02 20:49:47 JST
# Session: 93c10c47-4dd6-41a6-aa90-73c6b0def3b1
# Source: /mnt/c/Program Files (x86)/Steam/steamapps/common/FINAL FANTASY VII/ff7_en.exe
# Total strings: 767
#
# Format: [INDEX] [OFFSET_HEX] [LENGTH] [TYPE] | DECODED_EN_TEXT | RAW_HEX_BYTES
# ====================================================================================================

[013] 0x00518A28  48 DEF        | Camera angle | 23 41 4D 45 52 41 00 41 4E 47 4C 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[014] 0x00518A58  48 DEF        | Select | 33 45 4C 45 43 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[015] 0x00518A88  48 DEF        | Cancel | 23 41 4E 43 45 4C FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[016] 0x00518AB8  48 DEF        | Menu | 2D 45 4E 55 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[017] 0x00518C08  48 DEF        | Normal | 2E 4F 52 4D 41 4C FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[018] 0x00518C38  48 DEF        | Customize | 23 55 53 54 4F 4D 49 5A 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[019] 0x00518C68  48 DEF        | Initial | 29 4E 49 54 49 41 4C FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[020] 0x00518C98  48 DEF        | Memory | 2D 45 4D 4F 52 59 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[021] 0x00518CC8  48 DEF        | Active | 21 43 54 49 56 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[022] 0x00518CF8  48 DEF        | Recommended | 32 45 43 4F 4D 4D 45 4E 44 45 44 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[023] 0x00518D28  48 DEF        | Wait | 37 41 49 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[024] 0x00518D58  48 DEF        | Auto | 21 55 54 4F FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[025] 0x00518D88  48 DEF        | Fixed | 26 49 58 45 44 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[026] 0x00518DE8  48 DEF        | Slow | 33 4C 4F 57 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[027] 0x00518E18  48 DEF        | Fast | 26 41 53 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[028] 0x00518ED8  48 DEF        | Magic order | 2D 41 47 49 43 00 4F 52 44 45 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[029] 0x00518F08  48 DEF        | restore | 52 45 53 54 4F 52 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[030] 0x00518F38  48 DEF        | attack | 41 54 54 41 43 4B FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[031] 0x00518F68  48 DEF        | indirect | 49 4E 44 49 52 45 43 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[032] 0x00518FC8  48 DEF        | No. | 2E 4F 0E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[033] 0x00519238   6 NOFF_TERM  | [C5][B8][B7] | C5 B8 B7 FF 00 00
[034] 0x0051923E   6 NOFF_TERM  | [BA][C5][B8][B8][C1] | BA C5 B8 B8 C1 FF
[035] 0x00519244   6 NOFF_TERM  | [B5][BF][C8][B8] | B5 BF C8 B8 FF 00
[036] 0x00519288  25 DEF        | Set Sound & Music Volume | 33 45 54 00 33 4F 55 4E 44 00 06 00 2D 55 53 49 43 00 36 4F 4C 55 4D 45 FF
[037] 0x005192A1  25 DEF        | Not supported. | 2E 4F 54 00 53 55 50 50 4F 52 54 45 44 0E FF 00 00 00 00 00 00 00 00 00 00
[038] 0x005192C0  20 DEF        | Item | 29 54 45 4D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[039] 0x005192D4  20 DEF        | Magic | 2D 41 47 49 43 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[040] 0x005192E8  20 DEF        | Materia | 2D 41 54 45 52 49 41 FF 00 00 00 00 00 00 00 00 00 00 00 00
[041] 0x005192FC  20 DEF        | Equip | 25 51 55 49 50 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[042] 0x00519310  20 DEF        | Status | 33 54 41 54 55 53 FF 00 00 00 00 00 00 00 00 00 00 00 00 00
[043] 0x00519324  20 DEF        | Order | 2F 52 44 45 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[044] 0x00519338  20 DEF        | Limit | 2C 49 4D 49 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[045] 0x0051934C  20 DEF        | Config | 23 4F 4E 46 49 47 FF 00 00 00 00 00 00 00 00 00 00 00 00 00
[046] 0x00519360  20 DEF        | PHS | 30 28 33 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[047] 0x00519374  20 DEF        | Save | 33 41 56 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[048] 0x00519388  20 DEF        | Quit | 31 55 49 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[049] 0x0051939C  20 DEF        | Beginner | 22 45 47 49 4E 4E 45 52 FF 00 00 00 00 00 00 00 00 00 00 00
[050] 0x005193D8  20 DEF        | Time | 34 49 4D 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[051] 0x005193EC  20 DEF        | Gil | 27 49 4C FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[052] 0x00519400  20 DEF        | next level | 4E 45 58 54 00 4C 45 56 45 4C FF 00 00 00 00 00 00 00 00 00
[053] 0x00519414  20 DEF        | Limit level | 2C 49 4D 49 54 00 4C 45 56 45 4C FF 00 00 00 00 00 00 00 00
[054] 0x00519428  20 DEF        | Tutorial | 34 55 54 4F 52 49 41 4C FF 00 00 00 00 00 00 00 00 00 00 00
[055] 0x00519450  20 DEF        | LEVEL UP | 2C 25 36 25 2C 00 35 30 FF 00 00 00 00 00 00 00 00 00 00 00
[056] 0x00519464  20 DEF        | Fury | 26 55 52 59 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[057] 0x00519478  20 DEF        | Sadness | 33 41 44 4E 45 53 53 FF 00 00 00 00 00 00 00 00 00 00 00 00
[058] 0x005196B0  50 DEF        | Press [CANCEL] to end. | 30 52 45 53 53 00 3B 23 21 2E 23 25 2C 3D 00 54 4F 00 45 4E 44 0E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[059] 0x005196E2  50 DEF        | Press [OK] to configure a key. | 30 52 45 53 53 00 3B 2F 2B 3D 00 54 4F 00 43 4F 4E 46 49 47 55 52 45 00 41 00 4B 45 59 0E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[060] 0x00519714  50 DEF        | Now press the new key. | 2E 4F 57 00 50 52 45 53 53 00 54 48 45 00 4E 45 57 00 4B 45 59 0E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[061] 0x00519746  50 DEF        | [OK] | 3B 2F 2B 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[062] 0x00519778  50 DEF        | [CANCEL] | 3B 23 21 2E 23 25 2C 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[063] 0x005197AA  50 DEF        | [MENU] | 3B 2D 25 2E 35 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[064] 0x005197DC  50 DEF        | [SWITCH] | 3B 33 37 29 34 23 28 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[065] 0x0051980E  50 DEF        | [PAGEUP] | 3B 30 21 27 25 35 30 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[066] 0x00519840  50 DEF        | [PAGEDOWN] | 3B 30 21 27 25 24 2F 37 2E 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[067] 0x00519872  50 DEF        | [CAMERA] | 3B 23 21 2D 25 32 21 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[068] 0x005198A4  50 DEF        | [TARGET] | 3B 34 21 32 27 25 34 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[069] 0x005198D6  50 DEF        | [ASSIST] | 3B 21 33 33 29 33 34 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[070] 0x00519908  50 DEF        | [START] | 3B 33 34 21 32 34 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[071] 0x0051993A  50 DEF        | [UP] | 3B 35 30 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[072] 0x0051996C  50 DEF        | [DOWN] | 3B 24 2F 37 2E 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[073] 0x0051999E  50 DEF        | [LEFT] | 3B 2C 25 26 34 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[074] 0x005199D0  50 DEF        | [RIGHT] | 3B 32 29 27 28 34 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[075] 0x00519A02  50 DEF        | KEYBOARD | 2B 25 39 22 2F 21 32 24 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[076] 0x00519A34  50 DEF        | JOYSTICK | 2A 2F 39 33 34 29 23 2B FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[077] 0x00519FE0   8 RGB        | ESCAPE   | 45 53 43 41 50 45 00 00
[078] 0x00519FE8   4 RGB        | 1    | 31 00 00 00
[079] 0x00519FEC   4 RGB        | 2    | 32 00 00 00
[080] 0x00519FF0   4 RGB        | 3    | 33 00 00 00
[081] 0x00519FF4   4 RGB        | 4    | 34 00 00 00
[082] 0x00519FF8   4 RGB        | 5    | 35 00 00 00
[083] 0x00519FFC   4 RGB        | 6    | 36 00 00 00
[084] 0x0051A000   4 RGB        | 7    | 37 00 00 00
[085] 0x0051A004   4 RGB        | 8    | 38 00 00 00
[086] 0x0051A008   4 RGB        | 9    | 39 00 00 00
[087] 0x0051A00C   4 RGB        | 0    | 30 00 00 00
[088] 0x0051A010   8 RGB        | MINUS    | 4D 49 4E 55 53 00 00 00
[089] 0x0051A018   8 RGB        | EQUALS   | 45 51 55 41 4C 53 00 00
[090] 0x0051A020  12 RGB        | BACK SPACE   | 42 41 43 4B 20 53 50 41 43 45 00 00
