index,steam_en_offset,steam_en_va,estore_en_offset,estore_de_offset,en_text,de_text,de_bytes_hex,confidence,method,delta,length,type
13,0x518A28,0x530028,0x519628,0x590270,Cgskxg gtmrk,rj[55]tm,4C44554E47FF000000000000000000000000000000000000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
14,0x518A58,0x530058,0x519658,0x5902A0,Skrkiz,Kgskxg[57]otqkr,2B414D45524157494E4B454CFF0000000000000000000000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
15,0x518A88,0x530088,0x519688,0x5902D0,Cgtikr,      A[55]y[57][6A]nrkt,000000000000215553576A484C454EFF0000000000000000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
16,0x518AB8,0x5300B8,0x5196B8,0x590300,Mkt[55],            Ahhxkinkt,00000000000000000000000021424252454348454EFF0000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
17,0x518C08,0x530208,0x519808,0x5904BC,Nuxsgr,Nuxsgr,2E4F524D414CFF0000000000000000000000000000000000000000000000,HIGH,exact_match,0x76CB4,48,DEF
18,0x518C38,0x530238,0x519838,0x590480,C[55]yzuso[5A]k,      Bxkoz,0000000000002252454954FF000000000000000000000000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
19,0x518C68,0x530268,0x519868,0x5904B0,Itozogr,            Nuxsgr,0000000000000000000000002E4F524D414CFF0000000000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
20,0x518C98,0x530298,0x519898,0x5904E0,Mksux[59],                  Bkt[55]z[5A]kxjklotokx,00000000000000000000000000000000000022454E55545A455244454649,MEDIUM,regional_delta,0x76C48,48,DEF
21,0x518CC8,0x5302C8,0x5198C8,0x590510,Aizo[56]k,                        Atlgtm,000000000000000000000000000000000000000000000000214E46414E47,MEDIUM,regional_delta,0x76C48,48,DEF
22,0x518CF8,0x5302F8,0x5198F8,0x590540,Rkiussktjkj,                              Svkoinkx,000000000000000000000000000000000000000000000000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
23,0x518D28,0x530328,0x519928,0x590570,Wgoz,                                    Aqzo,000000000000000000000000000000000000000000000000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
24,0x518D58,0x530358,0x519958,0x590636,A[55]zu,A[55]zu,2155544FFF00000000000000000000000000000000000000000000000000,HIGH,exact_match,0x76CDE,48,DEF
25,0x518D88,0x530388,0x519988,0x5905D0,Fo[58]kj,rkt,4C454EFF0000000000000000000000000000000000000000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
26,0x518DE8,0x5303E8,0x5199E8,0x590630,Sru[57],      A[55]zu,0000000000002155544FFF00000000000000000000000000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
27,0x518E18,0x530418,0x519A18,0x590660,Fgyz,            Fkyz,00000000000000000000000026455354FF00000000000000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
28,0x518ED8,0x5304D8,0x519AD8,0x590720,Mgmoi uxjkx,                                    ROT,000000000000000000000000000000000000000000000000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
29,0x518F08,0x530508,0x519B08,0x590750,xkyzuxk,                                        ,000000000000000000000000000000000000000000000000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
30,0x518F38,0x530538,0x519B38,0x58F800,gzzgiq,[F0][FE][98]  ,F0FE980000FF980010FF980020FF980030FF980040FF980050FF98005CFF,LOW,nearby_search,0x75CC8,48,DEF
31,0x518F68,0x530568,0x519B68,0x5907B0,otjoxkiz,BLAU,222C2135FF00000000000000000000000000000000000000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
32,0x518FC8,0x5305C8,0x519BC8,0x590810,Nu[0E],            Hkor[55]tm,0000000000000000000000002845494C554E47FF00000000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
33,0x519238,0x530838,0x519E38,0x590BB8,[C5][B8][B7],[C5][B8][B7],C5B8B7FF0000,HIGH,exact_match,0x76D80,6,NOFF_TERM
34,0x51923E,0x53083E,0x519E3E,0x590BBE,[BA][C5][B8][B8][C1],[BA][C5][B8][B8][C1],BAC5B8B8C1FF,HIGH,exact_match,0x76D80,6,NOFF_TERM
35,0x519244,0x530844,0x519E44,0x590BC4,[B5][BF][C8][B8],[B5][BF][C8][B8],B5BFC8B8FF00,HIGH,exact_match,0x76D80,6,NOFF_TERM
36,0x519288,0x530888,0x519E88,0x590AD0,Skz Su[55]tj 6 M[55]yoi Vur[55]sk,          Horlk,0000000000000000000028494C4645FF000000000000000000,MEDIUM,regional_delta,0x76C48,25,DEF
37,0x5192A1,0x5308A1,0x519EA1,0x58FBB9,Nuz y[55]vvuxzkj[0E],ok Fotgr ,49450026494E414C00FF000000000000000000000026414E54,LOW,nearby_search,0x75D18,25,DEF
38,0x5192C0,0x5308C0,0x519EC0,0x58FBB8,Izks,Sok Fotgr ,3349450026494E414C00FF000000000000000000,LOW,nearby_search,0x75CF8,20,DEF
39,0x5192D4,0x5308D4,0x519ED4,0x590B1C,Mgmoi,kt [B2]START[B3] jx[7F]iqkt[0E],454E00B23334213234B30044527F434B454E0EFF,MEDIUM,regional_delta,0x76C48,20,DEF
40,0x5192E8,0x5308E8,0x519EE8,0x590C90,Mgzkxog,Mgzkxog,2D415445524941FF000000000000000000000000,HIGH,exact_match,0x76DA8,20,DEF
41,0x5192FC,0x5308FC,0x519EFC,0x58FBB4,Ew[55]ov,zkt Sok Fotgr ,54454E003349450026494E414C00FF0000000000,LOW,nearby_search,0x75CB8,20,DEF
42,0x519310,0x530910,0x519F10,0x58FBB8,Szgz[55]y,Sok Fotgr ,3349450026494E414C00FF000000000000000000,LOW,nearby_search,0x75CA8,20,DEF
43,0x519324,0x530924,0x519F24,0x590B6C,Oxjkx,Rkinzy jx[7F]iqkt[0E],3245434854530044527F434B454E0EFF30415553,MEDIUM,regional_delta,0x76C48,20,DEF
44,0x519338,0x530938,0x519F38,0x590CE0,Losoz,Losoz,2C494D4954FF0000000000000000000000000000,HIGH,exact_match,0x76DA8,20,DEF
45,0x51934C,0x53094C,0x519F4C,0x58FBB4,Cutlom,zkt Sok Fotgr ,54454E003349450026494E414C00FF0000000000,LOW,nearby_search,0x75C68,20,DEF
46,0x519360,0x530960,0x519F60,0x590D08,PHS,PHS,302833FF00000000000000000000000000000000,HIGH,exact_match,0x76DA8,20,DEF
47,0x519374,0x530974,0x519F74,0x590BBC,Sg[56]k,  [BA][C5][B8][B8][C1],0000BAC5B8B8C1FFB5BFC8B8FF00000000000000,MEDIUM,regional_delta,0x76C48,20,DEF
48,0x519388,0x530988,0x519F88,0x58FBE0,Q[55]oz,ykt [55]tj,53454E00554E44FF000000005A550037494E444F,LOW,nearby_search,0x75C58,20,DEF
49,0x51939C,0x53099C,0x519F9C,0x590BE4,Bkmottkx,rr[55]tm,4C4C554E47FF0000000000000000000000000000,MEDIUM,regional_delta,0x76C48,20,DEF
50,0x5193D8,0x5309D8,0x519FD8,0x5900F0,Tosk,Fktyzkxlgxhk,26454E535445524641524245FF00000000000000,LOW,nearby_search,0x76118,20,DEF
51,0x5193EC,0x5309EC,0x519FEC,0x590D94,Gor,Gor,27494CFF00000000000000000000000000000000,HIGH,exact_match,0x76DA8,20,DEF
52,0x519400,0x530A00,0x51A000,0x5900F8,tk[58]z rk[56]kr,gxhk,41524245FF000000000000000000000000000000,LOW,nearby_search,0x760F8,20,DEF
53,0x519414,0x530A14,0x51A014,0x590C5C,Losoz rk[56]kr,2 121   ,0200010201000000FFFFFFFF2F424A454B54FF00,MEDIUM,regional_delta,0x76C48,20,DEF
54,0x519428,0x530A28,0x51A028,0x590C70,T[55]zuxogr,            Zg[55]hkx,0000000000000000000000003A4155424552FF00,MEDIUM,regional_delta,0x76C48,20,DEF
55,0x519450,0x530A50,0x51A050,0x5900F8,LEVEL UP,gxhk,41524245FF000000000000000000000000000000,LOW,nearby_search,0x760A8,20,DEF
56,0x519464,0x530A64,0x51A064,0x590CAC,F[55]x[59],t,4EFF000000000000000000003745525445FF0000,MEDIUM,regional_delta,0x76C48,20,DEF
57,0x519478,0x530A78,0x51A078,0x590CC0,Sgjtkyy,            Rkonk,0000000000000000000000003245494845FF0000,MEDIUM,regional_delta,0x76C48,20,DEF
58,0x5196B0,0x530CB0,0x51A2B0,0x5900F8,Pxkyy aCANCELc zu ktj[0E],gxhk,41524245FF00000000000000000000000000000000000000000000000000,LOW,nearby_search,0x75E48,50,DEF
59,0x5196E2,0x530CE2,0x51A2E2,0x5900EA,Pxkyy aOKc zu iutlom[55]xk g qk[59][0E],N[74][69][6D]  Fktyzkxlgxhk,2E74696D000026454E535445524641524245FF0000000000000000000000,LOW,nearby_search,0x75E08,50,DEF
60,0x519714,0x530D14,0x51A314,0x5900EC,Nu[57] vxkyy znk tk[57] qk[59][0E],[69][6D]  Fktyzkxlgxhk,696D000026454E535445524641524245FF00000000000000000000000000,LOW,nearby_search,0x75DD8,50,DEF
61,0x519746,0x530D46,0x51A346,0x5900EE,aOKc,  Fktyzkxlgxhk,000026454E535445524641524245FF000000000000000000000000000000,LOW,nearby_search,0x75DA8,50,DEF
62,0x519778,0x530D78,0x51A378,0x590FC0,aCANCELc,0   1   2   [B4]   [68]       [BB][C3],0A0000000100000002000000B40000006800000000000000BBC3FF000000,MEDIUM,regional_delta,0x76C48,50,DEF
63,0x5197AA,0x530DAA,0x51A3AA,0x5900F2,aMENUc,tyzkxlgxhk,4E535445524641524245FF00000000000000000000000000000000000000,LOW,nearby_search,0x75D48,50,DEF
64,0x5197DC,0x530DDC,0x51A3DC,0x5900F4,aSWITCHc,zkxlgxhk,5445524641524245FF000000000000000000000000000000000000000000,LOW,nearby_search,0x75D18,50,DEF
65,0x51980E,0x530E0E,0x51A40E,0x591056,aPAGEUPc,  Moz aABBRECHENc hkktjkt[0E],00002D4954003B21222232252328252E3D004245454E44454E0EFF000000,MEDIUM,regional_delta,0x76C48,50,DEF
66,0x519840,0x530E40,0x51A440,0x591088,aPAGEDOWNc,            Dx[7F]iqkt Sok g[55]l aO[0E],00000000000000000000000024527F434B454E0033494500415546003B2F,MEDIUM,regional_delta,0x76C48,50,DEF
67,0x519872,0x530E72,0x51A472,0x5900EA,aCAMERAc,N[74][69][6D]  Fktyzkxlgxhk,2E74696D000026454E535445524641524245FF0000000000000000000000,LOW,nearby_search,0x75C78,50,DEF
68,0x5198A4,0x530EA4,0x51A4A4,0x5910EC,aTARGETc,xkt[0E],52454E0EFF00000000000000000000000000000000000000000000000000,MEDIUM,regional_delta,0x76C48,50,DEF
69,0x5198D6,0x530ED6,0x51A4D6,0x59111E,aASSISTc,x[7F]iqkt[A9],527F434B454EA9FF00000000000000000000000000000000000000000000,MEDIUM,regional_delta,0x76C48,50,DEF
70,0x519908,0x530F08,0x51A508,0x591364,aSTARTc,aSTARTc,3B33342132343DFF00000000000000000000000000000000000000000000,HIGH,exact_match,0x76E5C,50,DEF
71,0x51993A,0x530F3A,0x51A53A,0x591182,aUPc,  aABBRECHENc,00003B21222232252328252E3DFF00000000000000000000000000000000,MEDIUM,regional_delta,0x76C48,50,DEF
72,0x51996C,0x530F6C,0x51A56C,0x5911B4,aDOWNc,            aMEN[66]c,0000000000000000000000003B2D252E663DFF0000000000000000000000,MEDIUM,regional_delta,0x76C48,50,DEF
73,0x51999E,0x530F9E,0x51A59E,0x5911E6,aLEFTc,                      aUMSCHALTENc,000000000000000000000000000000000000000000003B352D332328212C,MEDIUM,regional_delta,0x76C48,50,DEF
74,0x5199D0,0x530FD0,0x51A5D0,0x591218,aRIGHTc,                                aBILD HO,000000000000000000000000000000000000000000000000000000000000,MEDIUM,regional_delta,0x76C48,50,DEF
75,0x519A02,0x531002,0x51A602,0x59026A,KEYBOARD,Fkrjskrj[55]tm,26454C444D454C44554E47FF000000000000000000000000000000000000,LOW,nearby_search,0x75C68,50,DEF
76,0x519A34,0x531034,0x51A634,0x5914CC,JOYSTICK,JOYSTICK,2A2F39333429232BFF000000000000000000000000000000000000000000,HIGH,exact_match,0x76E98,50,DEF
77,0x519FE0,0x5315E0,0x51ABE0,0x590858,kyigvk  ,l,46FF000000000000,LOW,nearby_search,0x75C78,8,RGB
78,0x519FE8,0x5315E8,0x51ABE8,,Q   ,,,NONE,padding_only,,4,RGB
79,0x519FEC,0x5315EC,0x51ABEC,,R   ,,,NONE,padding_only,,4,RGB
80,0x519FF0,0x5315F0,0x51ABF0,,S   ,,,NONE,padding_only,,4,RGB
81,0x519FF4,0x5315F4,0x51ABF4,,T   ,,,NONE,padding_only,,4,RGB
82,0x519FF8,0x5315F8,0x51ABF8,,U   ,,,NONE,padding_only,,4,RGB
83,0x519FFC,0x5315FC,0x51ABFC,,V   ,,,NONE,padding_only,,4,RGB
84,0x51A000,0x531600,0x51AC00,,W   ,,,NONE,padding_only,,4,RGB
85,0x51A004,0x531604,0x51AC04,,X   ,,,NONE,padding_only,,4,RGB
86,0x51A008,0x531608,0x51AC08,,Y   ,,,NONE,padding_only,,4,RGB
87,0x51A00C,0x53160C,0x51AC0C,,P   ,,,NONE,padding_only,,4,RGB
88,0x51A010,0x531610,0x51AC10,0x591B80,sot[55]y   ,sot[55]y   ,4D494E5553000000,HIGH,exact_match,0x76F70,8,RGB
89,0x51A018,0x531618,0x51AC18,0x591E12,kw[55]gry  ,kw[55]gry  ,455155414C530000,HIGH,exact_match,0x771FA,8,RGB
90,0x51A020,0x531620,0x51AC20,0x590888,hgiq[20]yvgik  ,Itjoxkqz,294E444952454B54FF000000,LOW,nearby_search,0x75C68,12,RGB
91,0x51A02C,0x53162C,0x51AC2C,0x591AC8,zgh ,zgh ,54414200,HIGH,exact_match,0x76E9C,4,RGB
92,0x51A030,0x531630,0x51AC30,,w   ,,,NONE,padding_only,,4,RGB
93,0x51A034,0x531634,0x51AC34,,[57]   ,,,NONE,padding_only,,4,RGB
94,0x51A038,0x531638,0x51AC38,,k   ,,,NONE,padding_only,,4,RGB
95,0x51A03C,0x53163C,0x51AC3C,,x   ,,,NONE,padding_only,,4,RGB
96,0x51A040,0x531640,0x51AC40,,z   ,,,NONE,padding_only,,4,RGB
97,0x51A044,0x531644,0x51AC44,,[59]   ,,,NONE,padding_only,,4,RGB
98,0x51A048,0x531648,0x51AC48,,[55]   ,,,NONE,padding_only,,4,RGB
99,0x51A04C,0x53164C,0x51AC4C,,o   ,,,NONE,padding_only,,4,RGB
100,0x51A050,0x531650,0x51AC50,,u   ,,,NONE,padding_only,,4,RGB
101,0x51A054,0x531654,0x51AC54,,v   ,,,NONE,padding_only,,4,RGB
102,0x51A058,0x531658,0x51AC58,0x5908C0,rklz[20]hxgiqkz    ,xhuzkt,52424F54454EFF000000000000000000,LOW,nearby_search,0x75C68,16,RGB
103,0x51A068,0x531668,0x51AC68,0x5908C0,xomnz[20]hxgiqkz   ,xhuzkt,52424F54454EFF000000000000000000,LOW,nearby_search,0x75C58,16,RGB
104,0x51A078,0x531678,0x51AC78,0x5908C0,xkz[55]xt  ,xhuzkt,52424F54454EFF00,LOW,nearby_search,0x75C48,8,RGB
105,0x51A080,0x531680,0x51AC80,0x5908E8,rklz[20]iutzxur    ,            T[59]v,000000000000000000000000345950FF,LOW,nearby_search,0x75C68,16,RGB
106,0x51A090,0x531690,0x51AC90,,g   ,,,NONE,padding_only,,4,RGB
107,0x51A094,0x531694,0x51AC94,,y   ,,,NONE,padding_only,,4,RGB
108,0x51A098,0x531698,0x51AC98,,j   ,,,NONE,padding_only,,4,RGB
109,0x51A09C,0x53169C,0x51AC9C,,l   ,,,NONE,padding_only,,4,RGB
110,0x51A0A0,0x5316A0,0x51ACA0,,m   ,,,NONE,padding_only,,4,RGB
111,0x51A0A4,0x5316A4,0x51ACA4,,n   ,,,NONE,padding_only,,4,RGB
112,0x51A0A8,0x5316A8,0x51ACA8,,p   ,,,NONE,padding_only,,4,RGB
113,0x51A0AC,0x5316AC,0x51ACAC,,q   ,,,NONE,padding_only,,4,RGB
114,0x51A0B0,0x5316B0,0x51ACB0,,r   ,,,NONE,padding_only,,4,RGB
115,0x51A0B4,0x5316B4,0x51ACB4,0x59092C,yksoiurut   ,tqy[12],4E4B5312FF00000000000000,LOW,nearby_search,0x75C78,12,RGB
116,0x51A0C0,0x5316C0,0x51ACC0,0x591AB0,gvuyzxuvnk  ,gvuyzxuvnk  ,41504F5354524F5048450000,HIGH,exact_match,0x76DF0,12,RGB
117,0x51A0CC,0x5316CC,0x51ACCC,0x590964,mxg[56]k   ,zy[12],545312FF00000000,LOW,nearby_search,0x75C98,8,RGB
118,0x51A0D4,0x5316D4,0x51ACD4,0x59092C,rklz[20]ynolz  ,tqy[12],4E4B5312FF00000000000000,LOW,nearby_search,0x75C58,12,RGB
119,0x51A0E0,0x5316E0,0x51ACE0,0x590928,hgiq[20]yrgyn  ,  rotqy[12],00004C494E4B5312FF000000,LOW,nearby_search,0x75C48,12,RGB
120,0x51A0EC,0x5316EC,0x51ACEC,,[5A]   ,,,NONE,padding_only,,4,RGB
121,0x51A0F0,0x5316F0,0x51ACF0,,[58]   ,,,NONE,padding_only,,4,RGB
122,0x51A0F4,0x5316F4,0x51ACF4,,i   ,,,NONE,padding_only,,4,RGB
123,0x51A0F8,0x5316F8,0x51ACF8,,[56]   ,,,NONE,padding_only,,4,RGB
124,0x51A0FC,0x5316FC,0x51ACFC,,h   ,,,NONE,padding_only,,4,RGB
125,0x51A100,0x531700,0x51AD00,,t   ,,,NONE,padding_only,,4,RGB
126,0x51A104,0x531704,0x51AD04,,s   ,,,NONE,padding_only,,4,RGB
127,0x51A108,0x531708,0x51AD08,0x590960,iussg   ,xkinzy[12],52454348545312FF,LOW,nearby_search,0x75C58,8,RGB
128,0x51A110,0x531710,0x51AD10,0x590998,vkxouj  ,tqy[11],4E4B5311FF000000,LOW,nearby_search,0x75C88,8,RGB
129,0x51A118,0x531718,0x51AD18,0x590960,yrgyn   ,xkinzy[12],52454348545312FF,LOW,nearby_search,0x75C48,8,RGB
130,0x51A120,0x531720,0x51AD20,0x590998,xomnz[20]ynolz ,tqy[11],4E4B5311FF00000000000000,LOW,nearby_search,0x75C78,12,RGB
131,0x51A12C,0x53172C,0x51AD2C,0x590994,s[55]rzovr[59]    ,  rotqy[11],00004C494E4B5311FF000000,LOW,nearby_search,0x75C68,12,RGB
132,0x51A138,0x531738,0x51AD38,0x5909D0,rklz[20]grz    ,zy[11],545311FF0000000000000000,LOW,nearby_search,0x75C98,12,RGB
133,0x51A144,0x531744,0x51AD44,0x59099C,yvgik   ,,FF00000000000000,LOW,nearby_search,0x75C58,8,RGB
134,0x51A14C,0x53174C,0x51AD4C,0x590994,igvy[20]ruiq   ,  rotqy[11],00004C494E4B5311FF000000,LOW,nearby_search,0x75C48,12,RGB
135,0x51A158,0x531758,0x51AD58,0x591BB4,lQ  ,lQ  ,46310000,HIGH,exact_match,0x76E5C,4,RGB
136,0x51A15C,0x53175C,0x51AD5C,0x591BB8,lR  ,lR  ,46320000,HIGH,exact_match,0x76E5C,4,RGB
137,0x51A160,0x531760,0x51AD60,0x591BBC,lS  ,lS  ,46330000,HIGH,exact_match,0x76E5C,4,RGB
138,0x51A164,0x531764,0x51AD64,0x591BC0,lT  ,lT  ,46340000,HIGH,exact_match,0x76E5C,4,RGB
139,0x51A168,0x531768,0x51AD68,0x591BC4,lU  ,lU  ,46350000,HIGH,exact_match,0x76E5C,4,RGB
140,0x51A16C,0x53176C,0x51AD6C,0x591BC8,lV  ,lV  ,46360000,HIGH,exact_match,0x76E5C,4,RGB
141,0x51A170,0x531770,0x51AD70,0x591BCC,lW  ,lW  ,46370000,HIGH,exact_match,0x76E5C,4,RGB
142,0x51A174,0x531774,0x51AD74,0x591BD0,lX  ,lX  ,46380000,HIGH,exact_match,0x76E5C,4,RGB
143,0x51A178,0x531778,0x51AD78,0x591BD4,lY  ,lY  ,46390000,HIGH,exact_match,0x76E5C,4,RGB
144,0x51A17C,0x53177C,0x51AD7C,0x591BD8,lQP ,lQP ,46313000,HIGH,exact_match,0x76E5C,4,RGB
145,0x51A180,0x531780,0x51AD80,0x591BDC,t[55]sruiq ,t[55]sruiq ,4E554D4C4F434B00,HIGH,exact_match,0x76E5C,8,RGB
146,0x51A188,0x531788,0x51AD88,0x591BE4,yixurr  ,yixurr  ,5343524F4C4C0000,HIGH,exact_match,0x76E5C,8,RGB
147,0x51A190,0x531790,0x51AD90,0x590AD8,t[55]svgjW ,  Horlk,000028494C4645FF,LOW,nearby_search,0x75D48,8,RGB
148,0x51A198,0x531798,0x51AD98,0x590A00,t[55]svgjX ,  Mkt[7F],00002D454E7FFF00,LOW,nearby_search,0x75C68,8,RGB
149,0x51A1A0,0x5317A0,0x51ADA0,0x590AD8,t[55]svgjY ,  Horlk,000028494C4645FF,LOW,nearby_search,0x75D38,8,RGB
150,0x51A1A8,0x5317A8,0x51ADA8,0x590A00,y[55]hzxgiz    ,  Mkt[7F],00002D454E7FFF0000000000,LOW,nearby_search,0x75C58,12,RGB
151,0x51A1B4,0x5317B4,0x51ADB4,0x590A3C,t[55]svgjT ,[6A]nrkt,6A484C454EFF0000,LOW,nearby_search,0x75C88,8,RGB
152,0x51A1BC,0x5317BC,0x51ADBC,0x590A04,t[55]svgjU ,t[7F],4E7FFF0000000000,LOW,nearby_search,0x75C48,8,RGB
153,0x51A1C4,0x5317C4,0x51ADC4,0x590A3C,t[55]svgjV ,[6A]nrkt,6A484C454EFF0000,LOW,nearby_search,0x75C78,8,RGB
154,0x51A1CC,0x5317CC,0x51ADCC,0x50EB3B,gjj ,gjj ,41444400,HIGH,exact_match,,4,RGB
155,0x51A1D0,0x5317D0,0x51ADD0,0x590AD8,t[55]svgjQ ,  Horlk,000028494C4645FF,LOW,nearby_search,0x75D08,8,RGB
156,0x51A1D8,0x5317D8,0x51ADD8,0x590A40,t[55]svgjR ,t,4EFF000000000000,LOW,nearby_search,0x75C68,8,RGB
157,0x51A1E0,0x5317E0,0x51ADE0,0x590AD8,t[55]svgjS ,  Horlk,000028494C4645FF,LOW,nearby_search,0x75CF8,8,RGB
158,0x51A1E8,0x5317E8,0x51ADE8,0x590A40,t[55]svgjP ,t,4EFF000000000000,LOW,nearby_search,0x75C58,8,RGB
159,0x51A1F0,0x5317F0,0x51ADF0,0x517C5C,jkiosgr ,jkiosgr ,444543494D414C00,HIGH,exact_match,,8,RGB
160,0x51A210,0x531810,0x51AE10,0x591C70,lQQ ,lQQ ,46313100,HIGH,exact_match,0x76E60,4,RGB
161,0x51A214,0x531814,0x51AE14,0x591C74,lQR ,lQR ,46313200,HIGH,exact_match,0x76E60,4,RGB
162,0x51A270,0x531870,0x51AE70,0x591CD0,lQS ,lQS ,46313300,HIGH,exact_match,0x76E60,4,RGB
163,0x51A274,0x531874,0x51AE74,0x591CD4,lQT ,lQT ,46313400,HIGH,exact_match,0x76E60,4,RGB
164,0x51A278,0x531878,0x51AE78,0x591CD8,lQU ,lQU ,46313500,HIGH,exact_match,0x76E60,4,RGB
165,0x51A2C4,0x5318C4,0x51AEC4,0x591D24,qgtg    ,qgtg    ,4B414E4100000000,HIGH,exact_match,0x76E60,8,RGB
166,0x51A30C,0x53190C,0x51AF0C,0x591D6C,iut[56]kxz ,iut[56]kxz ,434F4E5645525400,HIGH,exact_match,0x76E60,8,RGB
167,0x51A31C,0x53191C,0x51AF1C,0x591D7C,tuiut[56]kxz   ,tuiut[56]kxz   ,4E4F434F4E56455254000000,HIGH,exact_match,0x76E60,12,RGB
168,0x51A330,0x531930,0x51AF30,0x591D90,[59]kt ,[59]kt ,59454E00,HIGH,exact_match,0x76E60,4,RGB
169,0x51A3AC,0x5319AC,0x51AFAC,0x591E0C,t[55]svgjkw[55]gry    ,t[55]svgjkw[55]gry    ,4E554D504144455155414C5300000000,HIGH,exact_match,0x76E60,16,RGB
170,0x51A3CC,0x5319CC,0x51AFCC,0x591E2C,ioxi[55]slrk[58]  ,ioxi[55]slrk[58]  ,43495243554D464C45580000,HIGH,exact_match,0x76E60,12,RGB
171,0x51A3D8,0x5319D8,0x51AFD8,0x50E1CC,gz  ,gz  ,41540000,HIGH,exact_match,,4,RGB
172,0x51A3DC,0x5319DC,0x51AFDC,0x591E3C,iurut   ,iurut   ,434F4C4F4E000000,HIGH,exact_match,0x76E60,8,RGB
173,0x51A3E4,0x5319E4,0x51AFE4,0x591E44,[55]tjkxrotk   ,[55]tjkxrotk   ,554E4445524C494E45000000,HIGH,exact_match,0x76E60,12,RGB
174,0x51A3F0,0x5319F0,0x51AFF0,0x591E50,qgtpo   ,qgtpo   ,4B414E4A49000000,HIGH,exact_match,0x76E60,8,RGB
175,0x51A3F8,0x5319F8,0x51AFF8,0x591E58,yzuv    ,yzuv    ,53544F5000000000,HIGH,exact_match,0x76E60,8,RGB
176,0x51A400,0x531A00,0x51B000,0x591E60,g[58]  ,g[58]  ,41580000,HIGH,exact_match,0x76E60,4,RGB
177,0x51A404,0x531A04,0x51B004,0x591E64,[55]trghkrkj   ,[55]trghkrkj   ,554E4C4142454C4544000000,HIGH,exact_match,0x76E60,12,RGB
