index,raw_offset,text_offset,category,confidence,padding,total_bytes,text_preview,reason
39,0x5907F2,0x59081C,clean_text,85,42,49,Heilung,"german_ratio=100.00%, ff7_valid=100.00%"
40,0x590824,0x590852,clean_text,95,46,53,Angriff,contains German indicator word
41,0x59085A,0x590888,clean_text,85,46,54,Indirekt,"german_ratio=100.00%, ff7_valid=100.00%"
42,0x590891,0x5908BE,clean_text,85,45,53,Verboten,"german_ratio=100.00%, ff7_valid=100.00%"
43,0x5908C7,0x5908F4,clean_text,85,45,48,Typ,"german_ratio=100.00%, ff7_valid=100.00%"
44,0x5908F8,0x59092A,clean_text,85,50,56,links2,"german_ratio=83.33%, ff7_valid=100.00%"
45,0x590931,0x590960,clean_text,85,47,54,rechts2,"german_ratio=85.71%, ff7_valid=100.00%"
46,0x590968,0x590996,clean_text,85,46,52,links1,"german_ratio=83.33%, ff7_valid=100.00%"
47,0x59099D,0x5909CC,clean_text,85,47,54,rechts1,"german_ratio=85.71%, ff7_valid=100.00%"
48,0x5909D4,0x590A02,clean_text,85,46,50,Menü,"german_ratio=100.00%, ff7_valid=100.00%"
49,0x590A07,0x590A38,clean_text,95,49,58,Auswählen,contains German indicator word
50,0x590A42,0x590A6E,clean_text,85,44,53,Abbrechen,"german_ratio=100.00%, ff7_valid=100.00%"
51,0x590A78,0x590AA4,clean_text,85,44,47,EXT,"german_ratio=100.00%, ff7_valid=100.00%"
52,0x590AA8,0x590ADA,clean_text,95,50,55,Hilfe,contains German indicator word
53,0x590AE0,0x590B10,clean_text,95,48,79,Zum Einrichten START drücken.,contains German indicator word
54,0x590B30,0x590B46,clean_text,95,22,75,Zum Beenden Richtungstaste Links oder Rechts drücken.,contains German indicator word
55,0x590B7C,0x590B7C,clean_text,85,0,5,Pause,"german_ratio=100.00%, ff7_valid=100.00%"
56,0x590B82,0x590BB8,binary_data,90,54,57,,high byte ratio: 100.00%
57,0x590BBC,0x590BBE,binary_data,90,2,7,,high byte ratio: 100.00%
58,0x590BC4,0x590BC4,binary_data,90,0,4,,high byte ratio: 100.00%
59,0x590BC9,0x590BD0,clean_text,85,7,32,Ton- und Musikeinstellung,"german_ratio=88.00%, ff7_valid=100.00%"
60,0x590BEA,0x590BFD,clean_text,95,19,36,Nicht unterstützt,contains German indicator word
61,0x590C0F,0x590C34,unknown,50,37,85,"""S   S ""!    `!:   : `!  !"" ""!!"" ! """" !""!",no pattern matched
62,0x590C68,0x590C68,clean_text,95,0,6,Objekt,contains German indicator word
63,0x590C6F,0x590C7C,clean_text,95,13,19,Zauber,contains German indicator word
64,0x590C83,0x590C90,clean_text,95,13,20,Materia,contains German indicator word
65,0x590C98,0x590CA4,clean_text,95,12,21,Ausrüsten,contains German indicator word
66,0x590CAE,0x590CB8,clean_text,95,10,15,Werte,contains German indicator word
67,0x590CBE,0x590CCC,clean_text,95,14,19,Reihe,contains German indicator word
68,0x590CD2,0x590CE0,clean_text,95,14,19,Limit,contains German indicator word
69,0x590CE6,0x590CF4,clean_text,95,14,20,Konfig,contains German indicator word
70,0x590CFB,0x590D08,clean_text,85,13,16,PHS,"german_ratio=100.00%, ff7_valid=100.00%"
71,0x590D0C,0x590D1C,clean_text,95,16,25,Speichern,contains German indicator word
72,0x590D26,0x590D30,clean_text,95,10,19,Verlassen,contains German indicator word
73,0x590D3A,0x590D44,clean_text,85,10,18,Anfänger,"german_ratio=100.00%, ff7_valid=100.00%"
74,0x590D4D,0x590D58,clean_text,85,11,21,Verwendung,"german_ratio=100.00%, ff7_valid=100.00%"
75,0x590D63,0x590D6C,clean_text,85,9,19,Verwendung,"german_ratio=100.00%, ff7_valid=100.00%"
76,0x590D77,0x590D80,clean_text,85,9,13,Zeit,"german_ratio=100.00%, ff7_valid=100.00%"
77,0x590D85,0x590D94,clean_text,85,15,18,Gil,"german_ratio=100.00%, ff7_valid=100.00%"
78,0x590D98,0x590DA8,clean_text,85,16,26,Nächst. Lv,"german_ratio=80.00%, ff7_valid=100.00%"
79,0x590DB3,0x590DBC,clean_text,95,9,20,Limit-Stufe,contains German indicator word
80,0x590DC8,0x590DD0,clean_text,85,8,17,Anleitung,"german_ratio=100.00%, ff7_valid=100.00%"
81,0x590DDA,0x590DE4,clean_text,85,10,15,Unter,"german_ratio=100.00%, ff7_valid=100.00%"
82,0x590DEA,0x590DF8,clean_text,75,14,18,LV+1,"german_ratio=50.00%, ff7_valid=100.00%"
83,0x590DFD,0x590E0C,clean_text,95,15,19,Zorn,contains German indicator word
84,0x590E11,0x590E20,clean_text,85,15,24,Traurigk.,"german_ratio=88.89%, ff7_valid=100.00%"
85,0x590E2A,0x590E34,unknown,50,10,432,"!         n`=>ABCeKD@FGHtJfg<$_uva)?snPRSVXY[\]p/0%U^MZoh!""#",no pattern matched
86,0x590FDB,0x590FE0,binary_data,90,5,7,,high byte ratio: 100.00%
87,0x590FE3,0x590FE8,binary_data,90,5,7,,high byte ratio: 100.00%
88,0x590FEB,0x590FF0,developer,100,5,133,"!  cy         !   ""   $   %   &   '   (   t   start@of@menu@",developer marker
89,0x591071,0x591094,clean_text,85,35,64,Drücken Sie auf [O.K.] um die,"german_ratio=68.97%, ff7_valid=100.00%"
90,0x5910B2,0x5910D0,clean_text,95,30,62,Tastenbelegung zu konfigurieren.,contains German indicator word
91,0x5910F1,0x59110C,clean_text,95,27,52,Bitte neue Taste drücken,contains German indicator word
92,0x591126,0x591148,unknown,50,34,40,[O.K.],no pattern matched
93,0x59114F,0x591184,unknown,50,53,64,[ABBRECHEN],no pattern matched
94,0x591190,0x5911C0,unknown,50,48,54,[MENÜ],no pattern matched
95,0x5911C7,0x5911FC,unknown,50,53,65,[UMSCHALTEN],no pattern matched
96,0x591209,0x591238,clean_text,85,47,58,[BILD HOCH],"german_ratio=72.73%, ff7_valid=100.00%"
97,0x591244,0x591274,clean_text,85,48,63,[BILD HERUNTER],"german_ratio=80.00%, ff7_valid=100.00%"
98,0x591284,0x5912B0,unknown,50,44,52,[KAMERA],no pattern matched
99,0x5912B9,0x5912EC,unknown,50,51,57,[ZIEL],no pattern matched
100,0x5912F3,0x591328,unknown,50,53,60,[HILFE],no pattern matched
101,0x591330,0x591364,unknown,50,52,59,[START],no pattern matched
102,0x59136C,0x5913A0,unknown,50,52,60,[HERAUF],no pattern matched
103,0x5913A9,0x5913DC,unknown,50,51,58,[UNTEN],no pattern matched
104,0x5913E4,0x591418,unknown,50,52,59,[LINKS],no pattern matched
105,0x591420,0x591454,unknown,50,52,59,[RECHT],no pattern matched
106,0x59145C,0x591490,clean_text,85,52,60,TASTATUR,"german_ratio=100.00%, ff7_valid=100.00%"
107,0x591499,0x5914CC,clean_text,85,51,59,JOYSTICK,"german_ratio=100.00%, ff7_valid=100.00%"
108,0x5914D5,0x591508,unknown,50,51,3327,£@ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ $,no pattern matched
109,0x5921D8,0x5921D8,asset,100,0,10484,"""   ëåõâRáNõèì ëåõâRàNõèì öåîèéNõèì  âïíïáNõèì   âïíïàNõèì ",contains .tim extension
110,0x594ACD,0x594ACD,unknown,50,0,35,Z° ^X° OX° OX° p° OX° OX° OX° nV°,no pattern matched
111,0x594AF1,0x594AF1,unknown,50,0,303,Z° ^X° OX° OX° p° OX° ët° és° äu° OX° OX° OX° rX° ]° i° j° o,no pattern matched
112,0x594C24,0x594C28,unknown,50,4,25,"0G#ã * !        !""#%",no pattern matched
113,0x594C3E,0x594C40,fragment,80,2,2,,too short for menu text
114,0x594C41,0x594C48,clean_text,85,7,12,Pause,"german_ratio=100.00%, ff7_valid=100.00%"
115,0x594C4E,0x594C50,binary_data,90,2,67,"ß  Z!!\ ì   Xx£ <L\ x""  \   *   !     _    ã",high byte ratio: 47.22%
116,0x594C92,0x594C9E,fragment,80,12,13,ã,too short for menu text
117,0x594CA0,0x594CAC,clean_text,95,12,18,Schlaf,contains German indicator word
118,0x594CB3,0x594CBA,clean_text,95,7,11,Gift,contains German indicator word
119,0x594CBF,0x594CC8,clean_text,85,9,20,Traurigkeit,"german_ratio=100.00%, ff7_valid=100.00%"
120,0x594CD4,0x594CD6,clean_text,95,2,6,Zorn,contains German indicator word
121,0x594CDB,0x594CE4,clean_text,85,9,19,Verwirrung,"german_ratio=100.00%, ff7_valid=100.00%"
122,0x594CEF,0x594CF2,clean_text,85,3,12,Stummheit,"german_ratio=100.00%, ff7_valid=100.00%"
123,0x594CFC,0x594D00,clean_text,85,4,11,Schnell,"german_ratio=100.00%, ff7_valid=100.00%"
124,0x594D08,0x594D0E,clean_text,85,6,13,Langsam,"german_ratio=100.00%, ff7_valid=100.00%"
125,0x594D16,0x594D1C,clean_text,85,6,10,Stop,"german_ratio=100.00%, ff7_valid=100.00%"
126,0x594D21,0x594D2A,fragment,80,9,10,ã,too short for menu text
127,0x594D2C,0x594D38,fragment,80,12,13,ã,too short for menu text
128,0x594D3A,0x594D46,fragment,80,12,13,ã,too short for menu text
129,0x594D48,0x594D54,clean_text,85,12,25,Versteinerung,"german_ratio=100.00%, ff7_valid=100.00%"
130,0x594D62,0x594D62,clean_text,85,0,5,regen,"german_ratio=100.00%, ff7_valid=100.00%"
131,0x594D68,0x594D70,fragment,80,8,9,ã,too short for menu text
132,0x594D72,0x594D7E,fragment,80,12,13,ã,too short for menu text
133,0x594D80,0x594D8C,clean_text,85,12,24,Reflektieren,"german_ratio=100.00%, ff7_valid=100.00%"
134,0x594D99,0x594D9A,clean_text,85,1,7,Doppel,"german_ratio=100.00%, ff7_valid=100.00%"
135,0x594DA1,0x594DA8,clean_text,85,7,13,Schild,"german_ratio=100.00%, ff7_valid=100.00%"
136,0x594DAF,0x594DB6,fragment,80,7,8,ã,too short for menu text
137,0x594DB8,0x594DC4,fragment,80,12,13,ã,too short for menu text
138,0x594DC6,0x594DD2,clean_text,85,12,16,Toll,"german_ratio=100.00%, ff7_valid=100.00%"
139,0x594DD7,0x594DE0,clean_text,85,9,20,Einzigartig,"german_ratio=100.00%, ff7_valid=100.00%"
140,0x594DEC,0x594DEE,clean_text,85,2,9,Lähmung,"german_ratio=100.00%, ff7_valid=100.00%"
141,0x594DF6,0x594DFC,clean_text,85,6,16,Dunkelheit,"german_ratio=100.00%, ff7_valid=100.00%"
142,0x594E07,0x594E0A,fragment,80,3,4,ã,too short for menu text
143,0x594E0C,0x594E18,fragment,80,12,13,ã,too short for menu text
144,0x594E1A,0x594E26,fragment,80,12,13,ã,too short for menu text
145,0x594E28,0x594E34,fragment,80,12,13,ã,too short for menu text
146,0x594E36,0x594E42,fragment,80,12,13,ã,too short for menu text
147,0x594E44,0x594E50,binary_data,90,12,95,$             `  `   Rrò `hpx9IY     Wieviel willst du ausge,high byte ratio: 33.93%
148,0x594EA4,0x594EA4,clean_text,85,0,3,Gil,"german_ratio=100.00%, ff7_valid=100.00%"
149,0x594EA8,0x594EA8,clean_text,85,0,4,Nach,"german_ratio=100.00%, ff7_valid=100.00%"
150,0x594EAD,0x594EB0,clean_text,85,3,19,Gil auf der Hand,"german_ratio=81.25%, ff7_valid=100.00%"
151,0x594EC1,0x594EC8,unknown,50,7,446,"""%$#!""$ !#%""$ %!!""$ ""!#%$ ""!%$""#""$#""!$ %""!#""$!""%  `   ñ @ ñ ",no pattern matched
152,0x595080,0x595080,clean_text,85,0,11,Ja     Nein,"german_ratio=54.55%, ff7_valid=100.00%"
153,0x59508C,0x595090,clean_text,85,4,29,Vorhandene Schlachtpunkte,"german_ratio=96.00%, ff7_valid=100.00%"
154,0x5950AA,0x5950AA,clean_text,85,0,13,Schlitzstart!,"german_ratio=92.31%, ff7_valid=100.00%"
155,0x5950B8,0x5950C4,clean_text,85,12,18,TOLL!!,"german_ratio=66.67%, ff7_valid=100.00%"
156,0x5950CB,0x5950DE,clean_text,85,19,43,Gewonnene Schlachtpunkte,"german_ratio=95.83%, ff7_valid=100.00%"
157,0x5950F7,0x5950F8,clean_text,85,1,14,"Ok, dann los!","german_ratio=69.23%, ff7_valid=100.00%"
158,0x595106,0x595117,clean_text,95,17,41,Zaubersubstanz kaputt.,contains German indicator word
159,0x595130,0x595136,clean_text,85,6,30,Aufrufsubstanz kaputt.,"german_ratio=90.91%, ff7_valid=91.30%"
160,0x59514F,0x595155,clean_text,85,6,32,Support-Substanz kaputt.,"german_ratio=87.50%, ff7_valid=92.00%"
161,0x595170,0x595174,clean_text,85,4,34,Unabhängige Substanz kaputt.,"german_ratio=89.29%, ff7_valid=92.86%"
162,0x595193,0x595193,clean_text,85,0,25,Befehlssubstanz kaputt.,"german_ratio=91.30%, ff7_valid=91.67%"
163,0x5951AD,0x5951B2,clean_text,85,5,28,Alle Substanz kaputt.,"german_ratio=85.71%, ff7_valid=90.48%"
164,0x5951CA,0x5951D1,clean_text,75,7,24,Zubehör kaputt.,"german_ratio=86.67%, ff7_valid=87.50%"
165,0x5951E3,0x5951F0,clean_text,95,13,43,Objektbefehl ist versiegelt.,contains German indicator word
166,0x59520F,0x59520F,clean_text,75,0,18,Rüstzeug kaputt.,"german_ratio=87.50%, ff7_valid=88.24%"
167,0x595222,0x59522E,clean_text,75,12,27,Waffe kaputt.,"german_ratio=84.62%, ff7_valid=85.71%"
168,0x59523E,0x59524D,clean_text,85,15,37,1/2 Geschwindigkeit.,"german_ratio=75.00%, ff7_valid=90.48%"
169,0x595264,0x59526C,clean_text,75,8,26,1/2 Genauigkeit.,"german_ratio=68.75%, ff7_valid=88.24%"
170,0x59527F,0x59528B,unknown,50,12,21,Minimum,no pattern matched
171,0x595295,0x5952AA,binary_data,90,21,27,Gift,high byte ratio: 33.33%
172,0x5952B1,0x5952C9,unknown,50,24,31,Kröte,no pattern matched
173,0x5952D1,0x5952E8,clean_text,75,23,42,Zeit x30 Schaden.,"german_ratio=70.59%, ff7_valid=88.24%"
174,0x5952FC,0x595307,clean_text,95,11,29,5 Ebenen zurück.,contains German indicator word
175,0x59531A,0x595326,clean_text,95,12,31,10 Ebenen zurück.,contains German indicator word
176,0x59533A,0x595345,unknown,50,11,20,1/2 HP.,no pattern matched
177,0x59534F,0x595364,unknown,50,21,30,1/2 MP.,no pattern matched
178,0x59536E,0x595383,unknown,50,21,33,1/2 HP&MP.,no pattern matched
179,0x595390,0x5953A2,unknown,50,18,28,Null MP.,no pattern matched
180,0x5953AD,0x5953C1,unknown,50,20,46,Jaa! Keine Behinderung!!,no pattern matched
181,0x5953DC,0x5953E0,clean_text,85,4,27,HP wiederhergestellt.,"german_ratio=90.48%, ff7_valid=90.91%"
182,0x5953F8,0x595400,clean_text,85,8,42,Besorgt um die anderen Mitglieder?,"german_ratio=85.29%, ff7_valid=100.00%"
183,0x595423,0x595423,clean_text,85,0,15,"Ja, ein bichen","german_ratio=78.57%, ff7_valid=92.31%"
184,0x595433,0x595446,clean_text,95,19,35,Eigentlich nicht,contains German indicator word
185,0x595457,0x59546C,fragment,80,21,21,,too short for menu text
186,0x59546E,0x595470,fragment,80,2,2,,too short for menu text
187,0x595472,0x595474,fragment,80,2,2,,too short for menu text
188,0x595476,0x595478,fragment,80,2,2,,too short for menu text
189,0x59547A,0x595480,binary_data,90,6,150,"4      £   ""   !   &   &   !   !       x   p  @   x    p  @ ",high byte ratio: 33.87%
190,0x595514,0x595514,fragment,80,0,4,/,too short for menu text
191,0x59551C,0x595524,unknown,50,8,26,"""S   S ""!sè7áè",no pattern matched
192,0x595537,0x595538,unknown,50,1,17,"$   #   ""   !",no pattern matched
193,0x595558,0x595558,unknown,50,0,113,QRSTUVWXYZ[\]^`adefgh   jklmnopqrstuvwxyDEGHIJK qu      +! ë,no pattern matched
194,0x5955CA,0x5955D8,unknown,50,14,113,"!)  m t!v L!S     ""  % j G  K  :     `!e !   S    j : Eôôá°å",no pattern matched
195,0x59563C,0x595656,clean_text,85,26,62,Mitglieden in zwei Gruppen aufteilen,"german_ratio=88.89%, ff7_valid=100.00%"
196,0x59567B,0x59567C,clean_text,85,1,37,Mitglieder in drei Gruppen aufteilen,"german_ratio=88.89%, ff7_valid=100.00%"
197,0x5956A1,0x5956A2,clean_text,85,1,32,Gruppe aus zwei Personen bilden,"german_ratio=87.10%, ff7_valid=100.00%"
198,0x5956C2,0x5956C8,clean_text,85,6,37,Gruppe aus drei Personen bilden,"german_ratio=87.10%, ff7_valid=100.00%"
199,0x5956E8,0x5956EE,unknown,50,6,33,Auswählen mit [START]-Taste,no pattern matched
200,0x59570A,0x595718,clean_text,95,14,21,Element,contains German indicator word
201,0x595720,0x59572E,clean_text,95,14,20,Effekt,contains German indicator word
202,0x595735,0x595744,clean_text,85,15,24,Angreifen,"german_ratio=100.00%, ff7_valid=100.00%"
203,0x59574E,0x59575A,clean_text,95,12,23,Verteidigen,contains German indicator word
204,0x595766,0x595770,clean_text,85,10,19,Halbieren,"german_ratio=100.00%, ff7_valid=100.00%"
205,0x59577A,0x595786,clean_text,85,12,20,Ungültig,"german_ratio=100.00%, ff7_valid=100.00%"
206,0x59578F,0x59579C,clean_text,85,13,24,Absorbieren,"german_ratio=100.00%, ff7_valid=100.00%"
207,0x5957A8,0x5957B2,fragment,80,10,10,,too short for menu text
208,0x5957B3,0x5957C8,fragment,80,21,21,,too short for menu text
209,0x5957C9,0x5957DE,fragment,80,21,21,,too short for menu text
210,0x5957DF,0x5957F4,clean_text,95,21,27,Stärke,contains German indicator word
211,0x5957FB,0x59580A,clean_text,95,15,23,Geschick,contains German indicator word
212,0x595813,0x595820,clean_text,95,13,22,Vitalität,contains German indicator word
213,0x59582A,0x595836,clean_text,95,12,18,Zauber,contains German indicator word
214,0x59583D,0x59584C,clean_text,95,15,20,Moral,contains German indicator word
215,0x595852,0x595862,clean_text,95,16,21,Glück,contains German indicator word
216,0x595868,0x595878,clean_text,85,16,25,Angreifen,"german_ratio=100.00%, ff7_valid=100.00%"
217,0x595882,0x59588E,clean_text,85,12,23,Angreifen %,"german_ratio=81.82%, ff7_valid=100.00%"
218,0x59589A,0x5958A4,clean_text,95,10,21,Verteidigen,contains German indicator word
219,0x5958B0,0x5958BA,clean_text,95,10,23,Verteidigen %,contains German indicator word
220,0x5958C8,0x5958D0,clean_text,85,8,16,Zbrangrf,"german_ratio=100.00%, ff7_valid=100.00%"
221,0x5958D9,0x5958E6,clean_text,85,13,22,Zbrvertdg,"german_ratio=100.00%, ff7_valid=100.00%"
222,0x5958F0,0x5958FC,clean_text,85,12,23,Zbrvertdg %,"german_ratio=81.82%, ff7_valid=100.00%"
223,0x595908,0x595912,clean_text,85,10,14,Waf.,"german_ratio=75.00%, ff7_valid=100.00%"
224,0x595917,0x595928,clean_text,85,17,21,Rüs.,"german_ratio=75.00%, ff7_valid=100.00%"
225,0x59592D,0x59593E,clean_text,85,17,21,Acc.,"german_ratio=75.00%, ff7_valid=100.00%"
226,0x595943,0x595954,clean_text,95,17,28,Limit-Ebene,contains German indicator word
227,0x595960,0x59596C,fragment,80,12,12,,too short for menu text
228,0x595974,0x595978,unknown,50,4,91,"!   S    j :     ""S   S S!!S!S m!£ S! m!]!    `!:   :    :  ",no pattern matched
229,0x5959D0,0x5959E8,clean_text,95,24,31,STUFE 2,contains German indicator word
230,0x5959F0,0x595A08,clean_text,95,24,31,STUFE 3,contains German indicator word
231,0x595A10,0x595A28,clean_text,95,24,31,STUFE 4,contains German indicator word
232,0x595A30,0x595A48,clean_text,95,24,47,LIMIT-STUFE einrichten.,contains German indicator word
233,0x595A60,0x595A68,clean_text,85,8,18,Einrichten,"german_ratio=100.00%, ff7_valid=100.00%"
234,0x595A73,0x595A88,clean_text,85,21,27,Prüfen,"german_ratio=100.00%, ff7_valid=100.00%"
235,0x595A8F,0x595AA8,clean_text,95,25,47,Bei nderung der STUFE,contains German indicator word
236,0x595ABF,0x595AC8,clean_text,95,9,34,Beginn bei Limit-Punkt 0.,contains German indicator word
237,0x595AE2,0x595AE8,clean_text,95,6,19,STUFE ändern?,contains German indicator word
238,0x595AF6,0x595B08,clean_text,85,18,20,Ja,"german_ratio=100.00%, ff7_valid=100.00%"
239,0x595B0B,0x595B28,clean_text,85,29,33,Nein,"german_ratio=100.00%, ff7_valid=100.00%"
240,0x595B2D,0x595B48,clean_text,95,27,41,Limit gewählt!,contains German indicator word
241,0x595B57,0x595B68,clean_text,95,17,29,STUFE wählen,contains German indicator word
242,0x595B75,0x595B8C,fragment,80,23,23,,too short for menu text
243,0x595B8E,0x595B8F,fragment,80,1,1,,too short for menu text
244,0x595B90,0x595B92,fragment,80,2,2,,too short for menu text
245,0x595B94,0x595B94,ui_table,90,0,8,R R 3 1P,coordinate pattern: letter space letter space digit
246,0x595BA4,0x595BA6,fragment,80,2,2,,too short for menu text
247,0x595BAA,0x595BAB,fragment,80,1,1,,too short for menu text
248,0x595BAC,0x595BAE,fragment,80,2,2,,too short for menu text
249,0x595BB0,0x595BB0,ui_table,90,0,8,T T 3!1T,coordinate pattern: letter space letter space digit
250,0x595BB9,0x595BB9,fragment,80,0,1,_,too short for menu text
251,0x595BBC,0x595BBF,fragment,80,3,6,"""",too short for menu text
252,0x595BC6,0x595BC7,fragment,80,1,1,,too short for menu text
253,0x595BC8,0x595BCA,fragment,80,2,2,,too short for menu text
254,0x595BCC,0x595BCC,ui_table,90,0,8,"S S 3""1X",coordinate pattern: letter space letter space digit
255,0x595BD6,0x595BD6,fragment,80,0,2,:ö,too short for menu text
256,0x595BDC,0x595BDE,binary_data,90,2,3,,high byte ratio: 100.00%
257,0x595BE2,0x595BE3,fragment,80,1,1,,too short for menu text
258,0x595BE4,0x595BE6,fragment,80,2,2,,too short for menu text
259,0x595BE8,0x595BE8,ui_table,90,0,8,U U 3#1f,coordinate pattern: letter space letter space digit
260,0x595BF8,0x595BFA,fragment,80,2,2,,too short for menu text
261,0x595BFE,0x595BFF,fragment,80,1,1,,too short for menu text
262,0x595C00,0x595C02,fragment,80,2,2,,too short for menu text
263,0x595C04,0x595C04,ui_table,85,0,8,V V $1:,in known UI coordinate region with digits
264,0x595C0E,0x595C0F,fragment,80,1,2,&,too short for menu text
265,0x595C14,0x595C16,fragment,80,2,2,,too short for menu text
266,0x595C1A,0x595C1B,fragment,80,1,1,,too short for menu text
267,0x595C1C,0x595C1E,fragment,80,2,2,,too short for menu text
268,0x595C20,0x595C20,ui_table,90,0,8,Y Y 7%1,coordinate pattern: letter space letter space digit
269,0x595C29,0x595C29,ui_table,85,0,9,_8£!,in known UI coordinate region with digits
270,0x595C36,0x595C37,fragment,80,1,1,,too short for menu text
271,0x595C38,0x595C3A,fragment,80,2,2,,too short for menu text
272,0x595C3C,0x595C3C,ui_table,85,0,8,"[ \ &1,",in known UI coordinate region with digits
273,0x595C46,0x595C47,fragment,80,1,2,/,too short for menu text
274,0x595C4C,0x595C4E,fragment,80,2,2,,too short for menu text
275,0x595C4F,0x595C4F,binary_data,90,0,1,,high byte ratio: 100.00%
276,0x595C52,0x595C53,fragment,80,1,1,,too short for menu text
277,0x595C54,0x595C56,fragment,80,2,2,,too short for menu text
278,0x595C58,0x595C58,ui_table,90,0,8,f f 3'1T,coordinate pattern: letter space letter space digit
279,0x595C68,0x595C6A,fragment,80,2,2,,too short for menu text
280,0x595C6E,0x595C6F,fragment,80,1,1,,too short for menu text
281,0x595C70,0x595C72,fragment,80,2,2,,too short for menu text
282,0x595C74,0x595C74,ui_table,90,0,8,h h 7(1V,coordinate pattern: letter space letter space digit
283,0x595C84,0x595C86,fragment,80,2,2,,too short for menu text
284,0x595C8A,0x595C8B,fragment,80,1,1,,too short for menu text
285,0x595C8C,0x595C8E,fragment,80,2,2,,too short for menu text
286,0x595C90,0x595C90,ui_table,90,0,8,i i 3)C@,coordinate pattern: letter space letter space digit
287,0x595CA0,0x595CA0,binary_data,90,0,3,@,high byte ratio: 50.00%
