index,steam_offset,estore_en_offset,estore_de_offset,delta,match_type,en_text,de_text,en_bytes_hex
115,0x51A0B4,0x51ACB4,,,not_found,semicolon,,53454D49434F4C4F4E000000
116,0x51A0C0,0x51ACC0,0x591AB0,486896,exact,apostrophe,apostrophe,41504F5354524F5048450000
117,0x51A0CC,0x51ACCC,,,not_found,grave,,4752415645000000
118,0x51A0D4,0x51ACD4,,,not_found,left@shift,,4C4546542053484946540000
119,0x51A0E0,0x51ACE0,,,not_found,back@slash,,4241434B20534C4153480000
120,0x51A0EC,0x51ACEC,0x5186EF,-9725,multi(40),z,z,5A000000
121,0x51A0F0,0x51ACF0,0x50E217,-51929,multi(29),x,x,58000000
122,0x51A0F4,0x51ACF4,0x504F9C,-89432,multi(56),c,c,43000000
123,0x51A0F8,0x51ACF8,0x52D303,75275,multi(12),v,v,56000000
124,0x51A0FC,0x51ACFC,0x504F90,-89452,multi(104),b,b,42000000
125,0x51A100,0x51AD00,0x51090C,-41972,multi(42),n,n,4E000000
126,0x51A104,0x51AD04,0x50EDB3,-48977,multi(167),m,m,4D000000
127,0x51A108,0x51AD08,,,not_found,comma,,434F4D4D41000000
128,0x51A110,0x51AD10,,,not_found,period,,504552494F440000
129,0x51A118,0x51AD18,,,not_found,slash,,534C415348000000
130,0x51A120,0x51AD20,,,not_found,right@shift,,524947485420534849465400
131,0x51A12C,0x51AD2C,,,not_found,multiply,,4D554C5449504C5900000000
132,0x51A138,0x51AD38,,,not_found,left@alt,,4C45465420414C5400000000
133,0x51A144,0x51AD44,,,not_found,space,,5350414345000000
134,0x51A14C,0x51AD4C,,,not_found,caps@lock,,43415053204C4F434B000000
135,0x51A158,0x51AD58,0x591BB4,487004,exact,fQ,fQ,46310000
136,0x51A15C,0x51AD5C,0x591BB8,487004,exact,fR,fR,46320000
137,0x51A160,0x51AD60,0x591BBC,487004,exact,fS,fS,46330000
138,0x51A164,0x51AD64,0x591BC0,487004,exact,fT,fT,46340000
139,0x51A168,0x51AD68,0x591BC4,487004,exact,fU,fU,46350000
140,0x51A16C,0x51AD6C,0x591BC8,487004,exact,fV,fV,46360000
141,0x51A170,0x51AD70,0x591BCC,487004,exact,fW,fW,46370000
142,0x51A174,0x51AD74,0x591BD0,487004,exact,fX,fX,46380000
143,0x51A178,0x51AD78,0x591BD4,487004,exact,fY,fY,46390000
144,0x51A17C,0x51AD7C,0x591BD8,487004,exact,fQP,fQP,46313000
145,0x51A180,0x51AD80,0x591BDC,487004,exact,numlock,numlock,4E554D4C4F434B00
146,0x51A188,0x51AD88,0x591BE4,487004,exact,scroll,scroll,5343524F4C4C0000
147,0x51A190,0x51AD90,,,not_found,numpadW,,4E554D5041443700
148,0x51A198,0x51AD98,,,not_found,numpadX,,4E554D5041443800
149,0x51A1A0,0x51ADA0,,,not_found,numpadY,,4E554D5041443900
150,0x51A1A8,0x51ADA8,,,not_found,subtract,,535542545241435400000000
151,0x51A1B4,0x51ADB4,,,not_found,numpadT,,4E554D5041443400
152,0x51A1BC,0x51ADBC,,,not_found,numpadU,,4E554D5041443500
153,0x51A1C4,0x51ADC4,,,not_found,numpadV,,4E554D5041443600
154,0x51A1CC,0x51ADCC,0x50EB3B,-49809,exact,add,add,41444400
155,0x51A1D0,0x51ADD0,,,not_found,numpadQ,,4E554D5041443100
156,0x51A1D8,0x51ADD8,,,not_found,numpadR,,4E554D5041443200
157,0x51A1E0,0x51ADE0,,,not_found,numpadS,,4E554D5041443300
158,0x51A1E8,0x51ADE8,,,not_found,numpadP,,4E554D5041443000
159,0x51A1F0,0x51ADF0,0x517C5C,-12692,multi(22),decimal,decimal,444543494D414C00
160,0x51A210,0x51AE10,0x591C70,487008,exact,fQQ,fQQ,46313100
161,0x51A214,0x51AE14,0x591C74,487008,exact,fQR,fQR,46313200
162,0x51A270,0x51AE70,0x591CD0,487008,exact,fQS,fQS,46313300
163,0x51A274,0x51AE74,0x591CD4,487008,exact,fQT,fQT,46313400
164,0x51A278,0x51AE78,0x591CD8,487008,exact,fQU,fQU,46313500
165,0x51A2C4,0x51AEC4,0x591D24,487008,exact,kana,kana,4B414E4100000000
166,0x51A30C,0x51AF0C,0x591D6C,487008,multi(2),convert,convert,434F4E5645525400
167,0x51A31C,0x51AF1C,0x591D7C,487008,exact,noconvert,noconvert,4E4F434F4E56455254000000
168,0x51A330,0x51AF30,0x591D90,487008,exact,yen,yen,59454E00
169,0x51A3AC,0x51AFAC,0x591E0C,487008,exact,numpadequals,numpadequals,4E554D504144455155414C5300000000
170,0x51A3CC,0x51AFCC,0x591E2C,487008,exact,circumflex,circumflex,43495243554D464C45580000
171,0x51A3D8,0x51AFD8,0x50E1CC,-52748,multi(7),at,at,41540000
172,0x51A3DC,0x51AFDC,0x591E3C,487008,exact,colon,colon,434F4C4F4E000000
173,0x51A3E4,0x51AFE4,0x591E44,487008,exact,underline,underline,554E4445524C494E45000000
174,0x51A3F0,0x51AFF0,0x591E50,487008,exact,kanji,kanji,4B414E4A49000000
175,0x51A3F8,0x51AFF8,0x591E58,487008,exact,stop,stop,53544F5000000000
176,0x51A400,0x51B000,0x591E60,487008,exact,ax,ax,41580000
177,0x51A404,0x51B004,0x591E64,487008,exact,unlabeled,unlabeled,554E4C4142454C4544000000
178,0x51A430,0x51B030,,,not_found,numpadenter,,4E554D504144454E54455200
179,0x51A43C,0x51B03C,,,not_found,right@control,,524947485420434F4E54524F4C000000
180,0x51A4F4,0x51B0F4,,,not_found,numpadcomma,,4E554D504144434F4D4D4100
181,0x51A508,0x51B108,,,not_found,divide,,4449564944450000
182,0x51A518,0x51B118,,,not_found,sysrq,,5359535251000000
183,0x51A520,0x51B120,,,not_found,right@alt,,524947485420414C54000000
184,0x51A59C,0x51B19C,,,not_found,home,,484F4D4500000000
185,0x51A5A4,0x51B1A4,,,not_found,up,,55500000
186,0x51A5A8,0x51B1A8,,,not_found,page@up,,5041474520555000
187,0x51A5B8,0x51B1B8,,,not_found,left,,4C45465400000000
188,0x51A5C8,0x51B1C8,,,not_found,right,,5249474854000000
189,0x51A5D8,0x51B1D8,0x506018,-86464,multi(4),end,end,454E4400
190,0x51A5DC,0x51B1DC,,,not_found,down,,444F574E00000000
191,0x51A5E4,0x51B1E4,,,not_found,page@down,,5041474520444F574E000000
192,0x51A5F0,0x51B1F0,,,not_found,insert,,494E534552540000
193,0x51A5F8,0x51B1F8,,,not_found,delete,,44454C4554450000
194,0x51A638,0x51B238,,,not_found,left@win,,4C4546542057494E00000000
195,0x51A644,0x51B244,,,not_found,right@win,,52494748542057494E000000
196,0x51A650,0x51B250,0x5920B8,487016,exact,apps,apps,4150505300000000
197,0x51A660,0x51B260,0x5920C8,487016,exact,mousebQ,mousebQ,4D4F5553455F423100000000
198,0x51A66C,0x51B26C,0x5920D4,487016,exact,mousebR,mousebR,4D4F5553455F423200000000
199,0x51A678,0x51B278,0x5920E0,487016,exact,mousebS,mousebS,4D4F5553455F423300000000
