# Chunk 005 - Strings 1000 to 1199
# Total in chunk: 200
# Format: OFFSET | DECODED_TEXT

0x59A0BD |                                                                                            ! #     !!             4                                                           " $             '       (       f                                                   " '             '       (   !   Q   !   R   !   T   !   U                           ! "     "!      4                                                                   " $             '       (       f                                                   # $ !   Q   !   R   !   T   !   U                                                   ! %                          "!      #!                                          # % !   Q   !   R   !   T   !   U   !   0                                           " )             '       (       ,       T       -       .       !       f           $ '             '       (       4       -       .       f                           " %             '       (       T       f                                           ! %                                 #!                                          " '             '       (       T       -       .       f                           # % !   S   !   \   !   D   !   E   !   V                                           % &     `       a       b       c       d       e                                   % *     q       r       s       t       `       a       b       c       d       e   " %             '       -       .       f                                           # $ !   Q   !   T   !   R   !   U                                                   ! %     #!              '       4       f                                           ! %                                                                            " )             !       '       (       T       ,       -       .       f           # % !   E   !   X   !   U   !   V   !   W                                           ! &                                                                           & "     K!      L!                                                                  # % !   Q   !   R   !   T   !   S   !   \                                           " "             '                                                                   ! $     )!      $!      5!      U                                                   # ' !   V   !   W   !   U   !   X   !   Q   !   R   !   T                           " )             !       '       )       (       T       -       .       f           ! #     $!             U                                                           ' #             '       f                                                           $ & !   Z       *       +       )       -       .                                   ( *             '       #       (       *       +       )       ,       -       .   $ #             '       f                                                           ! )                                               R       S       U           " )             !       '       f       *       +       )       -       .           & *     L!      K!      J!      C!      O!      X!  !   Y   !   a   !   V   !   Z   ! (                                                      %!                  $ *             !       '       #       f       *       +       )       -       .   # $ !       !   !   !   Y   !   Z                                                   $ $             !       '       f                                                   ! &            &!      @!      A!      B!      C!                                  " *             !       '       #       -       .       f   !   ^   !   [   !   a   ! )                                                                        " )     !       '       #       -       .       f       ?       C       D!          " (             !       '       #       -       .       *       f                   ! *                                                             f       !   ! *                                                             (!      ,!  & '     E!      S!      T!      U!      M!      N!      O!                          " '     !       '       #       -       .       /       f                           # % !   !   !       !   Z   !   ]   !   d                                           " '     !       '       #       -       .       f       V                           # % !   G   !   J   !   I   !   d   !   7                                           $ $     o       p       ^       _                                                   ! )                                                                        " *                                                                       # & !   #   !   W   !       !   ^   !   [   !   7                                   ! '                                                                          & (     )!                                                                   " (                                                                         ! &                                        V                                   # & !   Q   !   R   !   T   !   S   !   ]   !   \                                   " '             !       '       #       -       .       f                           ! )     V       &!      +!      @!      A!      B!      C!      Q!      W!          " *     !       '       #       f   !   ^   !   [   !   a   !   G   !   I   !   J   " )     '!      *!              !       '       #       -       .       f           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #       f                                           " %             !       '       #                                                   R   L!  "   %  "   "   "   L!  p            ã   ã   ã   #  L!  #  "   "   p   "   "   "   "   "   "   "   "   "   "   @#  "   "   "   @#  "   "   "   "   "   "   "   "   "   "   "   "   "   "   !  !  R   !  #  "   "   "   "   "   "   "   3  +  %  #  @#  !     ã   !  !  !  !  !  !  !  "   "   '  %  x"  !     ã   *   "   !  !  !  !  !  !  !  !  R   R   R   !  R   R   R   "   "   "                                                                                               £   #  %  *  N  N  pf  (  .  ã9  *  é0  "   "   "   "   £   `!  "  $  )  6  0G  ^  ('  *  Z  (  é0  "   "   "   £   ~!  #  £%  *  8  N  pf  '  ,  ^  ,  ,  "   "   "   @#  4%  )  ñ7  J  éb  '  -  V  ñ7  `?  "   "   "      ò!  @#  4%  H*  6  ('  ,  )  .  l=  $  ã9  l=  R  Xj  x;  l=  ^  ,  X8  "   Z  "   "   x"  £%  H*  ñ7  N  pf  '  ,  V  +  ñ7  "   "   "   !  )  5  J  pf  (  *  ,  +  Z  "   "   "   #  <,   9  N  pf  -  :  R  +  ,  "   "   "   _b/ ã      8!  ~!  @#  4%  '  ,  2  ('  õ.  `?  N  x"  @#  "   "   "   #  #  %  4%  2  2  2  .  "   "   "   "   "   "   l=  -  l=  /  0G  0G  "   @n  "   "   /  +  +  x;  l=  3  !  l=  "   `?  `?  `?  "   l=  3  "   HC  "   N  0G  "   "   
0x59C158 | `?  `?  @n  @n  Z  !   !   !   !   !   !   !   !   !   !   !   #  !   !   !   !   !       @n  !   !   !   !   !   !   !   !   !   !   !   !   $  #  0G  0G  !   0G  0G  !   !   
0x59C218 | !   x"  x"  %  x"  "  %  +  +  ñ7  3  0G  %  `?  0G      @n  ñ7          HC  !   !   !   !   !   !   !   !   !   !   !   !   !   !   !   !   !   !   !   !   !   !   
0x59C360 |     !S   S "S   ~ !   M!"           Ü "S !~    O ü £   S "! ! t g!}  v   S "~    "S    !C!! $!C!     :   : `!:   O  é    `!y           T `!:  O ã é ° 8 ` \   9 `! •  ì J  O p K   : `!O   i `!:   ~    ~   !   S    ° : Laden
0x59C466 |                                   Wählen Sie eine Speicherdatei aus.
0x59C4AB |      Wählen Sie einen Speicherblock aus.
0x59C4D4 |     STECKPLATZ 1
0x59C4E5 |                            STECKPLATZ 2
0x59C50D |                            Wirklich?
0x59C532 |                               Bin am Laden. Bitte warten
0x59C56C |             Bin am Sichern. Bitte warten
0x59C596 |           LEER
0x59C5A5 |                                    BLOCK
0x59C5CE |                                   Weiter?
0x59C61C |                                     Überprüfe Spielstandsdatei
0x59C89B |                                      Gespeichert.
0x59C8CD |                            Speichern nicht möglich.
0x59C901 |                Laden nicht möglich.
0x59C925 |                    Daten sind zerstört.
0x59C94D |                    NEUES SPIEL
0x59C96C |                             Wirklich speichern?
0x59C99C |                     Ja
0x59C9B3 |                                      Nein
0x59C9DD |                                    Beendet.
0x59CA85 |                                                                  Formatiert
0x59CAD1 |                                                        Formatierung nicht möglich
0x59CB23 |                                        Nicht formatiert
0x59CB5B |                                                  Jetzt formatieren?
0x59CB9F |                                                Memory Card wird geprüft.
0x59CBE8 |                                         Keine Spielstandsdatei.
0x59CC28 |                                           Diese Memory Card ist beschädigt und kann nicht verwendet werden.
0x59CC94 | Andere Memory Card einlegen.
0x59CCB1 |                                      Nicht genug Platz in der Spielstandsdatei übrig.
0x59CD07 |                  Bitte benutzen Sie eine andere Spielstandsdatei
0x59CD48 |                   oder löschen Sie 1 Block gesicherter Daten.
0x59CDDF |                                                                  Lesen nicht möglich.
0x59CE35 |                                              Spiel beginnen?
0x59CF6B |                                                                      Kann Speicherpuffer der Spielstandsdatei nicht zuordnen!
0x59CFE9 |    Ungültige Spielstandsdatei!
0x59D008 |                                 Spielstand 1   
0x59D038 |     Spielstand 2   
0x59D04C |     Spielstand 3   
0x59D060 |     Spielstand 4   
0x59D074 |     Spielstand 5   
0x59D088 |     Spielstand 6   
0x59D09C |     Spielstand 7   
0x59D0B0 |     Spielstand 8   
0x59D0C4 |     Spielstand 9   
0x59D0D8 |     Spielstand 10
0x59D0EA |       !)  m t!v L!S     "  % j G  K  :     `!e +! ë e   [!  ç V C v r  m     
0x59D150 | Level
0x59D156 |       p  @  cZ|ffW|ôòâ|ìåî|gåòìáî|íïáãìåîNâññ cZ|ffW|ôòâ|ìåî|gåòìáî|íïáãìåîNâññ Eôôá°å  Eôôá°åOôá°åEPRãNÜÜW Eôôá°åOôá°åEPRãNÜÜW 
0x59D1E1 |                ôóòõ                  _ñï•     âïô             ôèî             õáî             áõáî    @Y     PB                    
0x59D26A | UéA/
0x59D2A4 | Üó-`      
0x59D2B6 | -`Vc,9_      _#å£ñ         !4 AM }J àJ áN       %áõáîR       "0 Q òR J uR uR uR J uR J J J J òR òR J J  !  $  '  *  -    ñ_  _    !  $  '  *  -        _      c      [      _      _      
0x59D39C | ü^ ^ ^ ^ ^ ^ ^ ^ ^ ._ 3_ I_ N_ j_ z_ î_ ß_ _ _ _ _ _ _ .` B` b` g` á` Ü` ` ` ` ` ` ` %a *a Ja ^a va äa a a a a a a a .b Nb Sb mb rb òb b b b b b b b 6c Jc bc         ü      
0x59D4B6 | ü      0        4    =    :    ;    ?    3    A    .    -    /    0    %   £ >   õ 2   ñ @   í ,   ã +   | 5   t <   l 9   d 1   \ 8   T 6   L 7   D B   @ C   < D   8 F             0d      !       P                                                                      $     # #   H  .   é  0             $     & !     "     #     $     %     &   0!         $     ! å   H!         $     ! !   `!         $     ! )$  x!          $     ! )$  é!          $     ! )$  £!          $     ! )$  !          $     ! )$  !          $     ! )$  !          $     ! )$  !          $     !     !  A Hl  $       î H6  $      H (  $       H(! $       Hb  $      @ 0  $       z   $      D @#  $      H       !  ! (      `           !   !      .F  6M  ;R  CZ  J_6 Lc" Rk  Zu  La0 Ui7 \p= \oB ]qD a}" c{; eá! jå# mè$ pì& sï( uó* xô. wó6 {2 wñ: °6 £6 ã; dxG i{P wìI nR rã[ äB {ëf âôk ëöw ñß} îG îH ñG òL ïR í] °P S T U Y îf ñf b ô| Ü \ ` a b e l i l n m u u z z x q u z y w y { | ï  â ñ ° £ â â é è í ó £ à å è è ë í ï ï õ õ ô • £  •    ß                                                                                                          
0x59DBFF |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ò                                                                          £é                                                                         éìå                                                                       éééá                                                                      éååå                                                                    £íåå~                                                                    £òéàíå                                                                   ££ééì£ååì~                                                                  £òééçåá{~                                                                 ££éìååíí{{                                                                ££ìééååà{•g{                                                                ££ìéÜåçåå~~{{ãkè                                                               ££ééíååà~~{{|íí                                                               ££ìéÜååå|~{{{g{èè                                                              ££ìéçåååà|~{{g{_èu                                                              ££ééåçåå||{{{ggf_èö                                                             ££ééåíåà|||{{gggf^^                                                             é£éééååå||{{gkgf_]]õ                                                             çéìçåååà||{{{ggg_uiWu°                                                             åéåíåå||{{{gggf]{õâ                                                              åçååå|{{{gkgf__Z{                                                              âååå||{{{ggff_]]WP                                                               åååà||{{{gggf_]]ZZWP                                                              £éååçà||{{{gggf_^]ZZWPPGx                                                              £ìåååçåå||{{gggg_^]ZZWWuZGWx                                                             £££éççåå||{{l{gg_^^Z]WWW\õeBOt                                                             ££òéççåå||{{lggf__^ZZXXWOWhõtBb                                                           £òééçååå|||{{glgf_^]ZZXWPNOfwwOT                                                           ££ééåççå||{{glgg_^^ZZXWPPOJB\°eäKõ                                                          £éììååå||{{{ggg__^Z]XXPPMJJK<MyKv                                                          £éìéååå|{{lgggg_^]ZXXPPPJJJBB;;äypc                                                         ££ìéåçååà||{{{g{g__^]ZZXPWPMJJBB<<83TäS                                                         ££éééååå||{{glg__^]ZZXWPPMMJGBB<;8638°o                                                         ££éìéåçåà||{{{ggff_^]ZXXPPPJJGGB<<885318aß                                                         éòéìéåååå||{{{gggf_^]ZXXPWPMJJG<<<885531oñRßó                                                          ééåìåà||{kkgkgf_^]]XXXPMMJJGB<<;865311(SUD                                                          åìååå{|í•ggff_]ZZXXPPMMJGB<<<865331..'/CF                                                          çåååàç{g_f_^]ZZWPPPMJGG<B;;564300.(('$DîAq                                                          ìåççåà|•{gggg__^]ZZXWPPMJKG<B;;8553100((''$$"CrC                                                           ååç•í{k|{lgg___]]XXWPPMMIGB<<;8554110((''$$$$#$qVr                                                            ççggg__]]XXXPPPJJGGB<<8854310((''&&$$$$$">îïD                                                             {glg__^]ZXXPPPMJGG<<<8854310.((''&$$$$$$$#"DîV                                                             •{```_g___]ZZXWPPMJJGB<<;855310.((''&$$$$$$$$$$#)V                                                                {_]]]XXWPPMMJGB<<;8653110((''&$$$$$$$$$$$$#"*î                                                                                 °]WXWPPPMJGG<<<;653310((('&&$$$$$$$$$$$$$$##,                                                                                   ]MNMMJGG<B;;8553100((''$$$$$$$$$$$$$$$$$$*)E                                                                                   ZPMGG<B<;855311.((''&$$$$$$$$$$$$$$$$$#-ïCV                                                                                    õ\<;<;;853310((''&$$$$#$$$$$$$$$$$$$$$)Uï                                                                                     \65583310('('&$$$$UV+"$$$$$$$$$$$$$$"*V                                                                                        e8tv8(.L?&$=A$#$*Un+"$$$$$$$$$$$$$$"*                                                                                         ydyp/.sñ-+>""")î+"$$$$$$$$$$$$$#",ï                                                                                         óäR+ßßr-V=#""A>"#$$$$$$$$$$$$#"*                                                                                         óAîDV)!"îD$$$$$$$$$$$$$$$#,                                                                                          VA!,  *""$$$$$$$$$$$$"ArCV                                                                                                AA  î="$$$$$$$$$$$CqrVV                                                                                                      EF  V)#$$$$$$$$$$#,q                                                                                                      r    @"$$$$$$$$$$#*                                                                                                            n""$$$$$$$$#*Dq                                                                                                                r)"$$$$$$$$##*                                                                                                                 D)"#$$$$$$$$)-ï                                                                                                                 D)"$$$$$$$@$)U                                                                                                                  U)*>"""$îAC                                                                                                                  V$"ïF                                                                                                                     DCr   î%E                                                                                                                         +n                                                                                                                           F>Cî                                                                                                                           ïr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
0x5A21A7 | @   ü
0x5A21B8 | P  _
0x5A225D | X_
0x5A2400 | H   `      ! (      0           !   !      5M  8O  ;R  @V  CY  H]' G]( H^+ Jb  Mb, Rk  Qf/ Wq  [u" ]x  ^w( La3 Qe4 Ui5 b}  eá" iã" mè$ qì& sï( uó* xô. |2 £7 â; buF buI exI hzM mS tå\ çüC ëC ÜW wé` zäa âôi äh ç°q ïßx èF ïH òK °P £Q öU ßY £i b °u õ~ Ü ä ] ` a d d h i m o t q u | y ~ } ° õ £  à å ó á å è í î ò ô £     ü                                                                                                      
0x5A2827 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ööz                                     öôôx                                    ßö••ó~x                                   ß°•ôó~t~                                  ß°°ôó~zyxét                                 °°•ôózzx~ét                                ô°ôóóyxxtswt                                óóóyxxttrhiç                               óyyxttrjhaw                               yyxwtrricii                               zxxttrifapü                                °°ôxxttrjfcaTa                                ôóz~~xttrjhcaa[`R                               ó~xxvttshecaTSd|oå                               °ôôò~zxxttjifca[TRPgü{                             ö°°ôò~zxxttrjhca[[SPO>Vä                              óò~óxxvttjhcaa[SROE=9>ã                              óyxxsjrheca[SSOF><:6Uàî                              ~xvxueca[[SPO><:840Kln                              xx}weea`[SPO>=;960+%3Jl                               }hec^[SROO=<96/0)%$#@X                                wh_][[RPO=<:840))%%%#%Cè                                          iRPOO><;840+)%%%%%%#(                                           pR;<;860+)%%#%%%%%%A                                            íOE8//+,#IJ&#%%%%%,n                                              qGWLlL1DZ'#%%%$#@ï                                              ñëîZIán$##%%#!D                                                  ïè3!#%%%BY                                                       l,##%#?á                                                         ,###!Bï                                                          I3*!Inì                                                          Lïá                                                              èì                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
0x5A3A28 | H   @   `   ! (      $           !   !      ,E  0H  5M  9P  =T  @W  D[  I^) Jb  [v  ]y  Ti3 Uj6 Xl= ]q> `w0 dá  oë& pì% |ô/ tî4 {0 £6 â£9 è? buF dvJ gyK ôV äC îüG yä` õM •R U U °Y £â í \ _ ` g f f k j m } p t w x } ì  à å Ü ä ì ï ô ô ñ õ  £ ß £                                                            
0x5A3E4F |                                                                                                                                                                                                      ü                       üôìëß                     üõóëß                    ôëxwà}                  öîyurtgé                 óïïutibb`                 öee\XRè                ßït\[UPç                ßwàg[VRI_                 ñzj^\XSLDKm               ßwee\XSOIA8E{                jaeZPJB>61=n                 |~gMJD>82*'(F                      âN>42+)&%%;                       èQ50,/,%":•                        åooh;""W                            q<!.ã                             G@p                                £                                                                                                                                                                                                                                  
0x5A42D0 | H       !  ! @      (!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                "   &   *   .   0   2   3   4   3   2   0   -   *   %   !                                                                                                                                                                                                                                                                                                                                                                                                                                                           #   *   2àààGkòïhsssE   1   *   "                                                                                                                                                                                                                                                                                                                                                                                                                                       '   1T°
0x5A718C | ïP   1   &                                                                                                                                                                                                                                                                                                                                                                                                                       )   3y
0x5A7398 | s   3   (                                                                                                                                                                                                                                                                                                                                                                                                       '   2{
0x5A75A4 | r   1   &                                                                                                                                                                                                                                                                                                                                                                                           .]
0x5A77AC | V   -                                                                                                                                                                                                                                                                                                                                                                               &   1
0x5A79B0 | ä   /   $                                                                                                                                                                                                                                                                                                                                                                   )sssE
0x5A7BB8 | XXX@   (                                                                                                                                                                                                                                                                                                                                                           +R
0x5A7DBC | óóóK   *                                                                                                                                                                                                                                                                                                                                                   +Y
0x5A7FC0 | öööN   *                                                                                                                                                                                                                                                                                                                                           *R
0x5A81C4 | ìììJ   )                                                                                                                                                                                                                                                                                                                                   &wwwF
0x5A83C8 | àààG   )                                                                                                                                                                                                                                                                                                                               1
0x5A85CC | õõõL   *                                                                                                                                                                                                                                                                                                                       .ö
0x5A87D0 | R   +                                                                                                                                                                                                                                                                                                               (]
0x5A89D4 | W   +                                                                                                                                                                                                                                                                                                           3
0x5A8BD8 | U   *                                                                                                                                                                                                                                                                                                   *
0x5A8DDC | ìììJ   (                                                                                                                                                                                                                                                                                           !KKK>
0x5A8FE0 | ^^^A   &                                                                                                                                                                                                                                                                                       (}
0x5A97EC | s   +                                                                                                                                                                                                                                                                       3
0x5A99F0 | ìììJ   $                                                                                                                                                                                                                                                               "öööN
0x5A9BF4 |    .                                                                                                                                                                                                                                                               't
0x5A9FF8 | äääI   "                                                                                                                                                                                                                                                       0
0x5AA1FC | é   )                                                                                                                                                                                                                                                       2
0x5AA5FC | t   '                                                                                                                                                                                                                                                   6
0x5AAA00 | U   &                                                                                                                                                                                                                                               6
0x5AB404 | P   #                                                                                                                                                                                                                                           'y
0x5AB600 | m   &                                                                                                                                                                                                                                           #Q
0x5AB9FC | üY
0x5ABBFC | öS
0x5ABC00 | óG
0x5ABC08 | ìììJ   +                                                                                                                                                                                                                                           %c
0x5ABE00 | ñG
0x5ABE04 | ü^
0x5ABE0C | f   .                                                                                                                                                                                                                                           3
0x5AC004 | ë@
0x5AC008 | °S
0x5AC010 | ë   /   $                                                                                                                                                                                                                                   )Ü
0x5AC1F0 | üZ
0x5AC1F4 | öT
0x5AC20C | èA
0x5AC218 | KKK>   (                                                                                                                                                                                                                               !^^^A
0x5AC40C | £Z
0x5AC41C | R   ,                                                                                                                                                                                                                               +è
0x5AC5F0 | öU
0x5AC5F4 | •R
0x5AC5F8 | õN
0x5AC5FC | ëB
0x5AC60C | õîM
0x5AC620 | t   /                                                                                                                                                                                                                            222<
0x5AC7E8 | ßY
0x5AC7F0 | •R
0x5AC7F8 | òK
