# FF7 German Strings - Indexed by touphScript Order
# Generated: 2026-01-02 21:47:39 JST
# Session: 8bc98f0a-abab-49e6-acdd-56dd38e9d149
# Total: 758 strings
#
# Format: [INDEX] EN_OFFSET | EN_TEXT | DE_TEXT | DE_HEX
# ====================================================================================================

[058] 0x005196B0 | Press [CANCEL] to end.                   | [60]-[79] p[E8][78]  [E7][78] [90][D1][7 | 60 0D 79 00 50 E8 78 00 00 E7 78 00 90 D1 78 00 E0 CA 74 00 9F BB 78 00 D6 9D 78 00 E0 9B
[059] 0x005196E2 | Press [OK] to configure a key.           | ö b!ö b!ö b!ö b!ö     [FD]n[75] u#ö j[C0 | 7A 00 42 01 7A 00 42 01 7A 00 42 01 7A 00 42 01 7A 00 00 00 00 00 FD 4E 75 00 55 03 7A 00
[060] 0x00519714 | Now press the new key.                   | :[D2][78] [A5][CB][74] [90][BD][78] [90] | 1A D2 78 00 A5 CB 74 00 90 BD 78 00 90 9E 78 00 EF 9B 78 00 F6 93 78 00 55 03 7A 00 55 03
[061] 0x00519746 | [OK]                                     | ö u#ö     )%($*     "" !"""##$$   [A0][8 | 7A 00 55 03 7A 00 00 00 00 00 09 05 08 04 0A 00 00 00 00 00 02 02 00 01 02 02 02 03 03 04
[062] 0x00519778 | [CANCEL]                                 | *   !   "   [B4]   [68]       [BB][C3]   | 0A 00 00 00 01 00 00 00 02 00 00 00 B4 00 00 00 68 00 00 00 00 00 00 00 BB C3 FF 00 00 00
[063] 0x005197AA | [MENU]                                   | [B2] [B1]!  cy[D9]         !   "   $   % | B2 00 B1 01 00 00 43 59 D9 00 00 00 00 00 00 00 00 00 01 00 00 00 02 00 00 00 04 00 00 00
[064] 0x005197DC | [SWITCH]                                 | start@of@menu@systemAAA*    end@of@menu@ | 53 54 41 52 54 20 4F 46 20 4D 45 4E 55 20 53 59 53 54 45 4D 21 21 21 0A 00 00 00 00 45 4E
[065] 0x0051980E | [PAGEUP]                                 |   Mit [ABBRECHEN] beenden.               | 00 00 2D 49 54 00 3B 21 22 22 32 25 23 28 25 2E 3D 00 42 45 45 4E 44 45 4E 0E FF 00 00 00
[066] 0x00519840 | [PAGEDOWN]                               |             Drücken Sie auf [O.K.] um di | 00 00 00 00 00 00 00 00 00 00 00 00 24 52 7F 43 4B 45 4E 00 33 49 45 00 41 55 46 00 3B 2F
[067] 0x00519872 | [CAMERA]                                 |                       Tastenbelegung zu  | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 34 41 53 54 45 4E 42 45
[068] 0x005198A4 | [TARGET]                                 | ren.                                     | 52 45 4E 0E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[069] 0x005198D6 | [ASSIST]                                 | rücken[A9]                               | 52 7F 43 4B 45 4E A9 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[070] 0x00519908 | [START]                                  |                                          | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[071] 0x0051993A | [UP]                                     |   [ABBRECHEN]                            | 00 00 3B 21 22 22 32 25 23 28 25 2E 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[072] 0x0051996C | [DOWN]                                   |             [MEN[66]]                    | 00 00 00 00 00 00 00 00 00 00 00 00 3B 2D 25 2E 66 3D FF 00 00 00 00 00 00 00 00 00 00 00
[073] 0x0051999E | [LEFT]                                   |                       [UMSCHALTEN]       | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3B 35 2D 33 23 28 21 2C
[074] 0x005199D0 | [RIGHT]                                  |                                 [BILD HO | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[075] 0x00519A02 | KEYBOARD                                 |                                          | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[076] 0x00519A34 | JOYSTICK                                 | RUNTER]                                  | 32 35 2E 34 25 32 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[077] 0x00519FE0 | escape                                   |  F[99] (F[99]                            | 00 26 99 00 08 26 99 00
[078] 0x00519FE8 | Q                                        | 0F[99]                                   | 10 26 99 00
[079] 0x00519FEC | R                                        | 8F[99]                                   | 18 26 99 00
[080] 0x00519FF0 | S                                        | @F[99]                                   | 20 26 99 00
[081] 0x00519FF4 | T                                        | HF[99]                                   | 28 26 99 00
[082] 0x00519FF8 | U                                        | PF[99]                                   | 30 26 99 00
[083] 0x00519FFC | V                                        | XF[99]                                   | 38 26 99 00
[084] 0x0051A000 | W                                        | `F[99]                                   | 40 26 99 00
[085] 0x0051A004 | X                                        | lF[99]                                   | 4C 26 99 00
[086] 0x0051A008 | Y                                        | xF[99]                                   | 58 26 99 00
[087] 0x0051A00C | P                                        | [60]F[99]                                | 60 26 99 00
[088] 0x0051A010 | minus                                    | [68]F[99] [70]F[99]                      | 68 26 99 00 70 26 99 00
[089] 0x0051A018 | equals                                   | [78]F[99] ÜF[99]                         | 78 26 99 00 80 26 99 00
[090] 0x0051A020 | back@space                               | [88]F[99] [90]F[99] [98]F[99]            | 88 26 99 00 90 26 99 00 98 26 99 00
[091] 0x0051A02C | tab                                      | [A0]F[99]                                | A0 26 99 00
[092] 0x0051A030 | q                                        | [AC]F[99]                                | AC 26 99 00
[093] 0x0051A034 | w                                        | [B8]F[99]                                | B8 26 99 00
[094] 0x0051A038 | e                                        | [C0]F[99]                                | C0 26 99 00
[095] 0x0051A03C | r                                        | [C8]F[99]                                | C8 26 99 00
[096] 0x0051A040 | t                                        | [D4]F[99]                                | D4 26 99 00
[097] 0x0051A044 | y                                        | [E0]F[99]                                | E0 26 99 00
[098] 0x0051A048 | u                                        | [EC]F[99]                                | EC 26 99 00
[099] 0x0051A04C | i                                        | [F4]F[99]                                | F4 26 99 00
[100] 0x0051A050 | o                                        | [FC]F[99]                                | FC 26 99 00
[101] 0x0051A054 | p                                        | $G[99]                                   | 04 27 99 00
[102] 0x0051A058 | left@bracket                             | ,G[99] 4G[99] <G[99] DG[99]              | 0C 27 99 00 14 27 99 00 1C 27 99 00 24 27 99 00
[103] 0x0051A068 | right@bracket                            | LG[99] TG[99] `G[99] lG[99]              | 2C 27 99 00 34 27 99 00 40 27 99 00 4C 27 99 00
[104] 0x0051A078 | return                                   | xG[99] [64]G[99]                         | 58 27 99 00 64 27 99 00
[105] 0x0051A080 | left@control                             | [70]G[99] [7C]G[99] [88]G[99] [94]G[99]  | 70 27 99 00 7C 27 99 00 88 27 99 00 94 27 99 00
[106] 0x0051A090 | a                                        | [A0]G[99]                                | A0 27 99 00
[107] 0x0051A094 | s                                        | [AC]G[99]                                | AC 27 99 00
[108] 0x0051A098 | d                                        | [C8]                                     | C8 00 00 00
[109] 0x0051A09C | f                                        | k                                        | 4B 00 00 00
[110] 0x0051A0A0 | g                                        | @                                        | 20 00 00 00
[111] 0x0051A0A4 | h                                        | [C8]                                     | C8 00 00 00
[112] 0x0051A0A8 | j                                        | [64]                                     | 64 00 00 00
[113] 0x0051A0AC | k                                        | `                                        | 40 00 00 00
[114] 0x0051A0B0 | l                                        | [C8]                                     | C8 00 00 00
[115] 0x0051A0B4 | semicolon                                | [7D]   0   [C8]                          | 7D 00 00 00 10 00 00 00 C8 00 00 00
[116] 0x0051A0C0 | apostrophe                               | [96]   Ü   [C8]                          | 96 00 00 00 80 00 00 00 C8 00 00 00
[117] 0x0051A0CC | grave                                    | [AF]   $                                 | AF 00 00 00 04 00 00 00
[118] 0x0051A0D4 | left@shift                               | [C8]   [C8]   (                          | C8 00 00 00 C8 00 00 00 08 00 00 00
[119] 0x0051A0E0 | back@slash                               | [C8]   [E1]   !                          | C8 00 00 00 E1 00 00 00 01 00 00 00
[120] 0x0051A0EC | z                                        | [C8]                                     | C8 00 00 00
[121] 0x0051A0F0 | x                                        | [FA]                                     | FA 00 00 00
[122] 0x0051A0F4 | c                                        | "                                        | 02 00 00 00
[123] 0x0051A0F8 | v                                        | [C8]                                     | C8 00 00 00
[124] 0x0051A0FC | b                                        | 3!                                       | 13 01 00 00
[125] 0x0051A100 | n                                        |  !                                       | 00 01 00 00
[126] 0x0051A104 | m                                        | [C8]                                     | C8 00 00 00
[127] 0x0051A108 | comma                                    | L!   (                                   | 2C 01 00 00 00 08 00 00
[128] 0x0051A110 | period                                   | [C8]   e!                                | C8 00 00 00 45 01 00 00
[129] 0x0051A118 | slash                                    |  0  [C8]                                 | 00 10 00 00 C8 00 00 00
[130] 0x0051A120 | right@shift                              | ~!   `  [C8]                             | 5E 01 00 00 00 40 00 00 C8 00 00 00
[131] 0x0051A12C | multiply                                 | [77]!   Ü  [C8]                          | 77 01 00 00 00 80 00 00 C8 00 00 00
[132] 0x0051A138 | left@alt                                 | [90]!   @  [90]!                         | 90 01 00 00 00 20 00 00 90 01 00 00
[133] 0x0051A144 | space                                    | k   @                                    | 4B 00 00 00 20 00 00 00
[134] 0x0051A14C | caps@lock                                | [90]!  [64]   `                          | 90 01 00 00 64 00 00 00 40 00 00 00
[135] 0x0051A158 | fQ                                       | [90]!                                    | 90 01 00 00
[136] 0x0051A15C | fR                                       | [7D]                                     | 7D 00 00 00
[137] 0x0051A160 | fS                                       | 0                                        | 10 00 00 00
[138] 0x0051A164 | fT                                       | [90]!                                    | 90 01 00 00
[139] 0x0051A168 | fU                                       | [96]                                     | 96 00 00 00
[140] 0x0051A16C | fV                                       | Ü                                        | 80 00 00 00
[141] 0x0051A170 | fW                                       | [90]!                                    | 90 01 00 00
[142] 0x0051A174 | fX                                       | [AF]                                     | AF 00 00 00
[143] 0x0051A178 | fY                                       | $                                        | 04 00 00 00
[144] 0x0051A17C | fQP                                      | [90]!                                    | 90 01 00 00
[145] 0x0051A180 | numlock                                  | [C8]   (                                 | C8 00 00 00 08 00 00 00
[146] 0x0051A188 | scroll                                   | [90]!  [E1]                              | 90 01 00 00 E1 00 00 00
[147] 0x0051A190 | numpadW                                  | !   [90]!                                | 01 00 00 00 90 01 00 00
[148] 0x0051A198 | numpadX                                  | [FA]   "                                 | FA 00 00 00 02 00 00 00
[149] 0x0051A1A0 | numpadY                                  | [90]!  3!                                | 90 01 00 00 13 01 00 00
[150] 0x0051A1A8 | subtract                                 |  !  [90]!  L!                            | 00 01 00 00 90 01 00 00 2C 01 00 00
[151] 0x0051A1B4 | numpadT                                  |  (  [90]!                                | 00 08 00 00 90 01 00 00
[152] 0x0051A1BC | numpadU                                  | e!   0                                   | 45 01 00 00 00 10 00 00
[153] 0x0051A1C4 | numpadV                                  | [90]!  ~!                                | 90 01 00 00 5E 01 00 00
[154] 0x0051A1CC | add                                      |  `                                       | 00 40 00 00
[155] 0x0051A1D0 | numpadQ                                  | [90]!  [77]!                             | 90 01 00 00 77 01 00 00
[156] 0x0051A1D8 | numpadR                                  |  Ü  [90]!                                | 00 80 00 00 90 01 00 00
[157] 0x0051A1E0 | numpadS                                  | [90]!   @                                | 90 01 00 00 00 20 00 00
[158] 0x0051A1E8 | numpadP                                  | ''%'&'$'                                 | 07 07 05 07 06 07 04 07
[159] 0x0051A1F0 | decimal                                  | #' '!'"'                                 | 03 07 00 07 01 07 02 07
[160] 0x0051A210 | fQQ                                      |                                          | 00 00 00 00
[161] 0x0051A214 | fQR                                      | Ü"S                                      | 80 02 33 00
[162] 0x0051A270 | fQS                                      | he                                       | 48 45 00 00
[163] 0x0051A274 | fQT                                      | r[DC]ck                                  | 52 DC 43 4B
[164] 0x0051A278 | fQU                                      | tast                                     | 54 41 53 54
[165] 0x0051A2C4 | kana                                     | rg  a                                    | 52 47 00 00 41 00 00 00
[166] 0x0051A30C | convert                                  | y   x                                    | 59 00 00 00 58 00 00 00
[167] 0x0051A31C | noconvert                                | b   n   m                                | 42 00 00 00 4E 00 00 00 4D 00 00 00
[168] 0x0051A330 | yen                                      | punk                                     | 50 55 4E 4B
[169] 0x0051A3AC | numpadequals                             | numN@X  numN@Y                           | 4E 55 4D 2E 20 38 00 00 4E 55 4D 2E 20 39 00 00
[170] 0x0051A3CC | circumflex                               | numN@U  numN                             | 4E 55 4D 2E 20 35 00 00 4E 55 4D 2E
[171] 0x0051A3D8 | at                                       | @V                                       | 20 36 00 00
[172] 0x0051A3DC | colon                                    | plus                                     | 50 4C 55 53 00 00 00 00
[173] 0x0051A3E4 | underline                                | numN@Q  numN                             | 4E 55 4D 2E 20 31 00 00 4E 55 4D 2E
[174] 0x0051A3F0 | kanji                                    | @R  numN                                 | 20 32 00 00 4E 55 4D 2E
[175] 0x0051A3F8 | stop                                     | @S  numN                                 | 20 33 00 00 4E 55 4D 2E
[176] 0x0051A400 | ax                                       | @P                                       | 20 30 00 00
[177] 0x0051A404 | unlabeled                                | numN@entf                                | 4E 55 4D 2E 20 45 4E 54 46 00 00 00
[178] 0x0051A430 | numpadenter                              | keines  kein                             | 4B 45 49 4E 45 53 00 00 4B 45 49 4E
[179] 0x0051A43C | right@control                            | es  keines  kein                         | 45 53 00 00 4B 45 49 4E 45 53 00 00 4B 45 49 4E
[180] 0x0051A4F4 | numpadcomma                              | keines  kein                             | 4B 45 49 4E 45 53 00 00 4B 45 49 4E
[181] 0x0051A508 | divide                                   | es  kein                                 | 45 53 00 00 4B 45 49 4E
[182] 0x0051A518 | sysrq                                    | es  kein                                 | 45 53 00 00 4B 45 49 4E
[183] 0x0051A520 | right@alt                                | es  convert                              | 45 53 00 00 43 4F 4E 56 45 52 54 00
[184] 0x0051A59C | home                                     | keines                                   | 4B 45 49 4E 45 53 00 00
[185] 0x0051A5A4 | up                                       | kein                                     | 4B 45 49 4E
[186] 0x0051A5A8 | page@up                                  | es  kein                                 | 45 53 00 00 4B 45 49 4E
[187] 0x0051A5B8 | left                                     | es  kein                                 | 45 53 00 00 4B 45 49 4E
[188] 0x0051A5C8 | right                                    | adequals                                 | 41 44 45 51 55 41 4C 53
[189] 0x0051A5D8 | end                                      | es                                       | 45 53 00 00
[190] 0x0051A5DC | down                                     | keines                                   | 4B 45 49 4E 45 53 00 00
[191] 0x0051A5E4 | page@down                                | circumflex                               | 43 49 52 43 55 4D 46 4C 45 58 00 00
[192] 0x0051A5F0 | insert                                   | at  colo                                 | 41 54 00 00 43 4F 4C 4F
[193] 0x0051A5F8 | delete                                   | n   unde                                 | 4E 00 00 00 55 4E 44 45
[194] 0x0051A638 | left@win                                 | keines  kein                             | 4B 45 49 4E 45 53 00 00 4B 45 49 4E
[195] 0x0051A644 | right@win                                | es  numN@ent                             | 45 53 00 00 4E 55 4D 2E 20 45 4E 54
[196] 0x0051A650 | apps                                     | er  rech                                 | 45 52 00 00 52 45 43 48
[197] 0x0051A660 | mousebQ                                 | keines  kein                             | 4B 45 49 4E 45 53 00 00 4B 45 49 4E
[198] 0x0051A66C | mousebR                                 | es  keines                               | 45 53 00 00 4B 45 49 4E 45 53 00 00
[199] 0x0051A678 | mousebS                                 | keines  kein                             | 4B 45 49 4E 45 53 00 00 4B 45 49 4E
[200] 0x0051A68C | up                                       | es                                       | 45 53 00 00
[201] 0x0051A690 | down                                     | keines                                   | 4B 45 49 4E 45 53 00 00
[202] 0x0051A698 | left                                     | keines                                   | 4B 45 49 4E 45 53 00 00
[203] 0x0051A6A0 | right                                    | keines                                   | 4B 45 49 4E 45 53 00 00
[204] 0x0051A6C8 | button@Q                                 | keines  kein                             | 4B 45 49 4E 45 53 00 00 4B 45 49 4E
[205] 0x0051A6D4 | button@R                                 | es  keines                               | 45 53 00 00 4B 45 49 4E 45 53 00 00
[206] 0x0051A6E0 | button@S                                 | keines  kein                             | 4B 45 49 4E 45 53 00 00 4B 45 49 4E
[207] 0x0051A6EC | button@T                                 | es  keines                               | 45 53 00 00 4B 45 49 4E 45 53 00 00
[208] 0x0051A6F8 | button@U                                 | keines  kein                             | 4B 45 49 4E 45 53 00 00 4B 45 49 4E
[209] 0x0051A704 | button@V                                 | es  numN@kom                             | 45 53 00 00 4E 55 4D 2E 20 4B 4F 4D
[210] 0x0051A710 | button@W                                 | ma  keines                               | 4D 41 00 00 4B 45 49 4E 45 53 00 00
[211] 0x0051A71C | button@X                                 | geteilt kein                             | 47 45 54 45 49 4C 54 00 4B 45 49 4E
[212] 0x0051A728 | button@Y                                 | es  prtN@scr                             | 45 53 00 00 50 52 54 2E 20 53 43 52
[213] 0x0051A734 | button@QP                                | n   alt@gr                               | 4E 00 00 00 41 4C 54 20 47 52 00 00
[214] 0x0051D1E0 | Pause                                    | [CD][CC][CC]^[CD][CC][CC]^               | CD CC CC 3E CD CC CC 3E
[215] 0x0051D23C | Sleep                                    | [CD][CC][CC]^[CD][CC][CC]^               | CD CC CC 3E CD CC CC 3E 00 00
[216] 0x0051D246 | Poison                                   |                                          | 00 00 00 00 00 00 00 00 00 00
[217] 0x0051D250 | Sadness                                  |         mX                               | 00 00 00 00 00 00 00 00 4D 38
[218] 0x0051D25A | Fury                                     | [76] [C5]\[76] [96]i[76]                 | 76 00 C5 3C 76 00 96 49 76 00
[219] 0x0051D264 | Confusion                                | [AF]j[76] 9n[76] )d                      | AF 4A 76 00 19 4E 76 00 09 44
[220] 0x0051D26E | Silence                                  | [76] [B2]f[76] [8C]k[76]                 | 76 00 B2 46 76 00 8C 4B 76 00
[221] 0x0051D278 | Haste                                    | OX[76] Aw[76] OX                         | 2F 38 76 00 21 57 76 00 2F 38
[222] 0x0051D282 | Slow                                     | [76]                                     | 76 00 FF 3A 76 00 3E 38 76 00
[223] 0x0051D28C | Stop                                     | OX[76] OX[76] [F7]p                      | 2F 38 76 00 2F 38 76 00 F7 50
[224] 0x0051D2B4 | Petrify                                  | OX[76] [F7]p[76] OX                      | 2F 38 76 00 F7 50 76 00 2F 38
[225] 0x0051D2BE | Regen                                    | [76] Ät[76] [68]s[76] ä                  | 76 00 6B 54 76 00 68 53 76 00 6A
[226] 0x0051D2DC | Reflect                                  | [D7]][76] [9B]i[76] [B4]j                | D7 3D 76 00 9B 49 76 00 B4 4A
[227] 0x0051D2F0 | Shield                                   | [75]g[76] ol[76] YX                      | 75 47 76 00 4F 4C 76 00 39 38
