# FF7 German String Mappings - FINAL CLEAN
# Format: english_index,german_offset,german_text,english_text
# Total: 208 mappings
#
271,0x59567B,Mitglieden in zwei Gruppen aufteilen,Split your allies into two groups.
272,0x5956A1,Mitglieder in drei Gruppen aufteilen,Split your allies into three groups.
273,0x5956C2,Gruppe aus zwei Personen bilden,Please make a party of two.
274,0x5956E8,Gruppe aus drei Personen bilden,Please make a party of three.
275,0x59570A,Auswählen mit [START]-Taste,Select with START button.
276,0x5DE62A,Wpn.,Wpn.
277,0x5DE6C6,Arm.,Arm.
278,0x5DE702,Acc.,Acc.
279,0x5959EB,STUFE 1,LEVEL 1
280,0x5959FF,STUFE 2,LEVEL 2
289,0x5DFB0C,Iâ,No
290,0x5950AA,Nein,No
293,0x5DE7AB,Feuer,Fire
294,0x5DE835,Eis,Ice
295,0x5DE853,Blitz,Lightning
296,0x5DE879,Erde,Earth
297,0x5992D1,Gift,Poison
298,0x5992DD,Schwerkraft,Gravity
299,0x5992F0,Wasser,Water
300,0x5992F7,Wind,Wind
301,0x599301,Heilig,Holy
305,0x5DE910,Gift,Poison
306,0x5DE98F,Trauer,Sadness
307,0x5DEA19,Wut,Fury
308,0x5DEA68,Verwirrung,Confusion
309,0x5DEA6F,Stille,Silence
310,0x5DEAC7,Hast,Haste
311,0x5DEAD6,Langsam,Slow
312,0x5DEAE9,Stopp,Stop
328,0x595735,Effekt,Effect
330,0x59574E,Angreifen,Attack
331,0x59576E,Verteidigen,Defend
332,0x595766,Halbieren,Halve
333,0x59577A,Ungültig,Invalid
334,0x59578F,Absorbieren,Absorb
335,0x5DEB1D,Stärke,Strength
336,0x5DEB59,Geschicklichkeit,Dexterity
337,0x5DEB6C,Vitalität,Vitality
338,0x5DEB94,Magie,Magic
339,0x5DEBAD,Geist,Spirit
340,0x5DEBB4,Glück,Luck
341,0x595868,Angreifen,Attack
342,0x595882,Angreifen %,Attack%
343,0x59589A,Verteidigen,Defense
344,0x5958B0,Verteidigen %,Defense%
348,0x5958C8,Waf.,Wpn:
349,0x5958D9,Rüs.,Arm:
350,0x5958F0,Acc.,Acc:
351,0x595908,Limit-Ebene,Limit level:
352,0x595943,Wpn.,Wpn.
368,0x59930F,Soll das wirklich entfernt werden?,Do you really want to remove this?
369,0x59933B,Ja!,I sure do!
371,0x59936D,Sephiroth,Sephiroth[B2][A9][A9][B3]
372,0x599392,Waf.,Wpn.
373,0x5993AD,Rüs.,Arm.
374,0x5993C9,Fähigkeitsliste,Ability list
375,0x5993F0,Rüstungseffekt,Equip effect
376,0x59940B,Prüfen,Check
377,0x59941F,Ordnen,Arrange
378,0x599468,AP,AP
379,0x59946F,Auf nächste Ebene,To next level
380,0x59949A,MASTER,MASTER
381,0x5994AB,Ordnen,Arrange
382,0x5994C7,Tauschen,Exchange
383,0x5994E5,Alles entfernen,Remove all
384,0x599508,Wegwerfen,Trash
396,0x59966A,MAXHP,MaxHP
397,0x599686,MAXMP,MaxMP
400,0x5996DA,EXP.UP,EXP.UP
401,0x5996F7,Gil UP,Gil UP
405,0x599770,Präventivm. + %,Pre-emptive
406,0x59978C,Fernangriff,Long range attack
407,0x5997A4,Alle angreifen,Attack all
408,0x5997C3,Gegenangriff,Counter attack
412,0x5978A9,Zusätzliche Fähigkeit,Added-Ability
413,0x5978C8,Alle,All
414,0x5978CD,4x-Zber,4x-M
415,0x5978E6,MP absorb.,Absorb MP
416,0x5978FF,HP absorb.,Absorb HP
417,0x597921,Auch stehl.,Steal as well
418,0x597942,Schlag,Extra cut
419,0x597953,Turbo-MP,Turbo MP
420,0x59796B,Nichts,Nothing.
421,0x59797F,Nicht genug MP.,Not enough MP.
422,0x599833,Kaufen,Use
423,0x599847,Verkaufen,Arrange
424,0x597A21,Schlüsselobjekte,Key Items
425,0x597A3D,Allein,Customize
426,0x597A45,Feld,Field
427,0x597A55,Schlacht,Battle
428,0x597A6B,Werfen,Throw
429,0x597A7B,Typ,Type
430,0x597A8A,Name,Name
431,0x597A9D,Max.,Most
432,0x597AAF,Min.,Least
433,0x597AC1,OK! Klar!,OK! Got it!
458,0x5985D1,Cloud,Cloud
459,0x59862E,Barret,Barret
460,0x59863B,Tifa,Tifa
461,0x598645,Aeris,Aeris
462,0x598652,Red XIII,Red XIII
463,0x598661,Yuffie,Yuffie
575,0x5998FC,Besitz,Owned
