index,offset,text,hex_bytes,byte_length,text_length,type_info
67,0x00519872,[CAMERA],3B 23 21 2D 25 32 21 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,8,DEF
68,0x005198A4,[TARGET],3B 34 21 32 27 25 34 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,8,DEF
69,0x005198D6,[ASSIST],3B 21 33 33 29 33 34 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,8,DEF
70,0x00519908,[START],3B 33 34 21 32 34 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,7,DEF
71,0x0051993A,[UP],3B 35 30 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,4,DEF
72,0x0051996C,[DOWN],3B 24 2F 37 2E 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,6,DEF
73,0x0051999E,[LEFT],3B 2C 25 26 34 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,6,DEF
74,0x005199D0,[RIGHT],3B 32 29 27 28 34 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,7,DEF
75,0x00519A02,KEYBOARD,2B 25 39 22 2F 21 32 24 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,8,DEF
76,0x00519A34,JOYSTICK,2A 2F 39 33 34 29 23 2B FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,8,DEF
77,0x00519FE0,ESCAPE,45 53 43 41 50 45 00 00,8,6,RGB
78,0x00519FE8,1,31 00 00 00,4,1,RGB
79,0x00519FEC,2,32 00 00 00,4,1,RGB
80,0x00519FF0,3,33 00 00 00,4,1,RGB
81,0x00519FF4,4,34 00 00 00,4,1,RGB
82,0x00519FF8,5,35 00 00 00,4,1,RGB
83,0x00519FFC,6,36 00 00 00,4,1,RGB
84,0x0051A000,7,37 00 00 00,4,1,RGB
85,0x0051A004,8,38 00 00 00,4,1,RGB
86,0x0051A008,9,39 00 00 00,4,1,RGB
87,0x0051A00C,0,30 00 00 00,4,1,RGB
88,0x0051A010,MINUS,4D 49 4E 55 53 00 00 00,8,5,RGB
89,0x0051A018,EQUALS,45 51 55 41 4C 53 00 00,8,6,RGB
90,0x0051A020,BACK SPACE,42 41 43 4B 20 53 50 41 43 45 00 00,12,10,RGB
91,0x0051A02C,TAB,54 41 42 00,4,3,RGB
92,0x0051A030,Q,51 00 00 00,4,1,RGB
93,0x0051A034,W,57 00 00 00,4,1,RGB
94,0x0051A038,E,45 00 00 00,4,1,RGB
95,0x0051A03C,R,52 00 00 00,4,1,RGB
96,0x0051A040,T,54 00 00 00,4,1,RGB
97,0x0051A044,Y,59 00 00 00,4,1,RGB
98,0x0051A048,U,55 00 00 00,4,1,RGB
99,0x0051A04C,I,49 00 00 00,4,1,RGB
100,0x0051A050,O,4F 00 00 00,4,1,RGB
101,0x0051A054,P,50 00 00 00,4,1,RGB
102,0x0051A058,LEFT BRACKET,4C 45 46 54 20 42 52 41 43 4B 45 54 00 00 00 00,16,12,RGB
103,0x0051A068,RIGHT BRACKET,52 49 47 48 54 20 42 52 41 43 4B 45 54 00 00 00,16,13,RGB
104,0x0051A078,RETURN,52 45 54 55 52 4E 00 00,8,6,RGB
105,0x0051A080,LEFT CONTROL,4C 45 46 54 20 43 4F 4E 54 52 4F 4C 00 00 00 00,16,12,RGB
106,0x0051A090,A,41 00 00 00,4,1,RGB
107,0x0051A094,S,53 00 00 00,4,1,RGB
108,0x0051A098,D,44 00 00 00,4,1,RGB
109,0x0051A09C,F,46 00 00 00,4,1,RGB
110,0x0051A0A0,G,47 00 00 00,4,1,RGB
111,0x0051A0A4,H,48 00 00 00,4,1,RGB
112,0x0051A0A8,J,4A 00 00 00,4,1,RGB
113,0x0051A0AC,K,4B 00 00 00,4,1,RGB
114,0x0051A0B0,L,4C 00 00 00,4,1,RGB
115,0x0051A0B4,SEMICOLON,53 45 4D 49 43 4F 4C 4F 4E 00 00 00,12,9,RGB
116,0x0051A0C0,APOSTROPHE,41 50 4F 53 54 52 4F 50 48 45 00 00,12,10,RGB
117,0x0051A0CC,GRAVE,47 52 41 56 45 00 00 00,8,5,RGB
118,0x0051A0D4,LEFT SHIFT,4C 45 46 54 20 53 48 49 46 54 00 00,12,10,RGB
119,0x0051A0E0,BACK SLASH,42 41 43 4B 20 53 4C 41 53 48 00 00,12,10,RGB
120,0x0051A0EC,Z,5A 00 00 00,4,1,RGB
121,0x0051A0F0,X,58 00 00 00,4,1,RGB
122,0x0051A0F4,C,43 00 00 00,4,1,RGB
123,0x0051A0F8,V,56 00 00 00,4,1,RGB
124,0x0051A0FC,B,42 00 00 00,4,1,RGB
125,0x0051A100,N,4E 00 00 00,4,1,RGB
126,0x0051A104,M,4D 00 00 00,4,1,RGB
127,0x0051A108,COMMA,43 4F 4D 4D 41 00 00 00,8,5,RGB
128,0x0051A110,PERIOD,50 45 52 49 4F 44 00 00,8,6,RGB
129,0x0051A118,SLASH,53 4C 41 53 48 00 00 00,8,5,RGB
130,0x0051A120,RIGHT SHIFT,52 49 47 48 54 20 53 48 49 46 54 00,12,11,RGB
131,0x0051A12C,MULTIPLY,4D 55 4C 54 49 50 4C 59 00 00 00 00,12,8,RGB
132,0x0051A138,LEFT ALT,4C 45 46 54 20 41 4C 54 00 00 00 00,12,8,RGB
133,0x0051A144,SPACE,53 50 41 43 45 00 00 00,8,5,RGB
134,0x0051A14C,CAPS LOCK,43 41 50 53 20 4C 4F 43 4B 00 00 00,12,9,RGB
135,0x0051A158,F1,46 31 00 00,4,2,RGB
136,0x0051A15C,F2,46 32 00 00,4,2,RGB
137,0x0051A160,F3,46 33 00 00,4,2,RGB
138,0x0051A164,F4,46 34 00 00,4,2,RGB
139,0x0051A168,F5,46 35 00 00,4,2,RGB
140,0x0051A16C,F6,46 36 00 00,4,2,RGB
141,0x0051A170,F7,46 37 00 00,4,2,RGB
142,0x0051A174,F8,46 38 00 00,4,2,RGB
143,0x0051A178,F9,46 39 00 00,4,2,RGB
144,0x0051A17C,F10,46 31 30 00,4,3,RGB
145,0x0051A180,NUMLOCK,4E 55 4D 4C 4F 43 4B 00,8,7,RGB
146,0x0051A188,SCROLL,53 43 52 4F 4C 4C 00 00,8,6,RGB
147,0x0051A190,NUMPAD7,4E 55 4D 50 41 44 37 00,8,7,RGB
148,0x0051A198,NUMPAD8,4E 55 4D 50 41 44 38 00,8,7,RGB
149,0x0051A1A0,NUMPAD9,4E 55 4D 50 41 44 39 00,8,7,RGB
150,0x0051A1A8,SUBTRACT,53 55 42 54 52 41 43 54 00 00 00 00,12,8,RGB
151,0x0051A1B4,NUMPAD4,4E 55 4D 50 41 44 34 00,8,7,RGB
152,0x0051A1BC,NUMPAD5,4E 55 4D 50 41 44 35 00,8,7,RGB
153,0x0051A1C4,NUMPAD6,4E 55 4D 50 41 44 36 00,8,7,RGB
154,0x0051A1CC,ADD,41 44 44 00,4,3,RGB
155,0x0051A1D0,NUMPAD1,4E 55 4D 50 41 44 31 00,8,7,RGB
156,0x0051A1D8,NUMPAD2,4E 55 4D 50 41 44 32 00,8,7,RGB
157,0x0051A1E0,NUMPAD3,4E 55 4D 50 41 44 33 00,8,7,RGB
158,0x0051A1E8,NUMPAD0,4E 55 4D 50 41 44 30 00,8,7,RGB
159,0x0051A1F0,DECIMAL,44 45 43 49 4D 41 4C 00,8,7,RGB
160,0x0051A210,F11,46 31 31 00,4,3,RGB
161,0x0051A214,F12,46 31 32 00,4,3,RGB
162,0x0051A270,F13,46 31 33 00,4,3,RGB
163,0x0051A274,F14,46 31 34 00,4,3,RGB
164,0x0051A278,F15,46 31 35 00,4,3,RGB
165,0x0051A2C4,KANA,4B 41 4E 41 00 00 00 00,8,4,RGB
166,0x0051A30C,CONVERT,43 4F 4E 56 45 52 54 00,8,7,RGB
167,0x0051A31C,NOCONVERT,4E 4F 43 4F 4E 56 45 52 54 00 00 00,12,9,RGB
168,0x0051A330,YEN,59 45 4E 00,4,3,RGB
169,0x0051A3AC,NUMPADEQUALS,4E 55 4D 50 41 44 45 51 55 41 4C 53 00 00 00 00,16,12,RGB
170,0x0051A3CC,CIRCUMFLEX,43 49 52 43 55 4D 46 4C 45 58 00 00,12,10,RGB
171,0x0051A3D8,AT,41 54 00 00,4,2,RGB
172,0x0051A3DC,COLON,43 4F 4C 4F 4E 00 00 00,8,5,RGB
173,0x0051A3E4,UNDERLINE,55 4E 44 45 52 4C 49 4E 45 00 00 00,12,9,RGB
174,0x0051A3F0,KANJI,4B 41 4E 4A 49 00 00 00,8,5,RGB
175,0x0051A3F8,STOP,53 54 4F 50 00 00 00 00,8,4,RGB
176,0x0051A400,AX,41 58 00 00,4,2,RGB
177,0x0051A404,UNLABELED,55 4E 4C 41 42 45 4C 45 44 00 00 00,12,9,RGB
178,0x0051A430,NUMPADENTER,4E 55 4D 50 41 44 45 4E 54 45 52 00,12,11,RGB
179,0x0051A43C,RIGHT CONTROL,52 49 47 48 54 20 43 4F 4E 54 52 4F 4C 00 00 00,16,13,RGB
180,0x0051A4F4,NUMPADCOMMA,4E 55 4D 50 41 44 43 4F 4D 4D 41 00,12,11,RGB
181,0x0051A508,DIVIDE,44 49 56 49 44 45 00 00,8,6,RGB
182,0x0051A518,SYSRQ,53 59 53 52 51 00 00 00,8,5,RGB
183,0x0051A520,RIGHT ALT,52 49 47 48 54 20 41 4C 54 00 00 00,12,9,RGB
184,0x0051A59C,HOME,48 4F 4D 45 00 00 00 00,8,4,RGB
185,0x0051A5A4,UP,55 50 00 00,4,2,RGB
186,0x0051A5A8,PAGE UP,50 41 47 45 20 55 50 00,8,7,RGB
187,0x0051A5B8,LEFT,4C 45 46 54 00 00 00 00,8,4,RGB
188,0x0051A5C8,RIGHT,52 49 47 48 54 00 00 00,8,5,RGB
189,0x0051A5D8,END,45 4E 44 00,4,3,RGB
190,0x0051A5DC,DOWN,44 4F 57 4E 00 00 00 00,8,4,RGB
191,0x0051A5E4,PAGE DOWN,50 41 47 45 20 44 4F 57 4E 00 00 00,12,9,RGB
192,0x0051A5F0,INSERT,49 4E 53 45 52 54 00 00,8,6,RGB
193,0x0051A5F8,DELETE,44 45 4C 45 54 45 00 00,8,6,RGB
194,0x0051A638,LEFT WIN,4C 45 46 54 20 57 49 4E 00 00 00 00,12,8,RGB
195,0x0051A644,RIGHT WIN,52 49 47 48 54 20 57 49 4E 00 00 00,12,9,RGB
196,0x0051A650,APPS,41 50 50 53 00 00 00 00,8,4,RGB
197,0x0051A660,MOUSE_B1,4D 4F 55 53 45 5F 42 31 00 00 00 00,12,8,RGB
198,0x0051A66C,MOUSE_B2,4D 4F 55 53 45 5F 42 32 00 00 00 00,12,8,RGB
199,0x0051A678,MOUSE_B3,4D 4F 55 53 45 5F 42 33 00 00 00 00,12,8,RGB
200,0x0051A68C,UP,55 50 00 00,4,2,RGB
201,0x0051A690,DOWN,44 4F 57 4E 00 00 00 00,8,4,RGB
202,0x0051A698,LEFT,4C 45 46 54 00 00 00 00,8,4,RGB
203,0x0051A6A0,RIGHT,52 49 47 48 54 00 00 00,8,5,RGB
204,0x0051A6C8,BUTTON 1,42 55 54 54 4F 4E 20 31 00 00 00 00,12,8,RGB
205,0x0051A6D4,BUTTON 2,42 55 54 54 4F 4E 20 32 00 00 00 00,12,8,RGB
206,0x0051A6E0,BUTTON 3,42 55 54 54 4F 4E 20 33 00 00 00 00,12,8,RGB
207,0x0051A6EC,BUTTON 4,42 55 54 54 4F 4E 20 34 00 00 00 00,12,8,RGB
208,0x0051A6F8,BUTTON 5,42 55 54 54 4F 4E 20 35 00 00 00 00,12,8,RGB
209,0x0051A704,BUTTON 6,42 55 54 54 4F 4E 20 36 00 00 00 00,12,8,RGB
210,0x0051A710,BUTTON 7,42 55 54 54 4F 4E 20 37 00 00 00 00,12,8,RGB
211,0x0051A71C,BUTTON 8,42 55 54 54 4F 4E 20 38 00 00 00 00,12,8,RGB
212,0x0051A728,button@Y,42 55 54 54 4F 4E 20 39 00 00 00 00,12,8,DEF
213,0x0051A734,button@QP,42 55 54 54 4F 4E 20 31 30 00 00 00,12,9,DEF
214,0x0051D1E0,Pause,30 41 55 53 45 FF 00 00,8,5,DEF
215,0x0051D23C,Sleep,33 4C 45 45 50 FF 00 00 00 00,10,5,DEF
216,0x0051D246,Poison,30 4F 49 53 4F 4E FF 00 00 00,10,6,DEF
217,0x0051D250,Sadness,33 41 44 4E 45 53 53 FF 00 00,10,7,DEF
218,0x0051D25A,Fury,26 55 52 59 FF 00 00 00 00 00,10,4,DEF
219,0x0051D264,Confusion,23 4F 4E 46 55 53 49 4F 4E FF,10,9,DEF
220,0x0051D26E,Silence,33 49 4C 45 4E 43 45 FF 00 00,10,7,DEF
221,0x0051D278,Haste,28 41 53 54 45 FF 00 00 00 00,10,5,DEF
222,0x0051D282,Slow,33 4C 4F 57 FF 00 00 00 00 00,10,4,DEF
223,0x0051D28C,Stop,33 54 4F 50 FF 00 00 00 00 00,10,4,DEF
224,0x0051D2B4,Petrify,30 45 54 52 49 46 59 FF 00 00,10,7,DEF
225,0x0051D2BE,Regen,32 45 47 45 4E FF 00 00 00 00 FF,11,5,DEF
226,0x0051D2DC,Reflect,32 45 46 4C 45 43 54 FF 00 00,10,7,DEF
227,0x0051D2F0,Shield,33 48 49 45 4C 44 FF 00 00 00,10,6,DEF
228,0x0051D30E,Berserk,22 45 52 53 45 52 4B FF 00 00,10,7,DEF
229,0x0051D318,Peerless,30 45 45 52 4C 45 53 53 FF 00,10,8,DEF
230,0x0051D322,Paralyze,30 41 52 41 4C 59 5A 45 FF 00,10,8,DEF
231,0x0051D32C,Darkness,24 41 52 4B 4E 45 53 53 FF 00,10,8,DEF
