texture,index,character,unicode
jafont_1,137,り,U+308A
jafont_1,138,ル,U+30EB
jafont_1,139,る,U+308B
jafont_1,140,レ,U+30EC
jafont_1,141,れ,U+308C
jafont_1,142,ロ,U+30ED
jafont_1,143,ろ,U+308D
jafont_1,144,ヤ,U+30E4
jafont_1,145,や,U+3084
jafont_1,146,ユ,U+30E6
jafont_1,147,ゆ,U+3086
jafont_1,148,ヨ,U+30E8
jafont_1,149,よ,U+3088
jafont_1,150,ワ,U+30EF
jafont_1,151,わ,U+308F
jafont_1,152,ン,U+30F3
jafont_1,153,ん,U+3093
jafont_1,154,ヲ,U+30F2
jafont_1,155,を,U+3092
jafont_1,156,ッ,U+30C3
jafont_1,157,っ,U+3063
jafont_1,158,ャ,U+30E3
jafont_1,159,ゃ,U+3083
jafont_1,160,ュ,U+30E5
jafont_1,161,ゅ,U+3085
jafont_1,162,ョ,U+30E7
jafont_1,163,ょ,U+3087
jafont_1,164,ァ,U+30A1
jafont_1,165,ぁ,U+3041
jafont_1,166,ィ,U+30A3
jafont_1,167,ぃ,U+3043
jafont_1,168,ゥ,U+30A5
jafont_1,169,ぅ,U+3045
jafont_1,170,ェ,U+30A7
jafont_1,171,ぇ,U+3047
jafont_1,172,ォ,U+30A9
jafont_1,173,ぉ,U+3049
jafont_1,174,！,U+FF01
jafont_1,175,？,U+FF1F
jafont_1,176,『,U+300E
jafont_1,177,』,U+300F
jafont_1,178,．,U+FF0E
jafont_1,179,＋,U+FF0B
jafont_1,180,Ａ,U+FF21
jafont_1,181,Ｂ,U+FF22
jafont_1,182,Ｃ,U+FF23
jafont_1,183,Ｄ,U+FF24
jafont_1,184,Ｅ,U+FF25
jafont_1,185,Ｆ,U+FF26
jafont_1,186,Ｇ,U+FF27
jafont_1,187,Ｈ,U+FF28
jafont_1,188,Ｉ,U+FF29
jafont_1,189,Ｊ,U+FF2A
jafont_1,190,Ｋ,U+FF2B
jafont_1,191,Ｌ,U+FF2C
jafont_1,192,Ｍ,U+FF2D
jafont_1,193,Ｎ,U+FF2E
jafont_1,194,Ｏ,U+FF2F
jafont_1,195,Ｐ,U+FF30
jafont_1,196,Ｑ,U+FF31
jafont_1,197,Ｒ,U+FF32
jafont_1,198,Ｓ,U+FF33
jafont_1,199,Ｔ,U+FF34
jafont_1,200,Ｕ,U+FF35
jafont_1,201,Ｖ,U+FF36
jafont_1,202,Ｗ,U+FF37
jafont_1,203,Ｘ,U+FF38
jafont_1,204,Ｙ,U+FF39
jafont_1,205,Ｚ,U+FF3A
jafont_1,206,・,U+30FB
jafont_1,207,＊,U+FF0A
jafont_1,208,ー,U+30FC
jafont_1,209,～,U+FF5E
jafont_1,210,⋯,U+22EF
jafont_1,211,％,U+FF05
jafont_1,212,／,U+FF0F
jafont_1,213,：,U+FF1A
jafont_1,214,＆,U+FF06
jafont_1,215,【,U+3010
jafont_1,216,】,U+3011
jafont_1,217,,
jafont_1,218,→,U+2192
jafont_1,219,α,U+03B1
jafont_1,220,β,U+03B2
jafont_1,221,「,U+300C
jafont_1,222,」,U+300D
jafont_1,223,（,U+FF08
jafont_1,224,）,U+FF09
jafont_1,225,−,U+2212
jafont_1,226,＝,U+FF1D
jafont_1,227,,
jafont_1,228,,
jafont_1,229,,
jafont_1,230,???,[NEEDS_REVIEW]
jafont_1,231,,
jafont_1,232,,
jafont_1,233,,
jafont_1,234,,
jafont_1,235,,
jafont_1,236,,
jafont_1,237,,
jafont_1,238,,
jafont_1,239,,
jafont_1,240,,
jafont_1,241,,
jafont_1,242,,
jafont_1,243,,
jafont_1,244,,
jafont_1,245,,
jafont_1,246,,
jafont_1,247,,
jafont_1,248,,
jafont_1,249,,
jafont_1,250,,
jafont_1,251,,
jafont_1,252,,
jafont_1,253,,
jafont_1,254,,
jafont_1,255,,
jafont_2,0,必,U+5FC5
jafont_2,1,殺,U+6BBA
jafont_2,2,技,U+6280
jafont_2,3,地,U+5730
jafont_2,4,獄,U+7344
jafont_2,5,火,U+706B
jafont_2,6,炎,U+708E
jafont_2,7,裁,U+88C1
jafont_2,8,雷,U+96F7
jafont_2,9,大,U+5927
jafont_2,10,怒,U+6012
jafont_2,11,斬,U+65AC
jafont_2,12,鉄,U+9244
jafont_2,13,剣,U+5263
jafont_2,14,槍,U+69CD
jafont_2,15,海,U+6D77
jafont_2,16,衝,U+885D
jafont_2,17,聖,U+8056
jafont_2,18,審,U+5BE9
jafont_2,19,判,U+5224
jafont_2,20,転,U+8EE2
jafont_2,21,生,U+751F
jafont_2,22,改,U+6539
jafont_2,23,暗,U+6697
jafont_2,24,黒,U+9ED2
jafont_2,25,釜,U+91DC
jafont_2,26,天,U+5929
jafont_2,27,崩,U+5D29
jafont_2,28,壊,U+58CA
jafont_2,29,零,U+96F6
jafont_2,30,式,U+5F0F
jafont_2,31,自,U+81EA
jafont_2,32,爆,U+7206
jafont_2,33,使,U+4F7F
jafont_2,34,放,U+653E
jafont_2,35,射,U+5C04
jafont_2,36,臭,U+81ED
jafont_2,37,息,U+606F
jafont_2,38,死,U+6B7B
jafont_2,39,宣,U+5BA3
jafont_2,40,告,U+544A
jafont_2,41,凶,U+51F6
jafont_2,42,破,U+7834
jafont_2,43,晄,U+6644
jafont_2,44,撃,U+6483
jafont_2,45,画,U+753B
jafont_2,46,龍,U+9F8D
jafont_2,47,晴,U+6674
jafont_2,48,点,U+70B9
jafont_2,49,睛,U+775B
jafont_2,50,超,U+8D85
jafont_2,51,究,U+7A76
jafont_2,52,武,U+6B66
jafont_2,53,神,U+795E
jafont_2,54,覇,U+8987
jafont_2,55,癒,U+7652
jafont_2,56,風,U+98A8
jafont_2,57,邪,U+90AA
jafont_2,58,気,U+6C17
jafont_2,59,封,U+5C01
jafont_2,60,印,U+5370
jafont_2,61,吹,U+5439
jafont_2,62,烙,U+70D9
jafont_2,63,星,U+661F
jafont_2,64,守,U+5B88
jafont_2,65,護,U+8B77
jafont_2,66,命,U+547D
jafont_2,67,鼓,U+9F13
jafont_2,68,動,U+52D5
jafont_2,69,福,U+798F
jafont_2,70,音,U+97F3
jafont_2,71,掌,U+638C
jafont_2,72,打,U+6253
jafont_2,73,水,U+6C34
jafont_2,74,面,U+9762
jafont_2,75,蹴,U+8E74
jafont_2,76,乱,U+4E71
jafont_2,77,闘,U+95D8
jafont_2,78,合,U+5408
jafont_2,79,体,U+4F53
jafont_2,80,疾,U+75BE
jafont_2,81,迅,U+8FC5
jafont_2,82,明,U+660E
jafont_2,83,鏡,U+93E1
jafont_2,84,止,U+6B62
jafont_2,85,抜,U+629C
jafont_2,86,山,U+5C71
jafont_2,87,蓋,U+84CB
jafont_2,88,世,U+4E16
jafont_2,89,血,U+8840
jafont_2,90,祭,U+796D
jafont_2,91,鎧,U+93A7
jafont_2,92,袖,U+8896
jafont_2,93,一,U+4E00
jafont_2,94,触,U+89E6
jafont_2,95,者,U+8005
jafont_2,96,滅,U+6EC5
jafont_2,97,森,U+68EE
jafont_2,98,羅,U+7F85
jafont_2,99,万,U+4E07
jafont_2,100,象,U+8C61
jafont_2,101,装,U+88C5
jafont_2,102,備,U+5099
jafont_2,103,器,U+5668
jafont_2,104,攻,U+653B
jafont_2,105,魔,U+9B54
jafont_2,106,法,U+6CD5
jafont_2,107,召,U+53EC
jafont_2,108,喚,U+559A
jafont_2,109,獣,U+7363
jafont_2,110,呼,U+547C
jafont_2,111,出,U+51FA
jafont_2,112,持,U+6301
jafont_2,113,相,U+76F8
jafont_2,114,手,U+624B
jafont_2,115,物,U+7269
jafont_2,116,確,U+78BA
jafont_2,117,率,U+7387
jafont_2,118,弱,U+5F31
jafont_2,119,投,U+6295
jafont_2,120,付,U+4ED8
jafont_2,121,与,U+4E0E
jafont_2,122,変,U+5909
jafont_2,123,化,U+5316
jafont_2,124,片,U+7247
jafont_2,125,方,U+65B9
jafont_2,126,行,U+884C
jafont_2,127,決,U+6C7A
jafont_2,128,定,U+5B9A
jafont_2,129,分,U+5206
jafont_2,130,直,U+76F4
jafont_2,131,前,U+524D
jafont_2,132,真,U+771F
jafont_2,133,似,U+4F3C
jafont_2,134,覚,U+899A
jafont_2,135,列,U+5217
jafont_2,136,後,U+5F8C
jafont_2,137,位,U+4F4D
jafont_2,138,置,U+7F6E
jafont_2,139,防,U+9632
jafont_2,140,御,U+5FA1
jafont_2,141,発,U+767A
jafont_2,142,回,U+56DE
jafont_2,143,連,U+9023
jafont_2,144,続,U+7D9A
jafont_2,145,敵,U+6575
jafont_2,146,全,U+5168
jafont_2,147,即,U+5373
jafont_2,148,効,U+52B9
jafont_2,149,果,U+679C
jafont_2,150,尾,U+5C3E
jafont_2,151,毒,U+6BD2
jafont_2,152,消,U+6D88
jafont_2,153,金,U+91D1
jafont_2,154,針,U+91DD
jafont_2,155,乙,U+4E59
jafont_2,156,女,U+5973
jafont_2,157,興,U+8208
jafont_2,158,奮,U+596E
jafont_2,159,剤,U+5264
jafont_2,160,鎮,U+93AE
jafont_2,161,静,U+9759
jafont_2,162,能,U+80FD
jafont_2,163,薬,U+85AC
jafont_2,164,英,U+82F1
jafont_2,165,雄,U+96C4
jafont_2,166,榴,U+69B4
jafont_2,167,弾,U+5F3E
jafont_2,168,右,U+53F3
jafont_2,169,腕,U+8155
jafont_2,170,砂,U+7802
jafont_2,171,時,U+6642
jafont_2,172,計,U+8A08
jafont_2,173,糸,U+7CF8
jafont_2,174,戦,U+6226
jafont_2,175,惑,U+60D1
jafont_2,176,草,U+8349
jafont_2,177,牙,U+7259
jafont_2,178,南,U+5357
jafont_2,179,極,U+6975
jafont_2,180,冷,U+51B7
jafont_2,181,結,U+7D50
jafont_2,182,晶,U+6676
jafont_2,183,電,U+96FB
jafont_2,184,鳥,U+9CE5
jafont_2,185,角,U+89D2
jafont_2,186,有,U+6709
jafont_2,187,害,U+5BB3
jafont_2,188,質,U+8CEA
jafont_2,189,爪,U+722A
jafont_2,190,光,U+5149
jafont_2,191,月,U+6708
jafont_2,192,反,U+53CD
jafont_2,193,巨,U+5DE8
jafont_2,194,目,U+76EE
jafont_2,195,砲,U+7832
jafont_2,196,重,U+91CD
jafont_2,197,力,U+529B
jafont_2,198,球,U+7403
jafont_2,199,空,U+7A7A
jafont_2,200,双,U+53CC
jafont_2,201,野,U+91CE
jafont_2,202,菜,U+83DC
jafont_2,203,実,U+5B9F
jafont_2,204,兵,U+5175
jafont_2,205,単,U+5358
jafont_2,206,毛,U+6BDB
jafont_2,207,茶,U+8336
jafont_2,208,色,U+8272
jafont_2,209,髪,U+9AEA
jafont_2,210,,
jafont_2,211,,
jafont_2,212,,
jafont_2,213,,
jafont_2,214,,
jafont_2,215,,
jafont_2,216,,
jafont_2,217,,
jafont_2,218,,
jafont_2,219,,
jafont_2,220,,
jafont_2,221,,
jafont_2,222,,
jafont_2,223,,
jafont_2,224,[,U+005B
jafont_2,225,],U+005D
jafont_2,226,;,U+003B
jafont_2,227,’,U+2019
jafont_2,228,‘,U+2018
jafont_2,229,¥,U+00A5
jafont_2,230,",",U+002C
jafont_2,231,/,U+002F
jafont_2,232,^,U+005E
jafont_2,233,@,U+0040
jafont_2,234,_,U+005F
jafont_2,235,↑,U+2191
jafont_2,236,←,U+2190
jafont_2,237,↓,U+2193
jafont_2,238,漢,U+6F22
jafont_2,239,,
jafont_2,240,,
jafont_2,241,,
jafont_2,242,,
jafont_2,243,,
jafont_2,244,,
jafont_2,245,,
jafont_2,246,,
jafont_2,247,,
jafont_2,248,,
jafont_2,249,,
jafont_2,250,,
jafont_2,251,,
jafont_2,252,,
jafont_2,253,,
jafont_2,254,,
jafont_2,255,,
jafont_3,0,安,U+5B89
jafont_3,1,香,U+9999
jafont_3,2,花,U+82B1
jafont_3,3,会,U+4F1A
jafont_3,4,員,U+54E1
jafont_3,5,蜂,U+8702
jafont_3,6,蜜,U+871C
jafont_3,7,館,U+9928
jafont_3,8,下,U+4E0B
jafont_3,9,着,U+7740
jafont_3,10,入,U+5165
jafont_3,11,先,U+5148
jafont_3,12,不,U+4E0D
jafont_3,13,子,U+5B50
jafont_3,14,供,U+4F9B
jafont_3,15,屋,U+5C4B
jafont_3,16,商,U+5546
jafont_3,17,品,U+54C1
jafont_3,18,景,U+666F
jafont_3,19,交,U+4EA4
jafont_3,20,換,U+63DB
jafont_3,21,階,U+968E
jafont_3,22,模,U+6A21
jafont_3,23,型,U+578B
jafont_3,24,部,U+90E8
jafont_3,25,離,U+96E2
jafont_3,26,場,U+5834
jafont_3,27,所,U+6240
jafont_3,28,仲,U+4EF2
jafont_3,29,間,U+9593
jafont_3,30,無,U+7121
jafont_3,31,制,U+5236
jafont_3,32,限,U+9650
jafont_3,33,殿,U+6BBF
jafont_3,34,様,U+69D8
jafont_3,35,秘,U+79D8
jafont_3,36,氷,U+6C37
jafont_3,37,河,U+6CB3
jafont_3,38,図,U+56F3
jafont_3,39,何,U+4F55
jafont_3,40,材,U+6750
jafont_3,41,料,U+6599
jafont_3,42,雪,U+96EA
jafont_3,43,上,U+4E0A
jafont_3,44,進,U+9032
jafont_3,45,事,U+4E8B
jafont_3,46,古,U+53E4
jafont_3,47,代,U+4EE3
jafont_3,48,種,U+7A2E
jafont_3,49,鍵,U+9375
jafont_3,50,娘,U+5A18
jafont_3,51,紙,U+7D19
jafont_3,52,町,U+753A
jafont_3,53,住,U+4F4F
jafont_3,54,奥,U+5965
jafont_3,55,眠,U+7720
jafont_3,56,楽,U+697D
jafont_3,57,最,U+6700
jafont_3,58,初,U+521D
jafont_3,59,村,U+6751
jafont_3,60,雨,U+96E8
jafont_3,61,釘,U+91D8
jafont_3,62,陸,U+9678
jafont_3,63,吉,U+5409
jafont_3,64,揮,U+63EE
jafont_3,65,叢,U+53E2
jafont_3,66,雲,U+96F2
jafont_3,67,軍,U+8ECD
jafont_3,68,異,U+7570
jafont_3,69,常,U+5E38
jafont_3,70,通,U+901A
jafont_3,71,威,U+5A01
jafont_3,72,父,U+7236
jafont_3,73,蛇,U+86C7
jafont_3,74,矛,U+77DB
jafont_3,75,青,U+9752
jafont_3,76,偃,U+5043
jafont_3,77,刀,U+5200
jafont_3,78,戟,U+621F
jafont_3,79,十,U+5341
jafont_3,80,字,U+5B57
jafont_3,81,裏,U+88CF
jafont_3,82,車,U+8ECA
jafont_3,83,円,U+5186
jafont_3,84,輪,U+8F2A
jafont_3,85,卍,U+534D
jafont_3,86,折,U+6298
jafont_3,87,鶴,U+9DB4
jafont_3,88,倶,U+5036
jafont_3,89,戴,U+6234
jafont_3,90,螺,U+87BA
jafont_3,91,貝,U+8C9D
jafont_3,92,突,U+7A81
jafont_3,93,銀,U+9280
jafont_3,94,玉,U+7389
jafont_3,95,正,U+6B63
jafont_3,96,宗,U+5B97
jafont_3,97,具,U+5177
jafont_3,98,甲,U+7532
jafont_3,99,烈,U+70C8
jafont_3,100,属,U+5C5E
jafont_3,101,性,U+6027
jafont_3,102,吸,U+5438
jafont_3,103,収,U+53CE
jafont_3,104,半,U+534A
jafont_3,105,減,U+6E1B
jafont_3,106,土,U+571F
jafont_3,107,高,U+9AD8
jafont_3,108,級,U+7D1A
jafont_3,109,状,U+72B6
jafont_3,110,態,U+614B
jafont_3,111,縁,U+7E01
jafont_3,112,闇,U+95C7
jafont_3,113,睡,U+7761
jafont_3,114,石,U+77F3
jafont_3,115,徐,U+5F90
jafont_3,116,々,U+3005
jafont_3,117,的,U+7684
jafont_3,118,指,U+6307
jafont_3,119,混,U+6DF7
jafont_3,120,呪,U+546A
jafont_3,121,開,U+958B
jafont_3,122,始,U+59CB
jafont_3,123,歩,U+6B69
jafont_3,124,復,U+5FA9
jafont_3,125,盗,U+76D7
jafont_3,126,小,U+5C0F
jafont_3,127,治,U+6CBB
jafont_3,128,理,U+7406
jafont_3,129,同,U+540C
jafont_3,130,速,U+901F
jafont_3,131,遅,U+9045
jafont_3,132,逃,U+9003
jafont_3,133,去,U+53BB
jafont_3,134,視,U+8996
jafont_3,135,複,U+8907
jafont_3,136,味,U+5473
jafont_3,137,沈,U+6C88
jafont_3,138,黙,U+9ED9
jafont_3,139,還,U+9084
jafont_3,140,倍,U+500D
jafont_3,141,数,U+6570
jafont_3,142,瀕,U+7015
jafont_3,143,取,U+53D6
jafont_3,144,返,U+8FD4
jafont_3,145,人,U+4EBA
jafont_3,146,今,U+4ECA
jafont_3,147,差,U+5DEE
jafont_3,148,誰,U+8AB0
jafont_3,149,当,U+5F53
jafont_3,150,拡,U+62E1
jafont_3,151,散,U+6563
jafont_3,152,飛,U+98DB
jafont_3,153,以,U+4EE5
jafont_3,154,外,U+5916
jafont_3,155,暴,U+66B4
jafont_3,156,避,U+907F
jafont_3,157,振,U+632F
jafont_3,158,身,U+8EAB
jafont_3,159,中,U+4E2D
jafont_3,160,旋,U+65CB
jafont_3,161,津,U+6D25
jafont_3,162,波,U+6CE2
jafont_3,163,育,U+80B2
jafont_3,164,機,U+6A5F
jafont_3,165,械,U+68B0
jafont_3,166,擲,U+64F2
jafont_3,167,炉,U+7089
jafont_3,168,新,U+65B0
jafont_3,169,両,U+4E21
jafont_3,170,本,U+672C
jafont_3,171,君,U+541B
jafont_3,172,洞,U+6D1E
jafont_3,173,内,U+5185
jafont_3,174,作,U+4F5C
jafont_3,175,警,U+8B66
jafont_3,176,特,U+7279
jafont_3,177,殊,U+6B8A
jafont_3,178,板,U+677F
jafont_3,179,強,U+5F37
jafont_3,180,穴,U+7A74
jafont_3,181,隊,U+968A
jafont_3,182,族,U+65CF
jafont_3,183,亡,U+4EA1
jafont_3,184,霊,U+970A
jafont_3,185,鎖,U+9396
jafont_3,186,足,U+8DB3
jafont_3,187,刃,U+5203
jafont_3,188,頭,U+982D
jafont_3,189,怪,U+602A
jafont_3,190,奇,U+5947
jafont_3,191,虫,U+866B
jafont_3,192,跳,U+8DF3
jafont_3,193,侍,U+4F8D
jafont_3,194,左,U+5DE6
jafont_3,195,首,U+9996
jafont_3,196,潜,U+6F5C
jafont_3,197,長,U+9577
jafont_3,198,親,U+89AA
jafont_3,199,衛,U+885B
jafont_3,200,塔,U+5854
jafont_3,201,宝,U+5B9D
jafont_3,202,条,U+6761
jafont_3,203,像,U+50CF
jafont_3,204,忍,U+5FCD
jafont_3,205,謎,U+8B0E
jafont_3,206,般,U+822C
jafont_3,207,見,U+898B
jafont_3,208,報,U+5831
jafont_3,209,充,U+5145
jafont_3,210,填,U+586B
jafont_3,211,完,U+5B8C
jafont_3,212,了,U+4E86
jafont_3,213,銃,U+9283
jafont_3,214,元,U+5143
jafont_3,215,経,U+7D4C
jafont_3,216,験,U+9A13
jafont_3,217,値,U+5024
jafont_3,218,終,U+7D42
jafont_3,219,獲,U+7372
jafont_3,220,得,U+5F97
jafont_3,221,名,U+540D
jafont_3,222,悲,U+60B2
jafont_3,223,蛙,U+86D9
jafont_3,224,操,U+64CD
jafont_3,225,成,U+6210
jafont_3,226,費,U+8CBB
jafont_3,227,背,U+80CC
jafont_3,228,切,U+5207
jafont_3,229,替,U+66FF
jafont_3,230,割,U+5272
jafont_3,231,由,U+7531
jafont_3,232,閉,U+9589
jafont_3,233,記,U+8A18
jafont_3,234,憶,U+61B6
jafont_3,235,選,U+9078
jafont_3,236,番,U+756A
jafont_3,237,街,U+8857
jafont_3,238,底,U+5E95
jafont_3,239,忘,U+5FD8
jafont_3,240,都,U+90FD
jafont_3,241,過,U+904E
jafont_3,242,艇,U+8247
jafont_3,243,路,U+8DEF
jafont_3,244,運,U+904B
jafont_3,245,搬,U+642C
jafont_3,246,船,U+8239
jafont_3,247,基,U+57FA
jafont_3,248,心,U+5FC3
jafont_3,249,港,U+6E2F
jafont_3,250,未,U+672A
jafont_3,251,宿,U+5BBF
jafont_3,252,西,U+897F
jafont_3,253,道,U+9053
jafont_3,254,艦,U+8266
jafont_3,255,家,U+5BB6
jafont_4,0,由,U+7531
jafont_4,1,閉,U+9589
jafont_4,2,記,U+8A18
jafont_4,3,憶,U+61B6
jafont_4,4,選,U+9078
jafont_4,5,番,U+756A
jafont_4,6,街,U+8857
jafont_4,7,底,U+5E95
jafont_4,8,忘,U+5FD8
jafont_4,9,都,U+90FD
jafont_4,10,過,U+904E
jafont_4,11,艇,U+8247
jafont_4,12,路,U+8DEF
jafont_4,13,連,U+9023
jafont_4,14,搬,U+642C
jafont_4,15,船,U+8239
jafont_4,16,墓,U+5893
jafont_4,17,心,U+5FC3
jafont_4,18,港,U+6E2F
jafont_4,19,末,U+672B
jafont_4,20,宿,U+5BBF
jafont_4,21,西,U+897F
jafont_4,22,道,U+9053
jafont_4,23,艦,U+8266
jafont_4,24,家,U+5BB6
jafont_4,25,乗,U+4E57
jafont_4,26,竜,U+7ADC
jafont_4,27,巻,U+5DFB
jafont_4,28,迷,U+8FF7
jafont_4,29,宮,U+5BAE
jafont_4,30,絶,U+7D76
jafont_4,31,壁,U+58C1
jafont_4,32,支,U+652F
jafont_4,33,社,U+793E
jafont_4,34,久,U+4E45
jafont_4,35,件,U+4EF6
jafont_4,36,想,U+60F3
jafont_4,37,秒,U+79D2
jafont_4,38,予,U+4E88
jafont_4,39,多,U+591A
jafont_4,40,落,U+843D
jafont_4,41,受,U+53D7
jafont_4,42,組,U+7D44
jafont_4,43,余,U+4F59
jafont_4,44,系,U+7CFB
jafont_4,45,標,U+6A19
jafont_4,46,起,U+8D77
jafont_4,47,迫,U+8FEB
jafont_4,48,日,U+65E5
jafont_4,49,勝,U+52DD
jafont_4,50,形,U+5F62
jafont_4,51,引,U+5F15
jafont_4,52,現,U+73FE
jafont_4,53,解,U+89E3
jafont_4,54,除,U+9664
jafont_4,55,磁,U+78C1
jafont_4,56,互,U+4E92
jafont_4,57,口,U+53E3
jafont_4,58,廃,U+5EC3
jafont_4,59,棄,U+68C4
jafont_4,60,汚,U+6C5A
jafont_4,61,染,U+67D3
jafont_4,62,液,U+6DB2
jafont_4,63,活,U+6D3B
jafont_4,64,令,U+4EE4
jafont_4,65,副,U+526F
jafont_4,66,隠,U+96A0
jafont_4,67,主,U+4E3B
jafont_4,68,斉,U+6589
jafont_4,69,登,U+767B
jafont_4,70,温,U+6E29
jafont_4,71,泉,U+6CC9
jafont_4,72,百,U+767E
jafont_4,73,段,U+6BB5
jafont_4,74,熱,U+71B1
jafont_4,75,走,U+8D70
jafont_4,76,急,U+6025
jafont_4,77,降,U+964D
jafont_4,78,奪,U+596A
jafont_4,79,響,U+97FF
jafont_4,80,風,U+98A8
jafont_4,81,移,U+79FB
jafont_4,82,危,U+5371
jafont_4,83,戻,U+623B
jafont_4,84,遠,U+9060
jafont_4,85,吠,U+5420
jafont_4,86,軟,U+8EDF
jafont_4,87,骨,U+9AA8
jafont_4,88,言,U+8A00
jafont_4,89,葉,U+8449
jafont_4,90,震,U+9707
jafont_4,91,叫,U+53EB
jafont_4,92,噴,U+5674
jafont_4,93,舞,U+821E
jafont_4,94,狩,U+72E9
jafont_4,95,粉,U+7C89
jafont_4,96,失,U+5931
jafont_4,97,敗,U+6557
jafont_4,98,眼,U+773C
jafont_4,99,激,U+6FC0
jafont_4,100,盤,U+76E4
jafont_4,101,逆,U+9006
jafont_4,102,鱗,U+9C57
jafont_4,103,踏,U+8E0F
