index,raw_offset,text_offset,category,padding_bytes,total_bytes,text_preview
109,0x5921D8,0x5921D8,developer,0,10485,"""   eaoaRaNoei eaoaRaNoei oaieeNoei  aiiiaNoei   aiiiaNoei   aiiiaNoei   eaoaRN"
110,0x594ACD,0x594ACD,clean,0,36,Z° ^X° OX° OX° p° OX° OX° OX° nV°
111,0x594AF1,0x594AF1,clean,0,304,Z° ^X° OX° OX° p° OX° et° es° au° OX° OX° OX° rX° ]° i° j° o° d° g° ol° YX° w° Y
112,0x594C24,0x594C28,unknown,4,26,"0G#a * !        !""#%"
113,0x594C3E,0x594C40,empty,2,3,
114,0x594C41,0x594C48,clean,7,13,Pause
115,0x594C4E,0x594C50,unknown,2,68,"ss  Z!!\ i   XxPS <L\ x""  \   *   !     _    a"
116,0x594C92,0x594C9E,empty,12,14,a
117,0x594CA0,0x594CAC,clean,12,19,Schlaf
118,0x594CB3,0x594CBA,clean,7,12,Gift
119,0x594CBF,0x594CC8,clean,9,21,Traurigkeit
120,0x594CD4,0x594CD6,clean,2,7,Zorn
121,0x594CDB,0x594CE4,clean,9,20,Verwirrung
122,0x594CEF,0x594CF2,clean,3,13,Stummheit
123,0x594CFC,0x594D00,clean,4,12,Schnell
124,0x594D08,0x594D0E,clean,6,14,Langsam
125,0x594D16,0x594D1C,clean,6,11,Stop
126,0x594D21,0x594D2A,empty,9,11,a
127,0x594D2C,0x594D38,empty,12,14,a
128,0x594D3A,0x594D46,empty,12,14,a
129,0x594D48,0x594D54,clean,12,26,Versteinerung
130,0x594D62,0x594D62,clean,0,6,regen
131,0x594D68,0x594D70,empty,8,10,a
132,0x594D72,0x594D7E,empty,12,14,a
133,0x594D80,0x594D8C,clean,12,25,Reflektieren
134,0x594D99,0x594D9A,clean,1,8,Doppel
135,0x594DA1,0x594DA8,clean,7,14,Schild
136,0x594DAF,0x594DB6,empty,7,9,a
137,0x594DB8,0x594DC4,empty,12,14,a
138,0x594DC6,0x594DD2,clean,12,17,Toll
139,0x594DD7,0x594DE0,clean,9,21,Einzigartig
140,0x594DEC,0x594DEE,clean,2,10,Lahmung
141,0x594DF6,0x594DFC,clean,6,17,Dunkelheit
142,0x594E07,0x594E0A,empty,3,5,a
143,0x594E0C,0x594E18,empty,12,14,a
144,0x594E1A,0x594E26,empty,12,14,a
145,0x594E28,0x594E34,empty,12,14,a
146,0x594E36,0x594E42,empty,12,14,a
147,0x594E44,0x594E50,unknown,12,96,$             `  `   Rro `hpx9IY     Wieviel willst du ausgeben?
148,0x594EA4,0x594EA4,clean,0,4,Gil
149,0x594EA8,0x594EA8,clean,0,5,Nach
150,0x594EAD,0x594EB0,clean,3,20,Gil auf der Hand
151,0x594EC1,0x594EC8,unknown,7,447,"""%$#!""$ !#%""$ %!!""$ ""!#%$ ""!%$""#""$#""!$ %""!#""$!""%  `   n @ n ` n    @  `      @ `"
152,0x595080,0x595080,clean,0,12,Ja     Nein
153,0x59508C,0x595090,clean,4,30,Vorhandene Schlachtpunkte
154,0x5950AA,0x5950AA,clean,0,14,Schlitzstart!
155,0x5950B8,0x5950C4,unknown,12,19,TOLL!!
156,0x5950CB,0x5950DE,clean,19,44,Gewonnene Schlachtpunkte
157,0x5950F7,0x5950F8,clean,1,15,"Ok, dann los!"
158,0x595106,0x595117,clean,17,42,Zaubersubstanz kaputt.
159,0x595130,0x595136,clean,6,31,Aufrufsubstanz kaputt.
160,0x59514F,0x595155,clean,6,33,Support-Substanz kaputt.
161,0x595170,0x595174,clean,4,35,Unabhangige Substanz kaputt.
162,0x595193,0x595193,clean,0,26,Befehlssubstanz kaputt.
163,0x5951AD,0x5951B2,clean,5,29,Alle Substanz kaputt.
164,0x5951CA,0x5951D1,clean,7,25,Zubehor kaputt.
165,0x5951E3,0x5951F0,clean,13,44,Objektbefehl ist versiegelt.
166,0x59520F,0x59520F,clean,0,19,Rustzeug kaputt.
167,0x595222,0x59522E,clean,12,28,Waffe kaputt.
168,0x59523E,0x59524D,clean,15,38,1/2 Geschwindigkeit.
169,0x595264,0x59526C,clean,8,27,1/2 Genauigkeit.
170,0x59527F,0x59528B,clean,12,22,Minimum
171,0x595295,0x5952AA,clean,21,28,Gift
172,0x5952B1,0x5952C9,clean,24,32,Krote
173,0x5952D1,0x5952E8,clean,23,43,Zeit x30 Schaden.
174,0x5952FC,0x595307,clean,11,30,5 Ebenen zuruck.
175,0x59531A,0x595326,clean,12,32,10 Ebenen zuruck.
176,0x59533A,0x595345,clean,11,21,1/2 HP.
177,0x59534F,0x595364,clean,21,31,1/2 MP.
178,0x59536E,0x595383,clean,21,34,1/2 HP&MP.
179,0x595390,0x5953A2,clean,18,29,Null MP.
180,0x5953AD,0x5953C1,clean,20,47,Jaa! Keine Behinderung!!
181,0x5953DC,0x5953E0,clean,4,28,HP wiederhergestellt.
182,0x5953F8,0x595400,clean,8,43,Besorgt um die anderen Mitglieder?
183,0x595423,0x595423,clean,0,16,"Ja, ein bichen"
184,0x595433,0x595446,clean,19,36,Eigentlich nicht
185,0x595457,0x59546C,empty,21,22,
186,0x59546E,0x595470,empty,2,3,
187,0x595472,0x595474,empty,2,3,
188,0x595476,0x595478,empty,2,3,
189,0x59547A,0x595480,unknown,6,151,"4      PS   ""   !   &   &   !   !       x   p  @   x    p  @    GWXWsiW:zWx""  \ "
190,0x595514,0x595514,empty,0,5,/
191,0x59551C,0x595524,clean,8,27,"""S   S ""!se7ae"
192,0x595537,0x595538,unknown,1,18,"$   #   ""   !"
193,0x595558,0x595558,clean,0,114,QRSTUVWXYZ[\]^`adefgh   jklmnopqrstuvwxyDEGHIJK qu      +! e c   [!  c V B v r  
194,0x5955CA,0x5955D8,developer,14,114,"!)  m t!v L!S     ""  % j G  K  :     `!e !   S    j : Eooa°aOoa°aEPRaNUUW     Re"
195,0x59563C,0x595656,clean,26,63,Mitglieden in zwei Gruppen aufteilen
196,0x59567B,0x59567C,clean,1,38,Mitglieder in drei Gruppen aufteilen
197,0x5956A1,0x5956A2,clean,1,33,Gruppe aus zwei Personen bilden
198,0x5956C2,0x5956C8,clean,6,38,Gruppe aus drei Personen bilden
199,0x5956E8,0x5956EE,clean,6,34,Auswahlen mit [START]-Taste
200,0x59570A,0x595718,clean,14,22,Element
201,0x595720,0x59572E,clean,14,21,Effekt
202,0x595735,0x595744,clean,15,25,Angreifen
203,0x59574E,0x59575A,clean,12,24,Verteidigen
204,0x595766,0x595770,clean,10,20,Halbieren
205,0x59577A,0x595786,clean,12,21,Ungultig
206,0x59578F,0x59579C,clean,13,25,Absorbieren
207,0x5957A8,0x5957B2,empty,10,11,
208,0x5957B3,0x5957C8,empty,21,22,
209,0x5957C9,0x5957DE,empty,21,22,
210,0x5957DF,0x5957F4,clean,21,28,Starke
211,0x5957FB,0x59580A,clean,15,24,Geschick
212,0x595813,0x595820,clean,13,23,Vitalitat
213,0x59582A,0x595836,clean,12,19,Zauber
214,0x59583D,0x59584C,clean,15,21,Moral
215,0x595852,0x595862,clean,16,22,Gluck
216,0x595868,0x595878,clean,16,26,Angreifen
217,0x595882,0x59588E,clean,12,24,Angreifen %
218,0x59589A,0x5958A4,clean,10,22,Verteidigen
219,0x5958B0,0x5958BA,clean,10,24,Verteidigen %
220,0x5958C8,0x5958D0,clean,8,17,Zbrangrf
221,0x5958D9,0x5958E6,clean,13,23,Zbrvertdg
222,0x5958F0,0x5958FC,clean,12,24,Zbrvertdg %
223,0x595908,0x595912,clean,10,15,Waf.
224,0x595917,0x595928,clean,17,22,Rus.
225,0x59592D,0x59593E,clean,17,22,Acc.
226,0x595943,0x595954,clean,17,29,Limit-Ebene
227,0x595960,0x59596C,empty,12,13,
228,0x595974,0x595978,unknown,4,92,"!   S    j :     ""S   S S!!S!S m!PS S! m!]!    `!:   :    :  \  r   STUFE 1"
229,0x5959D0,0x5959E8,clean,24,32,STUFE 2
230,0x5959F0,0x595A08,clean,24,32,STUFE 3
231,0x595A10,0x595A28,clean,24,32,STUFE 4
232,0x595A30,0x595A48,clean,24,48,LIMIT-STUFE einrichten.
233,0x595A60,0x595A68,clean,8,19,Einrichten
234,0x595A73,0x595A88,clean,21,28,Prufen
235,0x595A8F,0x595AA8,clean,25,48,Bei nderung der STUFE
236,0x595ABF,0x595AC8,clean,9,35,Beginn bei Limit-Punkt 0.
237,0x595AE2,0x595AE8,clean,6,20,STUFE andern?
238,0x595AF6,0x595B08,clean,18,21,Ja
239,0x595B0B,0x595B28,clean,29,34,Nein
240,0x595B2D,0x595B48,clean,27,42,Limit gewahlt!
241,0x595B57,0x595B68,clean,17,30,STUFE wahlen
242,0x595B75,0x595B8C,empty,23,24,
243,0x595B8E,0x595B8F,empty,1,2,
244,0x595B90,0x595B92,empty,2,3,
245,0x595B94,0x595B94,ui_coords,0,9,R R 3 1P
246,0x595BA4,0x595BA6,ui_coords,2,3,
247,0x595BAA,0x595BAB,ui_coords,1,2,
248,0x595BAC,0x595BAE,ui_coords,2,3,
249,0x595BB0,0x595BB0,ui_coords,0,9,T T 3!1T
250,0x595BB9,0x595BB9,ui_coords,0,2,_
251,0x595BBC,0x595BBF,ui_coords,3,7,""""
252,0x595BC6,0x595BC7,ui_coords,1,2,
253,0x595BC8,0x595BCA,ui_coords,2,3,
254,0x595BCC,0x595BCC,ui_coords,0,9,"S S 3""1X"
255,0x595BD6,0x595BD6,ui_coords,0,3,:o
256,0x595BDC,0x595BDE,ui_coords,2,4,
257,0x595BE2,0x595BE3,ui_coords,1,2,
258,0x595BE4,0x595BE6,ui_coords,2,3,
259,0x595BE8,0x595BE8,ui_coords,0,9,U U 3#1f
260,0x595BF8,0x595BFA,ui_coords,2,3,
261,0x595BFE,0x595BFF,ui_coords,1,2,
262,0x595C00,0x595C02,ui_coords,2,3,
263,0x595C04,0x595C04,ui_coords,0,9,V V $1:
264,0x595C0E,0x595C0F,ui_coords,1,3,&
265,0x595C14,0x595C16,ui_coords,2,3,
266,0x595C1A,0x595C1B,ui_coords,1,2,
267,0x595C1C,0x595C1E,ui_coords,2,3,
268,0x595C20,0x595C20,ui_coords,0,9,Y Y 7%1
269,0x595C29,0x595C29,ui_coords,0,10,_8PS!
270,0x595C36,0x595C37,ui_coords,1,2,
271,0x595C38,0x595C3A,ui_coords,2,3,
272,0x595C3C,0x595C3C,ui_coords,0,9,"[ \ &1,"
273,0x595C46,0x595C47,ui_coords,1,3,/
274,0x595C4C,0x595C4E,ui_coords,2,3,
275,0x595C4F,0x595C4F,ui_coords,0,2,
276,0x595C52,0x595C53,ui_coords,1,2,
277,0x595C54,0x595C56,ui_coords,2,3,
278,0x595C58,0x595C58,ui_coords,0,9,f f 3'1T
279,0x595C68,0x595C6A,ui_coords,2,3,
280,0x595C6E,0x595C6F,ui_coords,1,2,
281,0x595C70,0x595C72,ui_coords,2,3,
282,0x595C74,0x595C74,ui_coords,0,9,h h 7(1V
283,0x595C84,0x595C86,ui_coords,2,3,
284,0x595C8A,0x595C8B,ui_coords,1,2,
285,0x595C8C,0x595C8E,ui_coords,2,3,
286,0x595C90,0x595C90,ui_coords,0,9,i i 3)C@
287,0x595CA0,0x595CA0,ui_coords,0,4,@
288,0x595CA6,0x595CA7,ui_coords,1,2,
289,0x595CA8,0x595CAA,ui_coords,2,3,
290,0x595CAC,0x595CAC,ui_coords,0,9,k k 3*1
291,0x595CB5,0x595CB5,ui_coords,0,2,_
292,0x595CB8,0x595CB8,ui_coords,0,7,!
293,0x595CC2,0x595CC3,ui_coords,1,2,
294,0x595CC4,0x595CC6,ui_coords,2,3,
295,0x595CC8,0x595CC8,ui_coords,0,9,m m 7+1C
296,0x595CD8,0x595CDA,ui_coords,2,3,
297,0x595CDB,0x595CDB,ui_coords,0,2,
298,0x595CDE,0x595CDF,ui_coords,1,2,
299,0x595CE0,0x595CE2,ui_coords,2,3,
300,0x595CE4,0x595CE4,ui_coords,0,9,"n n ,1("
301,0x595CEE,0x595CEF,ui_coords,1,3,2
302,0x595CF4,0x595CF6,ui_coords,2,3,
303,0x595CFA,0x595CFB,ui_coords,1,2,
304,0x595CFC,0x595CFE,ui_coords,2,3,
305,0x595D00,0x595D00,ui_coords,0,9,o o -14
306,0x595D0A,0x595D0B,ui_coords,1,3,*
307,0x595D10,0x595D12,ui_coords,2,3,
308,0x595D16,0x595D17,ui_coords,1,2,
309,0x595D18,0x595D1A,ui_coords,2,3,
310,0x595D1C,0x595D1C,ui_coords,0,9,z z 5.D0
311,0x595D2C,0x595D2D,ui_coords,1,3,""""
312,0x595D32,0x595D33,ui_coords,1,2,
313,0x595D34,0x595D36,ui_coords,2,3,
314,0x595D38,0x595D38,ui_coords,0,9,{ { 7/B
315,0x595D41,0x595D41,ui_coords,0,2,_
316,0x595D44,0x595D44,ui_coords,0,7,$
317,0x595D4E,0x595D4F,ui_coords,1,2,
318,0x595D50,0x595D52,ui_coords,2,3,
319,0x595D54,0x595D54,ui_coords,0,9,~ ~ 50B
320,0x595D5D,0x595D5D,ui_coords,0,2,u
321,0x595D60,0x595D60,ui_coords,0,7,ssV
322,0x595D6A,0x595D6B,ui_coords,1,2,
323,0x595D6C,0x595D6E,ui_coords,2,3,
324,0x595D70,0x595D70,ui_coords,0,8,a a 51
325,0x595D7A,0x595D7A,ui_coords,0,2,4
326,0x595D80,0x595D81,ui_coords,1,3,
327,0x595D86,0x595D87,ui_coords,1,2,
328,0x595D88,0x595D8A,ui_coords,2,3,
329,0x595D8C,0x595D8C,ui_coords,0,9,52B
330,0x595D95,0x595D95,ui_coords,0,2,_
331,0x595D98,0x595D9B,ui_coords,3,7,!
332,0x595DA2,0x595DA3,ui_coords,1,2,
333,0x595DA4,0x595DA6,ui_coords,2,3,
334,0x595DA8,0x595DA8,ui_coords,0,9,a a 53(@
335,0x595DB1,0x595DB1,ui_coords,0,2,u
336,0x595DB4,0x595DB4,ui_coords,0,7,"!    """
337,0x595DBB,0x595DBB,ui_coords,0,2,
338,0x595DBE,0x595DBF,ui_coords,1,2,
339,0x595DC0,0x595DC2,ui_coords,2,3,
340,0x595DC4,0x595DC4,ui_coords,0,9,a a 54(@
341,0x595DCD,0x595DCD,ui_coords,0,2,_
342,0x595DD0,0x595DD3,ui_coords,3,7,"! """
343,0x595DDA,0x595DDB,ui_coords,1,2,
344,0x595DDC,0x595DDE,ui_coords,2,3,
345,0x595DE0,0x595DE0,ui_coords,0,9,^ ^ 54
346,0x595DEA,0x595DEA,ui_coords,0,2,3
347,0x595DF0,0x595DF2,ui_coords,2,3,
348,0x595DF6,0x595DF7,ui_coords,1,2,
349,0x595DF8,0x595DFA,ui_coords,2,3,
350,0x595DFC,0x595DFC,ui_coords,0,9,b b 56
351,0x595E06,0x595E06,ui_coords,0,2,3
352,0x595E0C,0x595E0E,ui_coords,2,3,
353,0x595E12,0x595E13,ui_coords,1,2,
354,0x595E14,0x595E16,ui_coords,2,3,
355,0x595E18,0x595E18,ui_coords,0,9,` ` 58
356,0x595E22,0x595E22,ui_coords,0,2,3
357,0x595E28,0x595E2A,ui_coords,2,3,
358,0x595E2E,0x595E2F,ui_coords,1,2,
359,0x595E30,0x595E32,ui_coords,2,3,
360,0x595E34,0x595E34,ui_coords,0,9,a a 5:
361,0x595E3E,0x595E3E,ui_coords,0,2,3
362,0x595E44,0x595E46,ui_coords,2,3,
363,0x595E4A,0x595E4B,ui_coords,1,2,
364,0x595E4C,0x595E4E,ui_coords,2,3,
365,0x595E50,0x595E50,ui_coords,0,9,c c 5<
366,0x595E5A,0x595E5A,ui_coords,0,2,3
367,0x595E60,0x595E62,ui_coords,2,3,
368,0x595E66,0x595E67,ui_coords,1,2,
369,0x595E68,0x595E6A,ui_coords,2,3,
370,0x595E6C,0x595E6C,ui_coords,0,9,d d 5>
371,0x595E76,0x595E76,ui_coords,0,2,3
372,0x595E7C,0x595E7E,ui_coords,2,3,
373,0x595E82,0x595E83,ui_coords,1,2,
374,0x595E84,0x595E86,ui_coords,2,3,
375,0x595E88,0x595E88,ui_coords,0,9,e e 5J
376,0x595E92,0x595E92,ui_coords,0,2,3
377,0x595E98,0x595E9A,ui_coords,2,3,
378,0x595E9E,0x595E9F,ui_coords,1,2,
379,0x595EA0,0x595EA2,ui_coords,2,3,
380,0x595EA4,0x595EA4,ui_coords,0,9,a a 3<1T
381,0x595EB4,0x595EB6,ui_coords,2,3,
382,0x595EBA,0x595EBB,ui_coords,1,2,
383,0x595EBC,0x595EBE,ui_coords,2,3,
384,0x595EC0,0x595EC0,ui_coords,0,9,a a 3=14
385,0x595ED0,0x595ED2,ui_coords,2,4,
386,0x595ED6,0x595ED7,ui_coords,1,2,
387,0x595ED8,0x595EDA,ui_coords,2,3,
388,0x595EDC,0x595EDC,ui_coords,0,9,c c 7>1X
389,0x595EE5,0x595EE5,ui_coords,0,2,%
390,0x595EE8,0x595EE8,ui_coords,0,7,!
391,0x595EF2,0x595EF3,ui_coords,1,2,
392,0x595EF4,0x595EF6,ui_coords,2,3,
393,0x595EF8,0x595EF8,ui_coords,0,9,e e 7?1D
394,0x595F08,0x595F0A,ui_coords,2,3,
395,0x595F0E,0x595F0F,ui_coords,1,2,
396,0x595F10,0x595F12,ui_coords,2,3,
397,0x595F14,0x595F14,ui_coords,0,9,a a @17
398,0x595F1D,0x595F1D,ui_coords,0,10,' &!
399,0x595F2A,0x595F2B,ui_coords,1,2,
400,0x595F2C,0x595F2E,ui_coords,2,3,
401,0x595F30,0x595F30,ui_coords,0,9,i i A12
402,0x595F3A,0x595F3B,ui_coords,1,3,(
403,0x595F40,0x595F42,ui_coords,2,3,
404,0x595F46,0x595F47,ui_coords,1,2,
405,0x595F48,0x595F4A,ui_coords,2,3,
406,0x595F4C,0x595F4C,ui_coords,0,9,i i B1+
407,0x595F56,0x595F57,ui_coords,1,3,2
408,0x595F5C,0x595F5E,ui_coords,2,3,
409,0x595F61,0x595F61,ui_coords,0,3,G
410,0x595F64,0x595F66,ui_coords,2,13,C p p 3C1P
411,0x595F78,0x595F7A,ui_coords,2,3,
412,0x595F7E,0x595F7F,ui_coords,1,2,
413,0x595F80,0x595F82,ui_coords,2,3,
414,0x595F84,0x595F84,ui_coords,0,9,q q  DB
415,0x595F8D,0x595F8D,ui_coords,0,10,_7 !
416,0x595F9A,0x595F9B,ui_coords,1,2,
417,0x595F9C,0x595F9E,ui_coords,2,3,
418,0x595FA0,0x595FA0,ui_coords,0,9,s s 3E14
419,0x595FB0,0x595FB2,ui_coords,2,4,
420,0x595FB6,0x595FB7,ui_coords,1,2,
421,0x595FB8,0x595FBA,ui_coords,2,3,
422,0x595FBC,0x595FBC,ui_coords,0,9,u u F1*
423,0x595FC6,0x595FC7,ui_coords,1,3,*
424,0x595FCC,0x595FCE,ui_coords,2,3,
425,0x595FD2,0x595FD3,ui_coords,1,2,
426,0x595FD4,0x595FD6,ui_coords,2,3,
427,0x595FD8,0x595FD8,ui_coords,0,9,v v 5GB
428,0x595FE1,0x595FE1,ui_coords,0,10,_6 !
429,0x595FEE,0x595FEF,ui_coords,1,2,
430,0x595FF0,0x595FF2,ui_coords,2,3,
431,0x595FF4,0x595FF4,ui_coords,0,9,x x H1>
432,0x595FFE,0x595FFF,ui_coords,1,3,%
433,0x596004,0x596006,ui_coords,2,3,
434,0x59600A,0x59600B,ui_coords,1,2,
435,0x59600C,0x59600E,ui_coords,2,3,
436,0x596010,0x596010,ui_coords,0,9,y y 7I1
437,0x596020,0x596022,ui_coords,2,3,
438,0x596026,0x596027,ui_coords,1,2,
439,0x596028,0x59602A,ui_coords,2,3,
440,0x59602C,0x59602C,ui_coords,0,8,PS PS 3Je
441,0x59603C,0x59603E,ui_coords,2,3,
442,0x596042,0x596043,ui_coords,1,2,
443,0x596044,0x596046,ui_coords,2,3,
444,0x596048,0x596048,ui_coords,0,8,3f1
445,0x596052,0x596052,ui_coords,0,2,(
446,0x596058,0x59605A,ui_coords,2,3,
447,0x59605E,0x59605F,ui_coords,1,2,
448,0x596060,0x596062,ui_coords,2,3,
449,0x596064,0x596064,ui_coords,0,8,o o 7L
450,0x59606E,0x59606E,ui_coords,0,2,/
451,0x596074,0x596076,ui_coords,2,3,
452,0x59607A,0x59607B,ui_coords,1,2,
453,0x59607C,0x59607E,ui_coords,2,3,
454,0x596080,0x596080,ui_coords,0,8,M
455,0x59608A,0x59608A,ui_coords,0,3,#
456,0x596090,0x596092,ui_coords,2,3,
457,0x596096,0x596097,ui_coords,1,2,
458,0x596098,0x59609A,ui_coords,2,3,
459,0x59609C,0x59609C,ui_coords,0,8,N
460,0x5960A6,0x5960A6,ui_coords,0,3,#!
461,0x5960AC,0x5960AE,ui_coords,2,3,
462,0x5960B2,0x5960B3,ui_coords,1,2,
463,0x5960B4,0x5960B6,ui_coords,2,3,
464,0x5960B8,0x5960B8,ui_coords,0,8,O
465,0x5960C2,0x5960C2,ui_coords,0,3,"#"""
466,0x5960C8,0x5960CA,ui_coords,2,3,
467,0x5960CE,0x5960CF,ui_coords,1,2,
468,0x5960D0,0x5960D2,ui_coords,2,3,
469,0x5960D4,0x5960D4,ui_coords,0,8,P
470,0x5960DE,0x5960DE,ui_coords,0,3,##
471,0x5960E4,0x5960E6,ui_coords,2,3,
