index,raw_offset,text_offset,text,padding_bytes,text_bytes,total_bytes,is_clean,first_50_hex
37,0x5907B5,0x5907E6,Zauberfolge,49,11,61,True,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003a
38,0x5907F2,0x59081C,Heilung,42,7,50,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000002845494c554e47ff
39,0x590824,0x590852,Angriff,46,7,54,True,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000214e4752
40,0x59085A,0x590888,Indirekt,46,8,55,True,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000294e4449
41,0x590891,0x5908BE,Verboten,45,8,54,True,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000364552424f
42,0x5908C7,0x5908F4,Typ,45,3,49,True,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000345950ff
43,0x5908F8,0x59092A,links2,50,6,57,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
44,0x590931,0x590960,rechts2,47,7,55,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000524543
45,0x590968,0x590996,links1,46,6,53,True,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004c494e4b
46,0x59099D,0x5909CC,rechts1,47,7,55,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000524543
47,0x5909D4,0x590A02,Menü,46,4,51,True,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002d454e7f
48,0x590A07,0x590A38,Auswählen,49,9,59,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021
49,0x590A42,0x590A6E,Abbrechen,44,9,54,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000214242524543
50,0x590A78,0x590AA4,EXT,44,3,48,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000253834ff
51,0x590AA8,0x590ADA,Hilfe,50,5,56,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
52,0x590AE0,0x590B10,Zum Einrichten START drücken.,48,29,80,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003a55
53,0x590B30,0x590B46,Zum Beenden Richtungstaste Links oder Rechts drücken.,22,53,76,True,000000000000000000000000000000000000000000003a554d002245454e44454e003249434854554e47535441535445002c
54,0x590B7C,0x590B7C,Pause,0,5,6,False,3041555345ff
55,0x590BC9,0x590BD0,Ton- und Musikeinstellung,7,25,33,True,00000000000000344f4e0d00554e44002d5553494b45494e5354454c4c554e47ff
56,0x590BEA,0x590BFD,Nicht unterstützt,19,17,37,True,000000000000000000000000000000000000002e4943485400554e54455253547f545a54ff
57,0x590C0F,0x590C34,"""S   S ""!    `!:   : `!  !"" ""!!"" ! """" !""!",37,41,86,True,0000000000000000000000000000000000000000000000000000000000000000000000000080023300000033008002ad0100
58,0x590C68,0x590C68,Objekt,0,6,7,False,2f424a454b54ff
59,0x590C6F,0x590C7C,Zauber,13,6,20,True,000000000000000000000000003a4155424552ff
60,0x590C83,0x590C90,Materia,13,7,21,True,000000000000000000000000002d415445524941ff
61,0x590C98,0x590CA4,Ausrüsten,12,9,22,True,000000000000000000000000215553527f5354454eff
62,0x590CAE,0x590CB8,Werte,10,5,16,True,000000000000000000003745525445ff
63,0x590CBE,0x590CCC,Reihe,14,5,20,True,00000000000000000000000000003245494845ff
64,0x590CD2,0x590CE0,Limit,14,5,20,True,00000000000000000000000000002c494d4954ff
65,0x590CE6,0x590CF4,Konfig,14,6,21,True,00000000000000000000000000002b4f4e464947ff
66,0x590CFB,0x590D08,PHS,13,3,17,True,00000000000000000000000000302833ff
67,0x590D0C,0x590D1C,Speichern,16,9,26,True,0000000000000000000000000000000033504549434845524eff
68,0x590D26,0x590D30,Verlassen,10,9,20,True,000000000000000000003645524c415353454eff
69,0x590D3A,0x590D44,Anfänger,10,8,19,True,00000000000000000000214e466a4e474552ff
70,0x590D4D,0x590D58,Verwendung,11,10,22,True,000000000000000000000036455257454e44554e47ff
71,0x590D63,0x590D6C,Verwendung,9,10,20,True,00000000000000000036455257454e44554e47ff
72,0x590D77,0x590D80,Zeit,9,4,14,True,0000000000000000003a454954ff
73,0x590D85,0x590D94,Gil,15,3,19,True,00000000000000000000000000000027494cff
74,0x590D98,0x590DA8,Nächst. Lv,16,10,27,True,000000000000000000000000000000002e6a434853540e002c56ff
75,0x590DB3,0x590DBC,Limit-Stufe,9,11,21,True,0000000000000000002c494d49540d3354554645ff
76,0x590DC8,0x590DD0,Anleitung,8,9,18,True,0000000000000000214e4c454954554e47ff
77,0x590DDA,0x590DE4,Unter,10,5,16,True,00000000000000000000354e544552ff
78,0x590DEA,0x590DF8,LV+1,14,4,19,True,00000000000000000000000000002c360b11ff
79,0x590DFD,0x590E0C,Zorn,15,4,20,True,0000000000000000000000000000003a4f524eff
80,0x590E11,0x590E20,Traurigk.,15,9,25,True,000000000000000000000000000000345241555249474b0eff
81,0x590E2A,0x590E34,"!         n`=>ABCeKD@FGHtJfg<$_uva)?snPRSVXY[\]p/0%U^MZoh!""#y*+2,-.345671:8(W9&';`klmxEILNOQTbcdijqr",10,335,433,True,00000000000000000000010000000000000000004e401d1e212223452b2420262728542a46471c043f555641091f534e3032
82,0x590FEB,0x590FF0,"!  cy         !   ""   $   %   &   '   (   t   start@of@menu@systemAAA*    end@of@menu@systemAAA*  Mi",5,122,134,True,00000000008500b200b10100004359d900000000000000000001000000020000000400000005000000060000000700000008
83,0x591071,0x591094,Drücken Sie auf [O.K.] um die,35,29,65,True,000000000000000000000000000000000000000000000000000000000000000000000024527f434b454e0033494500415546
84,0x5910B2,0x5910D0,Tastenbelegung zu konfigurieren.,30,32,63,True,00000000000000000000000000000000000000000000000000000000000034415354454e42454c4547554e47005a55004b4f
85,0x5910F1,0x59110C,Bitte neue Taste drücken,27,24,53,True,0000000000000000000000000000000000000000000000000000002249545445004e4555450034415354450044527f434b45
86,0x591126,0x591148,[O.K.],34,6,41,True,000000000000000000000000000000000000000000000000000000000000000000003b2f0e2b0e3dff
87,0x59114F,0x591184,[ABBRECHEN],53,11,65,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
88,0x591190,0x5911C0,[MENÜ],48,6,55,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b2d
89,0x5911C7,0x5911FC,[UMSCHALTEN],53,12,66,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
90,0x591209,0x591238,[BILD HOCH],47,11,59,True,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b2229
91,0x591244,0x591274,[BILD HERUNTER],48,15,64,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b22
92,0x591284,0x5912B0,[KAMERA],44,8,53,True,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b2b212d2532
93,0x5912B9,0x5912EC,[ZIEL],51,6,58,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
94,0x5912F3,0x591328,[HILFE],53,7,61,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
95,0x591330,0x591364,[START],52,7,60,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
96,0x59136C,0x5913A0,[HERAUF],52,8,61,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
97,0x5913A9,0x5913DC,[UNTEN],51,7,59,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
98,0x5913E4,0x591418,[LINKS],52,7,60,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
99,0x591420,0x591454,[RECHT],52,7,60,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
100,0x59145C,0x591490,TASTATUR,52,8,61,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
101,0x591499,0x5914CC,JOYSTICK,51,8,60,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
