index,offset,text,length
67,0x590CCC,Reihe,5
68,0x590CE0,Limit,5
69,0x590CF4,Konfig,6
70,0x590D08,PHS,3
71,0x590D1C,Speichern,9
72,0x590D30,Verlassen,9
73,0x590D44,Anfanger,8
74,0x590D58,Verwendung,10
75,0x590D6C,Verwendung,10
76,0x590D80,Zeit,4
77,0x590D94,Gil,3
78,0x590DA8,Nachst. Lv,10
79,0x590DBC,Limit-Stufe,11
80,0x590DD0,Anleitung,9
81,0x590DE4,Unter,5
82,0x590DF8,LV+1,4
83,0x590E0C,Zorn,4
84,0x590E20,Traurigk.,9
85,0x590E34,"!         n`=>ABCeKD@FGHtJfg<$_uva)?snPRSVXY[\]p/0%U^MZoh!""#y*+2,-.345671:8(W9&';`klmxEILNOQTbcdijqrwz{     !""#$%&'()*+ 0         `  `   !        np n n@ n<m b!o  o - pPS  PS PS o PS PS PS PS PS b!o - b!o b!o b!o b!o b!o     n u#o j o - PS UPS :PS o PS PS PS PS u#o u#o - u#o u#o u#o u#o u#o     )%($*     """" !""""""##$$     0.  x""  \   *   !   ""      e",350
89,0x591094,Drucken Sie auf [O.K.] um die,29
90,0x5910D0,Tastenbelegung zu konfigurieren.,32
91,0x59110C,Bitte neue Taste drucken,24
93,0x591184,[ABBRECHEN],11
95,0x5911FC,[UMSCHALTEN],12
96,0x591238,[BILD HOCH],11
97,0x591274,[BILD HERUNTER],15
98,0x5912B0,[KAMERA],8
100,0x591328,[HILFE],7
101,0x591364,[START],7
102,0x5913A0,[HERAUF],8
103,0x5913DC,[UNTEN],7
104,0x591418,[LINKS],7
105,0x591454,[RECHT],7
106,0x591490,TASTATUR,8
107,0x5914CC,JOYSTICK,8
110,0x594ACD,Z° ^X° OX° OX° p° OX° OX° OX° nV°,33
111,0x594AF1,Z° ^X° OX° OX° p° OX° et° es° au° OX° OX° OX° rX° ]° i° j° o° d° g° ol° YX° w° YX° D[° cX° YX° YX° {r° YX° YX° YX° V° D[° cX° YX° YX° {r° YX° t° os° u° YX° YX° YX° Z° $d° j° k° p° f° i° 4n° TX° TX° TX° \° hX° TX° TX° as° TX° TX° TX° JX° \° hX° TX° TX° as° TX° au° Ut° <w° TX° TX° TX°,283
114,0x594C48,Pause,5
117,0x594CAC,Schlaf,6
118,0x594CBA,Gift,4
119,0x594CC8,Traurigkeit,11
120,0x594CD6,Zorn,4
121,0x594CE4,Verwirrung,10
122,0x594CF2,Stummheit,9
123,0x594D00,Schnell,7
124,0x594D0E,Langsam,7
125,0x594D1C,Stop,4
129,0x594D54,Versteinerung,13
130,0x594D62,regen,5
133,0x594D8C,Reflektieren,12
134,0x594D9A,Doppel,6
135,0x594DA8,Schild,6
138,0x594DD2,Toll,4
139,0x594DE0,Einzigartig,11
140,0x594DEE,Lahmung,7
141,0x594DFC,Dunkelheit,10
148,0x594EA4,Gil,3
149,0x594EA8,Nach,4
150,0x594EB0,Gil auf der Hand,16
152,0x595080,Ja     Nein,11
153,0x595090,Vorhandene Schlachtpunkte,25
154,0x5950AA,Schlitzstart!,13
156,0x5950DE,Gewonnene Schlachtpunkte,24
157,0x5950F8,"Ok, dann los!",13
158,0x595117,Zaubersubstanz kaputt.,22
159,0x595136,Aufrufsubstanz kaputt.,22
160,0x595155,Support-Substanz kaputt.,24
161,0x595174,Unabhangige Substanz kaputt.,28
162,0x595193,Befehlssubstanz kaputt.,23
163,0x5951B2,Alle Substanz kaputt.,21
164,0x5951D1,Zubehor kaputt.,15
165,0x5951F0,Objektbefehl ist versiegelt.,28
166,0x59520F,Rustzeug kaputt.,16
167,0x59522E,Waffe kaputt.,13
168,0x59524D,1/2 Geschwindigkeit.,20
169,0x59526C,1/2 Genauigkeit.,16
170,0x59528B,Minimum,7
171,0x5952AA,Gift,4
172,0x5952C9,Krote,5
173,0x5952E8,Zeit x30 Schaden.,17
174,0x595307,5 Ebenen zuruck.,16
175,0x595326,10 Ebenen zuruck.,17
176,0x595345,1/2 HP.,7
177,0x595364,1/2 MP.,7
178,0x595383,1/2 HP&MP.,10
179,0x5953A2,Null MP.,8
180,0x5953C1,Jaa! Keine Behinderung!!,24
181,0x5953E0,HP wiederhergestellt.,21
182,0x595400,Besorgt um die anderen Mitglieder?,34
183,0x595423,"Ja, ein bichen",14
184,0x595446,Eigentlich nicht,16
191,0x595524,"""S   S ""!se7ae",14
193,0x595558,QRSTUVWXYZ[\]^`adefgh   jklmnopqrstuvwxyDEGHIJK qu      +! e c   [!  c V B v r  l   o!a l   S Speichern,104
195,0x595656,Mitglieden in zwei Gruppen aufteilen,36
196,0x59567C,Mitglieder in drei Gruppen aufteilen,36
197,0x5956A2,Gruppe aus zwei Personen bilden,31
198,0x5956C8,Gruppe aus drei Personen bilden,31
199,0x5956EE,Auswahlen mit [START]-Taste,27
200,0x595718,Element,7
201,0x59572E,Effekt,6
202,0x595744,Angreifen,9
203,0x59575A,Verteidigen,11
204,0x595770,Halbieren,9
205,0x595786,Ungultig,8
206,0x59579C,Absorbieren,11
210,0x5957F4,Starke,6
211,0x59580A,Geschick,8
212,0x595820,Vitalitat,9
213,0x595836,Zauber,6
214,0x59584C,Moral,5
215,0x595862,Gluck,5
216,0x595878,Angreifen,9
217,0x59588E,Angreifen %,11
218,0x5958A4,Verteidigen,11
219,0x5958BA,Verteidigen %,13
220,0x5958D0,Zbrangrf,8
221,0x5958E6,Zbrvertdg,9
222,0x5958FC,Zbrvertdg %,11
223,0x595912,Waf.,4
224,0x595928,Rus.,4
225,0x59593E,Acc.,4
226,0x595954,Limit-Ebene,11
229,0x5959E8,STUFE 2,7
230,0x595A08,STUFE 3,7
231,0x595A28,STUFE 4,7
232,0x595A48,LIMIT-STUFE einrichten.,23
233,0x595A68,Einrichten,10
234,0x595A88,Prufen,6
235,0x595AA8,Bei nderung der STUFE,21
236,0x595AC8,Beginn bei Limit-Punkt 0.,25
237,0x595AE8,STUFE andern?,13
238,0x595B08,Ja,2
239,0x595B28,Nein,4
240,0x595B48,Limit gewahlt!,14
241,0x595B68,STUFE wahlen,12
582,0x5969F8,Hitze,5
583,0x596A04,Kalte,5
584,0x596A10,Gewitter,8
585,0x596A1C,Erde,4
586,0x596A28,Gift,4
587,0x596A34,Schwerkraft,11
588,0x596A40,Wasser,6
589,0x596A4C,Wind,4
590,0x596A58,Heilig,6
591,0x596A68,Tod,3
592,0x596A7C,Gefahr,6
593,0x596A90,Schlaf,6
594,0x596AA4,Gift,4
595,0x596AB8,Trauer,6
596,0x596ACC,Zorn,4
597,0x596AE0,Psycho,6
598,0x596AF4,Schweigen,9
599,0x596B08,Hast,4
600,0x596B1C,Gemach,6
601,0x596B30,Stop,4
602,0x596B44,Frosch,6
603,0x596B58,Zwerg,5
604,0x596B6C,Allm.Verstein.,14
605,0x596B80,Verstein.,9
606,0x596B94,Heilung,7
607,0x596BA8,Barriere,8
608,0x596BBC,ZBarr.,6
609,0x596BD0,Wasser,6
611,0x596BF8,Schild,6
612,0x596C0C,Todesurteil,11
613,0x596C20,Manipul.,8
614,0x596C34,Tobsucht,8
615,0x596C48,Unverwundbar,12
616,0x596C5C,Lahmung,7
617,0x596C70,Blind,5
618,0x596C88,Element/Nebenwirkung,20
619,0x596CA1,Zusatzwirkung,13
620,0x596CBA,Angriff,7
621,0x596CD3,Verteidigung,12
622,0x596CEC,Halbieren,9
623,0x596D05,Unwirksam,9
624,0x596D1E,Absorbieren,11
628,0x596D82,Starke,6
629,0x596D9B,Geschick,8
630,0x596DB4,Vitalitat,9
631,0x596DCD,Zauber,6
632,0x596DE6,Gemut,5
633,0x596DFF,Gluck,5
634,0x596E18,Angriff,7
635,0x596E31,Angriff %,9
636,0x596E4A,Verteidigung,12
637,0x596E63,Verteidigung %,14
638,0x596E7C,Zauber,6
639,0x596E95,Zauberabwehr,12
640,0x596EAE,Zauberabw. %,12
641,0x596EC7,Waf.,4
642,0x596EE0,Rus.,4
643,0x596EF9,Acc.,4
644,0x596F12,Limit-Stufe,11
646,0x596F96,Rus.,4
647,0x596FAC,Acc.,4
648,0x596FC2,Zub.,4
649,0x596FD8,Starke,6
650,0x596FEE,Geschick,8
651,0x597004,Vitalita,8
652,0x59701A,Zauber,6
653,0x597030,Moral,5
654,0x597046,Gluck,5
655,0x59705C,Angriff,7
656,0x597072,Angriff %,9
657,0x597088,Verteidigung,12
658,0x59709E,Verteidigung %,14
659,0x5970B4,Zauber,6
660,0x5970CA,Zauberabwehr,12
661,0x5970E0,Zauberabw. %,12
662,0x5970F6,Fassung:,8
663,0x59710C,Wachstum:,9
664,0x597122,Keine,5
665,0x597138,Normal,6
666,0x59714E,Doppelt,7
667,0x597164,Dreifach,8
670,0x5971EC,Kalte,5
671,0x5971F8,Blitz,5
672,0x597204,Erde,4
673,0x597210,Gift,4
674,0x59721C,Schwerkraft,11
675,0x597228,Wasser,6
676,0x597234,Wind,4
677,0x597240,Heilig,6
678,0x597250,Soll das wirklich entfernt werden?,34
680,0x597298,Einen Moment,12
681,0x5972BC,Sephiroth,9
682,0x5972E0,Waf.,4
683,0x5972FC,Rus.,4
684,0x597318,Fahigkeitsliste,15
685,0x597334,Rustungseffekt,14
686,0x597350,Prufen,6
687,0x59736C,Ordnen,6
688,0x597388,Gespeicherte Zahl   /24,23
689,0x5973A4,AP,2
690,0x5973C0,Auf nachste Ebene,17
691,0x5973DC,MASTER,6
692,0x5973F8,Ordnen,6
693,0x597414,Tauschen,8
694,0x597430,Alles entfernen,15
695,0x59744C,Wegwerfen,9
697,0x597484,Geschwindigkeit   %HaHER,24
698,0x5974A0,Schutz   %HaHER,15
699,0x5974BC,Zauberkraft   %HaHER,20
700,0x5974D8,Gluck   %HaHER,14
701,0x5974F4,MASTER,6
702,0x597510,Starke,6
703,0x59752C,Vitalitat,9
704,0x597548,Zauber,6
705,0x597564,Zbrvertdg,9
706,0x597580,Geschick,8
707,0x59759C,Gluck,5
708,0x5975B8,MAXHP,5
709,0x5975D4,MAXMP,5
710,0x5975F0,MAXHP,5
711,0x59760C,MAXMP,5
712,0x597628,EXP.UP,6
713,0x597644,Gil UP,6
714,0x597660,Treffen - %,11
715,0x59767C,Treffen + %,11
716,0x597698,Chocobo treffen,15
717,0x5976B4,Praventivm. + %,15
718,0x5976D0,Fernangriff,11
719,0x5976EC,Alle angreifen,14
720,0x597708,Gegenangriff,12
721,0x597724,Alle angreifen,14
722,0x597740,Standiger Angriff,17
723,0x59775C,HP/MP-nderung,13
726,0x597886,Beschworen,10
727,0x59789C,Feindtechnik,12
728,0x5978B2,Zusatzliche Fahigkeit,21
729,0x5978C8,Alle,4
730,0x5978DE,4x-Zber,7
731,0x5978F4,MP absorb.,10
732,0x59790A,HP absorb.,10
734,0x597936,Auch stehl.,11
735,0x59794C,Schlag,6
736,0x597962,Turbo-MP,8
737,0x597978,Nichts,6
738,0x59798E,Nicht genug MP.,15
741,0x597A1A,Ordnen,6
742,0x597A2C,Schlusselobjekte,16
743,0x597A3E,Allein,6
744,0x597A50,Feld,4
745,0x597A62,Schlacht,8
746,0x597A74,Werfen,6
747,0x597A86,Typ,3
748,0x597A98,Name,4
749,0x597AAA,Max.,4
750,0x597ABC,Min.,4
751,0x597AD0,OK! Klar!,9
752,0x597AF8,"Ich bin nicht sicher, aber",26
753,0x597B20,Ist mir egal.,13
754,0x597B48,Heh! Heh!,9
755,0x597B70,V-v-verdammt! Mein Kopf!,24
756,0x597B98,Hat nichts mit mir zu tun!,26
757,0x597BC0,"Hmm, das war's also.",20
758,0x597BE8,"Ich bin nicht sicher, aber",26
759,0x597C10,Ich hab die falsche Person erwischt.,36
760,0x597C38,Das sollte ok sein.,19
761,0x597C60,Noch nicht ganz bereit.,23
762,0x597C88,"Nein, ich bin es nicht.",23
763,0x597CB0,"Ok, klar!",9
764,0x597CD8,Kapier ich nicht.,17
765,0x597D00,Hat nichts mit mir zu tun.,26
766,0x597D28,Cool! Das sollte ok sein!,25
767,0x597D50,Nee! Kapier ich nicht!,22
768,0x597D78,"Mann, ich tapp total im Dunkeln!",32
769,0x597DA0,Ich verlier immer mehr Menschliches,35
770,0x597DC8,Ich bin noch nicht bereit.,26
771,0x597DF0,Es hat nichts mit mir zu tun.,29
772,0x597E18,Das gefallt mir! Her damit!,27
773,0x597E40,"Hmph. Hab ich nicht ganz kapiert, aber",38
774,0x597E68,Nicht ich! Gib es jemand anders!,32
775,0x597E90,Es hat nichts mit mir zu tun.,29
934,0x599254,Magic Materia!,14
935,0x599268,Summon Materia!,15
936,0x59927C,Command,7
937,0x599290,Zero - AW YEAH!,15
938,0x5992A8,Feuer,5
939,0x5992B4,Kalte,5
940,0x5992C0,Blitz,5
941,0x5992CC,Erde,4
942,0x5992D8,Gift,4
943,0x5992E4,Schwerkraft,11
944,0x5992F0,Wasser,6
945,0x5992FC,Wind,4
946,0x599308,Heilig,6
947,0x599318,Soll das wirklich entfernt werden?,34
949,0x599360,Einen Moment,12
950,0x599384,Sephiroth,9
951,0x5993A8,Waf.,4
952,0x5993C4,Rus.,4
953,0x5993E0,Fahigkeitsliste,15
954,0x5993FC,Rustungseffekt,14
955,0x599418,Prufen,6
956,0x599434,Ordnen,6
957,0x599450,Gespeicherte Zahl   /24,23
958,0x59946C,AP,2
959,0x599488,Auf nachste Ebene,17
960,0x5994A4,MASTER,6
961,0x5994C0,Ordnen,6
962,0x5994DC,Tauschen,8
963,0x5994F8,Alles entfernen,15
964,0x599514,Wegwerfen,9
966,0x59954C,Geschwindigkeit   %HaHER,24
967,0x599568,Schutz   %HaHER,15
968,0x599584,Zauberkraft   %HaHER,20
969,0x5995A0,Gluck   %HaHER,14
970,0x5995BC,MASTER,6
971,0x5995D8,Starke,6
972,0x5995F4,Vitalitat,9
973,0x599610,Zauber,6
974,0x59962C,Zbrvertdg,9
975,0x599648,Geschick,8
976,0x599664,Gluck,5
977,0x599680,MAXHP,5
978,0x59969C,MAXMP,5
979,0x5996B8,MAXHP,5
980,0x5996D4,MAXMP,5
981,0x5996F0,EXP.UP,6
982,0x59970C,Gil UP,6
983,0x599728,Treffen - %,11
984,0x599744,Treffen + %,11
985,0x599760,Chocobo treffen,15
986,0x59977C,Praventivm. + %,15
987,0x599798,Fernangriff,11
988,0x5997B4,Alle angreifen,14
989,0x5997D0,Gegenangriff,12
990,0x5997EC,Alle angreifen,14
991,0x599808,Standiger Angriff,17
992,0x599824,HP/MP-nderung,13
993,0x599840,Kaufen,6
994,0x59985E,Verkaufen,9
995,0x59987C,Beenden,7
996,0x59989A,Objekt,6
997,0x5998B8,Materia,7
998,0x5998D8,Kaufen Verkaufen Beenden,24
999,0x5998F8,Gil,3
1000,0x599918,Besitz,6
1001,0x599938,Ausstattung,11
1002,0x599958,Gesamt,6
1003,0x599978,Wieviel,7
1004,0x599998,Objekt    Materia,17
1005,0x5999B8,Ubrige Gil,10
1006,0x5999D8,Preis fur Master,16
1007,0x5999F8,Preis durch AP,14
1008,0x599A18,Waf.,4
1009,0x599A2E,Rus.,4
1010,0x599A44,Zub.,4
1011,0x599A5A,Zub.,4
1012,0x599A70,Starke,6
1013,0x599A86,Geschick,8
1014,0x599A9C,Vitalita,8
1015,0x599AB2,Zauber,6
1016,0x599AC8,Moral,5
1017,0x599ADE,Gluck,5
1018,0x599AF4,Angreifen,9
1019,0x599B0A,Angreifen %,11
1020,0x599B20,Verteidigen,11
1021,0x599B36,Verteidigen %,13
1022,0x599B4C,Zbrangrf,8
1023,0x599B62,Zbrvertdg,9
1024,0x599B78,Zbrvertdg %,11
1025,0x599B8E,Schlitz:,8
1026,0x599BA4,Verstarkung:,12
1027,0x599BBA,Keine,5
1028,0x599BD0,Normal,6
1029,0x599BE6,Doppelt,7
1030,0x599BFC,Dreifach,8
1033,0x599C18,Objektladen,11
1034,0x599C40,Waffengeschaft,14
1035,0x599C68,Objektladen,11
1036,0x599C90,Materia-Laden,13
1037,0x599CB8,Gemischtwaren,13
1038,0x599CE0,Gemuseladen,11
1039,0x599D08,Zubehorladen,12
1040,0x599D30,Werkzeugladen,13
1041,0x599D58,Souvenierladen,14
1042,0x599D80,Willkommen!,11
1043,0x599DAE,Was mochtest du kaufen?,23
1044,0x599DDC,Wie viele willst du davon?,26
1045,0x599E0A,Was mochtest du verkaufen?,26
1046,0x599E38,Wie viele willst du verkaufen?,30
1047,0x599E66,Danke!,6
1048,0x599E94,Danke!,6
1049,0x599EC2,Du hast nicht genug Geld!,25
1051,0x599F4C,Guten Tag!,10
1052,0x599F7A,Wie kann ich behilflich sein?,29
1053,0x599FA8,Wie viele willst du davon?,26
1054,0x599FD6,Hast du was zu verkaufen?,25
1055,0x59A004,Wie viele willst du?,20
1056,0x59A032,Vielen Dank!,12
1057,0x59A060,Ihr werdet doch alle zuruckkommen!,34
1058,0x59A08E,Soll das ein Witz sein? Das ist nicht genug!,44
1065,0x59C488,Wahlen Sie eine Speicherdatei aus.,34
1066,0x59C4B0,Wahlen Sie einen Speicherblock aus.,35
1067,0x59C4D8,STECKPLATZ 1,12
1068,0x59C500,STECKPLATZ 2,12
1069,0x59C528,Wirklich?,9
1070,0x59C550,Bin am Laden. Bitte warten,26
1071,0x59C578,Bin am Sichern. Bitte warten,28
1072,0x59C5A0,LEER,4
1073,0x59C5C8,BLOCK,5
1074,0x59C5F0,Weiter?,7
1076,0x59C640,Uberprufe Spielstandsdatei,26
1092,0x59C8C0,Gespeichert.,12
1093,0x59C8E8,Speichern nicht moglich.,24
1094,0x59C910,Laden nicht moglich.,20
1095,0x59C938,Daten sind zerstort.,20
1096,0x59C960,NEUES SPIEL,11
1097,0x59C988,Wirklich speichern?,19
1098,0x59C9B0,Ja,2
1099,0x59C9D8,Nein,4
1100,0x59CA00,Beendet.,8
1103,0x59CAC6,Formatiert,10
1104,0x59CB08,Formatierung nicht moglich,26
1105,0x59CB4A,Nicht formatiert,16
1106,0x59CB8C,Jetzt formatieren?,18
1107,0x59CBCE,Memory Card wird gepruft.,25
1108,0x59CC10,Keine Spielstandsdatei.,23
1109,0x59CC52,Diese Memory Card ist beschadigt und kann nicht verwendet werden.,65
1110,0x59CC94,Andere Memory Card einlegen.,28
1111,0x59CCD6,Nicht genug Platz in der Spielstandsdatei ubrig.,48
1112,0x59CD18,Bitte benutzen Sie eine andere Spielstandsdatei,47
1113,0x59CD5A,oder loschen Sie 1 Block gesicherter Daten.,43
1116,0x59CE20,Lesen nicht moglich.,20
1117,0x59CE62,Spiel beginnen?,15
1122,0x59CFB0,Kann Speicherpuffer der Spielstandsdatei nicht zuordnen!,56
1123,0x59CFEC,Ungultige Spielstandsdatei!,27
1124,0x59D028,Spielstand 1,12
1125,0x59D03C,Spielstand 2,12
1126,0x59D050,Spielstand 3,12
1127,0x59D064,Spielstand 4,12
1128,0x59D078,Spielstand 5,12
1129,0x59D08C,Spielstand 6,12
1130,0x59D0A0,Spielstand 7,12
1131,0x59D0B4,Spielstand 8,12
1132,0x59D0C8,Spielstand 9,12
1133,0x59D0DC,Spielstand 10,13
1136,0x59D150,Level,5
1139,0x59D26A,UeA/,4
1142,0x59D2A4,Uo-`,4
